id	name	altname	ec	kegg	pwy	enzymatic	gibbs	direction
|3.2.1.53-RXN|			EC-3.2.1.53			False	130.41156	>
|RXN-4781|			EC-4.2.3.61		PWY-2921	True	-35.77997	>
|RXN-17481|					PWY-7762,RXN-17483	False	8.023483	<
|3.2.1.55-RXN|			EC-3.2.1.55			True		>
|RXN-12042|			EC-6.3.2.37	R09596		True	-4.63916	>
|RXN-15798|			EC-6.3.2		PWY-7549	True	-105.92432	>
|CHEBDEAMID-RXN|			EC-3.5.1.44	R02622		True	15.205116	>
|3.2.1.57-RXN|			EC-3.2.1.57			False		>
|RXN-12043|	3,3',5,5'-tetraiodothyronamine 5'-deiodinase	3,3',5,5'-tetraiodothyronamine 5'-deiodinase			PWY-6688	False		>
|SIROHEME-FERROCHELAT-RXN|			EC-4.99.1.4	R02864	PWY-5194	True	40.434166	>
|3.2.1.58-RXN|			EC-3.2.1.58			True	-58.881775	>
|RXN-12044|					PWY-6688	True		>
|RXN-15799|			EC-1.14.13.216		PWY-7549	True	-89.57864	>
|RXN1G-30|	trans-docos-2-enoyl-[acyl-carrier protein] isomerase	trans-docos-2-enoyl-[acyl-carrier protein] isomerase	EC-5.3.3.14		PWYG-321	True	1.55	>
|RXN-9850|			EC-2.3.1.176		PWY-6061	True	-5.249878	>
|RXN-8542|			EC-4.2.3			True	-58.47998	>
|RXN-18643|			EC-1.1.1.ec			True	-5.756531	<
|RXN-12045|					PWY-6688	True		>
|3.2.1.59-RXN|			EC-3.2.1.59			False	-58.88179	>
|RXN-48|						False	-46.223812	?
|RXN-17482|					PWY-7762,RXN-17483	False	8.023422	<
|3.2.1.6-RXN|			EC-3.2.1.6			False		>
|RXN-12046|					PWY-6688	True		>
|RXN-15800|			EC-6.4.1			False	-32.83586	?
|RXN-17210|					PWY-7742,RXN-18535	False	-8.443726	>
|3.2.1.60-RXN|			EC-3.2.1.60			False		>
|RXN-12047|	3,3'-diiodothyronamine 3'-deiodinase	3,3'-diiodothyronamine 3'-deiodinase			PWY-6688	True		>
|SOLDEHYD-RXN|			EC-1.1.1.257	R05271	TOLSULFDEG-PWY	True	-4.5982056	=
|3.2.1.61-RXN|			EC-3.2.1.61			False		>
|RXN-12048|	3,3'-diiodothyronamine 3-deiodinase	3,3'-diiodothyronamine 3-deiodinase			PWY-6688	True		>
|RXN-15801|			EC-1.14.99.51		PWY-7550	True	-92.827	>
|ENOYL-ACP-REDUCT-NADPH-RXN|	2,3,4-saturated fatty acyl-[acp] dehydrogenase	2,3,4-saturated fatty acyl-[acp] dehydrogenase	EC-1.3.1.39,EC-1.3.1.104,EC-2.3.1.86,EC-2.3.1.85,EC-1.3.1.10	R01404	FASYN-ELONG-PWY	True	27.575745	<
|RXN-9851|			EC-2.3.1.65	R08744	PWY-6061	True	-5.044174	>
|RXN-8543|			EC-4.2.3			True	-49.899963	>
|RXN-18644|						False	-27.146969	>
|RXN-12049|					PWY-6688	True		>
|3.2.1.64-RXN|			EC-3.2.1.64			False		>
|RXN-4801|					RXN-11908,PWY-2921	True	-90.35054	>
|RXN-17483|			EC-1.3.1.111			True	24.070374	<
|3.2.1.65-RXN|			EC-3.2.1.65			False		>
|RXN-12050|	3'-iodothyronamine deiodinase	3'-iodothyronamine deiodinase			PWY-6688	False		>
|RXN-15802|			EC-1.14.99.52			False	-92.82701	>
|RXN1G-363|			EC-4.2.1.59		PWYG-321	True	22.705242	>
|3.2.1.68-RXN|			EC-3.2.1.68			False	-114.650635	>
|RXN-12051|	3,3',5-triiodothyronamine 3'-deiodinase	3,3',5-triiodothyronamine 3'-deiodinase			PWY-6688	False		>
|SORB6PDEHYDROG-RXN|			EC-1.1.1.140	R07133	SORBDEG-PWY,P302-PWY	True	-4.5081787	=
|3.2.1.7-RXN|			EC-3.2.1.7			False		>
|RXN-12052|					PWY-6688	True		>
|RXN-15803|						False	-58.586983	>
|RXN-17312|			EC-3.1.2.M3		PWY-7738	False	-16.648285	>
|RXN-9852|			EC-2.3.1.65	R08745	PWY-6061	True	14.435791	>
|RXN-8544|			EC-4.2.3			True	-58.01999	>
|RXN-18645|			EC-3.1.3			False	7.21698	>
|RXN-12053|					PWY-6688	True		>
|3.2.1.70-RXN|			EC-3.2.1.70			False		>
|RXN-4802|					RXN-11908,PWY-2921	True	-90.35054	>
|RXN-17484|					PWY-7762,RXN-17483	False	8.023483	<
|3.2.1.71-RXN|			EC-3.2.1.71			False		>
|RXN-12054|					PWY-6688	True		>
|RXN-15804|					PWY-7550,PWY-7255	False	-6.029999	=
|RXN-12908|			EC-2.1.1.245		METH-ACETATE-PWY,CDHMSARC-RXN	True	37.2034	=
|3.2.1.72-RXN|			EC-3.2.1.72		PWY-6789	True		>
|RXN-12055|	ADP-ribose 1",2"-cyclic phosphate 2''-phosphodiesterase	ADP-ribose 1",2"-cyclic phosphate 2''-phosphodiesterase	EC-3.1.4		PWY-6689	True	-112.03949	>
|SORBITOL-6-PHOSPHATASE-RXN|			EC-3.1.3.50	R02866	PWY-5054	True	7.3470154	>
|3.2.1.73-RXN|			EC-3.2.1.73			True		>
|RXN-15805|			EC-4.1.1		PWY-7552,PWY-7554	True	-0.43826294	>
|RXN1G-4141|	trans-methoxy-C60-meroacyl-[acp] synthetase	trans-methoxy-C60-meroacyl-[acp] synthetase	EC-6.2.1		PWYG-321	True	1139.7203	>
|RXN-9853|			EC-1.14.12.M3		PWY-6081	True	-82.151794	>
|RXN-8545|			EC-4.2.3			True	-66.839966	>
|RXN-18646|			EC-1.3.1.M14			True	-25.308197	<
|RXN-12057|			EC-3.1.4.37			False	-179.51126	>
|3.2.1.74-RXN|			EC-3.2.1.74			False	-58.881775	>
|RXN-4803|					RXN-11908,PWY-2921	True	-86.67047	>
|RXN-17485|			EC-1.3.7.7		PWY-7159,PWY-5531	True	-12.293945	<
|3.2.1.75-RXN|			EC-3.2.1.75			False		>
|RXN-12058|			EC-3.1.4.37			False	-110.791245	>
|RXN-15806|			EC-1.2.98		PWY-7554	True	-22.728973	>
|RXN-13036|			EC-2.3.1.204		PWY-6987	True	0.0	>
|3.2.1.76-RXN|			EC-3.2.1.76			True	671.1043	>
|RXN-12059|			EC-3.1.4.37			False	-179.51126	>
|SORBOSE-5-DEHYDROGENASE-NADP+-RXN|			EC-1.1.1.123	R01694		False	-5.7564697	?
|3.2.1.77-RXN|			EC-3.2.1.77			False	298.79468	>
|RXN-12060|			EC-3.1.4.37			False	-106.31125	>
|RXN-15807|			EC-1.1.1		PWY-7554	True		>
|RXN1G-499|	3-oxo-lignoceroyl-[acyl-carrier protein] synthase	3-oxo-lignoceroyl-[acyl-carrier protein] synthase	EC-2.3.1.41		PWYG-321	True	-15.261719	>
|RXN-9854|			EC-1.3.1.M11		PWY-6081	True	-1.4682007	>
|RXN-8546|			EC-4.2.3.115	R09970		True	-48.75	>
|3.2.1.78-RXN|			EC-3.2.1.78		PWY-7456	True	-620.9753	>
|RXN-12061|		<small>L</small>-tryptophan,NADPH:oxygen oxidoreductase (<em>N</em>-hydroxylating),tryptophan <em>N</em>-hydroxylase,CYP79B1,CYP79B2,CYP79B3		R09583	PWY-601,PWY-581,CAMALEXIN-SYN,RXN-1402	True	-101.1936	>
|RXN-4804|					RXN-11908,PWY-2921	True	-86.67047	>
|RXN-17487|			EC-1.3.99			False		?
|3.2.1.8-RXN|			EC-3.2.1.8		PWY-6784	True		>
|RXN-12062|	<i>N</i>-hydroxy-L-tryptophan <em>N</em>-monooxygenase	<i>N</i>-hydroxy-L-tryptophan <em>N</em>-monooxygenase,<small>L</small>-tryptophan,NADPH:oxygen oxidoreductase (<em>N</em>-hydroxylating),tryptophan <em>N</em>-hydroxylase,CYP79B1,CYP79B2,CYP79B3		R09584	PWY-601,PWY-581,CAMALEXIN-SYN,RXN-1402	False	-98.830475	>
|RXN-15808|			EC-1.3.98.M2		PWY-7552	True	-27.53122	>
|RXN-17864|			EC-2.3.1.255		PWY-7800	True	-15.561096	>
|3.2.1.80-RXN|			EC-3.2.1.153,EC-3.2.1.80			False		>
|RXN-12063|	<i>N,N</i>-dihydroxy-L-tryptophan carboxy-lyase	<i>N,N</i>-dihydroxy-L-tryptophan carboxy-lyase,<small>L</small>-tryptophan,NADPH:oxygen oxidoreductase (<em>N</em>-hydroxylating)		R09585	PWY-601,PWY-581,CAMALEXIN-SYN,RXN-1402	False	-6.4728565	>
|SORBOSE-DEHYDROGENASE-RXN|			EC-1.1.99.12	R01696		False		?
|3.2.1.81-RXN|			EC-3.2.1.81		PWY-6816	True		>
|RXN-12065|					PWY-7824,RXN-18096	False	0.0	>
|RXN-15809|			EC-4.1.3		PWY-7552	True		>
|NITROGENASE-RXN|			EC-1.18.6.1	R05185	N2FIX-PWY	True	-69.48535	>
|RXN-9855|			EC-1.13.11.M6	R05407	PWY-6084	True	-96.63236	>
|RXN-8547|			EC-4.2.3.114	R09969		True	-48.75	>
|3.2.1.82-RXN|			EC-3.2.1.82		PWY-7246	True	-263.96558	>
|RXN-12066|	phenylalanine <em>N</em>-monooxygenase	phenylalanine <em>N</em>-monooxygenase,<small>L</small>-phenylalanine,NADPH:oxygen oxidoreductase (<em>N</em>-hydroxylating),phenylalanine <em>N</em>-hydroxylase,CYP79A2			PWY-2821,PWY-7824,RXN-4602	False	-82.00888	>
|RXN-4821|			EC-3.5.99	R04336	RXN-14246,PWY-2942	False	29.685226	=
|3.2.1.83-RXN|			EC-3.2.1.83		PWY-6821	True		>
|RXN-12067|	<i>N</i>-hydroxy-L-phenylalanine <em>N</em>-monooxygenase	<i>N</i>-hydroxy-L-phenylalanine <em>N</em>-monooxygenase,<small>L</small>-phenylalanine,NADPH:oxygen oxidoreductase (<em>N</em>-hydroxylating),phenylalanine <em>N</em>-hydroxylase,CYP79A2			PWY-2821,PWY-7824,RXN-4602	False	-97.55476	>
|RXN-15812|	cAATRP prenyltransferase	cAATRP prenyltransferase	EC-2.5.1		PWY-7555	True	-16.909988	>
|3.2.1.84-RXN|			EC-3.2.1.84			False	-58.88179	>
|RXN-12068|	<i>N,N</i>-dihydroxy-L-phenylalanine carboxy-lyase	<i>N,N</i>-dihydroxy-L-phenylalanine carboxy-lyase,<small>L</small>-phenylalanine,NADPH:oxygen oxidoreductase (<em>N</em>-hydroxylating)			PWY-2821,PWY-7824,RXN-4602	False	-6.4728603	>
|SPERMACTRAN-RXN|			EC-2.3.1.57		PWY-6117	True	-4.041748	>
|3.2.1.87-RXN|			EC-3.2.1.87			False	-219.97906	>
|RXN-15813|			EC-6.3.2		PWY-7556	True	-59.56653	>
|RXN1G-645|			EC-4.2.1.M2		PWYG-321	True	22.70525	>
|RXN-9856|			EC-5.5.1.11	R05393	PWY-6084	True	13.321747	<
|RXN-8548|			EC-4.2.3			True	-72.53998	>
|3.2.1.89-RXN|			EC-3.2.1.89			True		>
|RXN-12070|			EC-3.7.1.14	R06789	PWY-6690	True	-14.097153	>
|RXN-4822|				R04467	PWY-2941	True	-0.7000122	>
|RXN-17489|			EC-3.1.3.62			True	14.706421	>
|3.2.1.91-RXN|			EC-3.2.1.91		PWY-6788	True		>
|RXN-12071|			EC-1.3.1.87	R06785	PWY-6690	True	-11.948242	>
|RXN-15818|			EC-1.1.1		PWY-7557	True	-4.5982056	>
|RXN-18013|			EC-2.3.1.M31		PWY-7818,PWY-7817,PWY-7815,PWY-7816,TEICHOICACID-PWY	True	-3.6099854	>
|3.2.1.92-RXN|			EC-3.2.1.92			False	-3.1130219	>
|RXN-12072|			EC-1.14.12.19	R06783	PWY-6690	True	-70.93179	>
|SPERMIDINE-DEHYDROGENASE-RXN|			EC-1.5.99.6	R01915		False		?
|3.2.1.94-RXN|			EC-3.2.1.94			False		>
|RXN-12073|			EC-1.13.11.16	R06788	PWY-6690	True	-69.33823	>
|RXN-15819|			EC-1.2.1		PWY-7557	True	-18.695343	>
|RIBONUCLEOSIDE-DIP-REDUCTII-RXN|			EC-1.17.4.1		PWY0-166	True	-10.865295	<
|RXN-9857|			EC-3.1.1.45	R05511	PWY-6084	True	17.61876	>
|RXN-8549|			EC-4.2.3.59		PWY-7102	True	-31.709991	>
|3.2.1.95-RXN|			EC-3.2.1.95			False		>
|RXN-12074|			EC-4.1.3.17			True	3.374115	?
|RXN-4823|			EC-4.2.3.21	R06523	PWY-2961	True	-52.47995	>
|RXN-17490|			EC-3.1.3.62			True	12.2099	>
|3.2.1.96-RXN|			EC-3.2.1.96			False		>
|RXN-12078|			EC-1.1.1.21	R01095	PWY-6693	True	-6.616516	=
|RXN-15820|			EC-1.13.11		PWY-7557	True	-83.78	>
|RXN-13361|			EC-1.1.1		PWY-7043	True	-3.604248	>
|3.2.1.97-RXN|			EC-3.2.1.97	R04527		True	233.12277	>
|RXN-12079|			EC-1.1.1		PWY-6693	True	-4.5082397	=
|SPERMIDINESYN-RXN|			EC-2.5.1.16	R01920	BSUBPOLYAMSYN-PWY	True	-11.084137	=
|3.2.1.98-RXN|			EC-3.2.1.98			False	-337.72583	>
|RXN-12080|			EC-1.1.1		PWY-6693	True	5.8865356	=
|RXN-15821|			EC-4.1.1		PWY-7557	False	3.3582344	>
|RXN1G-884|	cis,cis-delta11,29-3-hydroxyC48:2-[acyl-carrier protein] dehydratase	cis,cis-delta11,29-3-hydroxyC48:2-[acyl-carrier protein] dehydratase	EC-4.2.1.M2		PWYG-321	True	22.705238	>
|RXN-9858|			EC-1.14.12.M3	R06856	PWY-6083	True	-71.21178	>
|RXN-8550|			EC-4.2.3.38	R08370	PWY-7102,PWY-5425	True	-27.389984	>
|3.2.1.99-RXN|			EC-3.2.1.99			True		>
|RXN-12085|			EC-1.1.1	R02836		True	-7.2164917	?
|RXN-4842|	(-)-vetispiradiene monooxygenase	(-)-vetispiradiene monooxygenase,(-)-vetispiradiene,NADPH:oxygen 2&alpha;-oxidoreductase,HPO,<em>Hyoscymus muticus</em> premnaspirodiene oxygenase		R09576	RXN-13397,PWY-2961	True	-90.350525	>
|RXN-17493|			EC-3.1.3.62			True	9.713562	>
|3.2.2.10-RXN|			EC-3.2.2.10	R02171		False		>
|RXN-12086|			EC-3.1.1.3			True	-3.5371332	>
|RXN-15822|					RXN-18023,PWY-7557	True	-42.30047	>
|3.2.2.11-RXN|			EC-3.2.2.11	R01266		False	4.3370056	>
|RXN-12087|			EC-3.1.1			True	14.397003	>
|SPERMINE-SYNTHASE-RXN|			EC-2.5.1.22	R02869	ARGSPECAT-PWY,POLYAMINSYN3-PWY	True	-11.708252	>
|3.2.2.15-RXN|			EC-3.2.2.15			False	60.548218	>
|RXN-12088|			EC-3.2.1.22			True	99.598206	>
|RXN-15823|					RXN-18023,PWY-7557	True	-16.86224	>
|RXN-13756|			EC-2.7.4.27			False	-7.2010803	?
|RXN-9859|			EC-1.3.1.M11	R06857	PWY-6083	True	-11.948242	>
|RXN-8551|			EC-4.2.3.127			False	-64.03998	>
|3.2.2.17-RXN|			EC-3.2.2.17			False	83.19946	>
|RXN-12089|			EC-1.5.3.17	R09077	PWY-6441	True	-22.204742	>
|RXN-4843|					PWY-2961	False	10.59	>
|RXN-17495|			EC-3.1.3.62			True	17.20288	>
|3.2.2.21-RXN|			EC-3.2.2.21			True		>
|RXN-12090|			EC-1.5.3.17			False	-23.453003	>
|RXN-15824|			EC-1.1.1.144		PWY-6526	True	-4.598236	>
|RXN-14391|			EC-3.6.4		PWY-7250	True		>
|RXN-12091|			EC-1.5.3.13,EC-1.5.3.17	R09074	PWY-6117	True	-23.453003	>
|SPHINGANINE-1-PHOSPHATE-ALDOLASE-RXN|			EC-4.1.2.27	R02464	PWY-7119	True	2.56	>
|3.2.2.23-RXN|			EC-3.2.2.23			True	88.01489	>
|RXN-12092|			EC-2.1.1.70	R02982		False	-4.3600006	>
|RXN-15836|			EC-1.14.13		PWY-7558	True	-82.56314	>
|THIAZOLSYN2-RXN|			EC-2.8.1.10	R10247	PWY-6892,PWY-6891	True	-28.622314	>
|RXN-9860|			EC-1.13.11.M6	R06839	PWY-6193,PWY-6089	True	-97.51236	>
|RXN-8553|			EC-4.2.3.71	R08545	PWY-5733	True	-12.349976	>
|3.3.2.10-RXN|			EC-3.3.2.10	R02822		False	5.504757	?
|RXN-12093|			EC-6.3.4.20		PWY-6703	True	-7.2387695	>
|RXN-4844|					PWY-2961	False		<
|RXN-17496|			EC-1.14.14.21			False	-196.2107	?
|3.3.2.2-RXN|			EC-3.3.2.2	R02745	PWY-7783	True	167.26712	>
|RXN-12095|			EC-1.1.1.401		PWY-6714	True	-4.5082397	>
|RXN-15840|			EC-1.1.1.379	R03790		False	-2.0482178	?
|RXN-18742|			EC-6.2.1.r		PWY-7899	True	-2.4406128	>
|3.3.2.5-RXN|			EC-3.3.2.2	R03415	PWY-7783	True	105.64041	>
|RXN-12096|	L-2,4-diketo-3-deoxyrhamnoate hydrolase	L-2,4-diketo-3-deoxyrhamnoate hydrolase			PWY-6714	True	-14.077133	>
|SPHINGANINE-KINASE-RXN|			EC-2.7.1.91	R02976	PWY-5129,PWY-7119	True	-13.567627	>
|3.3.2.8-RXN|			EC-3.3.2.8	R05784	PWY-5923	True	10.287018	>
|RXN-12097|			EC-3.1.1.86		PWY-6769	True		>
|RXN-15841|			EC-1.14.11.48			False	-90.22099	>
|RXN-14957|			EC-2.8.1.8		PWY-7382	True	-2.9760284	>
|RXN-9861|			EC-5.5.1.7			True	9.931763	=
|RXN-8554|			EC-4.2.3			True	-12.349976	>
|3.3.2.9-RXN|			EC-3.3.2.9	R07627		True	-3.6330004	>
|RXN-12098|			EC-3.1.1.86		PWY-6769	True		>
|RXN-4845|			EC-1.14.99		PWY-2961	False		>
|RXN-12099|			EC-5.4.99.49	R09909	PWY-7251	True	-121.63	>
|RXN-15842|			EC-2.1.1.309			True	-24.765076	>
|RXN-18868|					PWY-7915	False		>
|RXN-12101|			EC-5.4.99.50	R09910	PWY-7251	True	-143.27	>
|SPHINGOMYELIN-PHOSPHODIESTERASE-D-RXN|			EC-3.1.4.41	R02542		False	137.30919	>
|RXN-12102|			EC-5.4.99		PWY-7251	True	-121.63	>
|RXN-15843|			EC-2.1.1.310			True	-41.18228	>
|RXN-15338|			EC-1.1.1		PWYG-321	True		>
|RXN-9863|		2,4-dichlorophenoxyacetate &alpha;-ketoglutarate dioxygenase	EC-1.14.11	R05419	PWY-6085	True	-119.98001	>
|RXN-8555|			EC-4.2.3			True	-58.379974	>
|RXN-12103|			EC-5.4.99.36	R09711	PWY-7251	True	-112.81	>
|RXN-4846|					PWY-2961	False	42.307755	>
|RXN-17499|			EC-2.1.1.M26		PWY-7765	True	-20.640022	>
|RXN-12104|			EC-1.17.99.6		PWY-6700	True		<
|RXN-15844|			EC-2.1.1.311			True	-41.18228	>
|RXN-19236|			EC-2.3.2.13			False		>
|RXN-12105|			EC-1.1.1	R08878		False	14.779358	?
|SPHINGOMYELIN-PHOSPHODIESTERASE-RXN|			EC-3.1.4.12	R02541		True	128.28632	>
|RXN-12107|		<small>L</small>-idonate:NAD(P)<small><sup>+</sup></small> oxidoreductase	EC-1.1.1.366	R05683	PWY-6704	True	-4.5082397	>
|RXN-15845|			EC-2.1.1.312			True	-27.282227	>
|RXN-8100|			EC-2.1.1.249	R10015	PWY-5248	True	-15.193367	>
|RXN-9864|			EC-1.14.11		PWY-6086	True	-120.400024	>
|RXN-8556|			EC-4.2.3.87			True	-18.809967	>
|RXN-12108|					PWY-7165,PWY-6704	False	16.817017	=
|RXN-4848|					PWY-2961	False		<
|RXN-17500|			EC-3.7.1.M2		PWY-7765	True	-14.187115	>
|RXN-12109|					PWY-6704	False	4.02	>
|RXN-15846|			EC-2.1.1.313			True	-27.282227	>
|RXN-15784|			EC-4.2.1		PWY-7547	True	31.658619	>
|RXN-12110|					PWY-6704	False	-63.907303	>
|SPHINGOSINE-N-ACYLTRANSFERASE-RXN|			EC-2.3.1.24	R01496		False	333.65692	?
|RXN-12112|			EC-1.7.1.14			True	-10.21228	?
|RXN-15847|			EC-2.1.1			False	-6.740036	>
|RXN-8568|			EC-1.3.1.95	R10161	PWY-5494	True	7.621765	<
|RXN-9866|			EC-1.14.13.20		PWY-6086	True	-86.31052	>
|RXN-8557|			EC-4.2.3			True	-67.26999	>
|RXN-12115|			EC-1.13.12.18		PWY-7912	True		>
|RXN-4861|			EC-5.5.1.12	R06298	PWY-7680,PWY-5411,PWY-5422,PWY-5421,PWY-5414,PWY-5413,PWY-5412	True	-43.14	>
|RXN-17501|			EC-2.4.1.339			True	-10.329956	=
|RXN-12116|			EC-3.1.4.54			True	-5.8623962	>
|RXN-15848|						False	-55.189056	?
|RXN-15898|			EC-6.3.2		PWY-7563	True	142.13013	>
|RXN-12117|		 (2Z,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, (+)-2-epi-prezizaene-forming)	EC-4.2.3			True	-56.69998	>
