abbreviation,addedBy,cog,csecoida,description,ecnumber,formula,keggId,keggorthology,lastModified,mcs,modifiedBy,notes,pdmapName,ref,reversible,rxn_id,subsystem,url
11DOCRTSTRNtm,,,3A0000000,11-deoxycorticosterone intracellular transport,,11docrtstrn[c] <=> 11docrtstrn[m] ,,,2016-11-30T10:22:57Z,1,,unknown mechanism NJ,,,1,11,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/11/?format=pcsv
11DOCRTSTRNtr,,,3A0000000,11-deoxycorticosterone intracellular transport,,11docrtstrn[c] <=> 11docrtstrn[r] ,,,2016-11-30T10:22:57Z,1,,unknown mechanism NJ,,,1,12,"Transport, endoplasmic reticular",http://vmh.uni.lu/_api/reactions/12/?format=pcsv
13DAMPPOX,,,3A0000212,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",1.4.3.6,13dampp[c] + h2o[c] + o2[c] -> bamppald[c] + h2o2[c] + nh4[c] ,,,2016-11-30T10:22:57Z,1,,SAB,,"PMID:15035803,PMID:8920635,PMID:9653080",0,13,beta-Alanine metabolism,http://vmh.uni.lu/_api/reactions/13/?format=pcsv
1a_24_25VITD2Hm,,,3A0000134,"1-alpha-Vitamin D-24,25-hydroxylase (D2)",,o2[m] + 2425dhvitd2[m] + h[m] + nadph[m] -> h2o[m] + 1a2425thvitd2[m] + nadp[m] ,,,2016-11-30T10:22:57Z,2,,,,PMID:6974773,0,14,Vitamin D metabolism,http://vmh.uni.lu/_api/reactions/14/?format=pcsv
1a_24_25VITD3Hm,,,3A0000134,"1-alpha-Vitamin D-24,25-hydroxylase (D3)",,o2[m] + h[m] + nadph[m] + 2425dhvitd3[m] -> h2o[m] + nadp[m] + 1a2425thvitd3[m] ,,,2016-11-30T10:22:57Z,2,,,,PMID:15574355,0,15,Vitamin D metabolism,http://vmh.uni.lu/_api/reactions/15/?format=pcsv
1a_25VITD2Hm,,,3A0000134,"1-alpha,24R,25-Vitamin D-hydroxylase (D2)",,o2[m] + h[m] + nadph[m] + 1a25dhvitd2[m] -> h2o[m] + 1a2425thvitd2[m] + nadp[m] ,,,2016-11-30T10:22:57Z,4,,,,PMID:6974773,0,16,Vitamin D metabolism,http://vmh.uni.lu/_api/reactions/16/?format=pcsv
1a_25VITD3Hm,,,3A0000134,"1-alpha,24R,25-Vitamin D-hydroxylase (D3)",,o2[m] + h[m] + nadph[m] + 1a25dhvitd3[m] -> h2o[m] + nadp[m] + 1a2425thvitd3[m] ,,,2016-11-30T10:22:57Z,4,,,,PMID:15574355,0,17,Vitamin D metabolism,http://vmh.uni.lu/_api/reactions/17/?format=pcsv
1MNCAMti,,,3A0000000,N1-Methylnicotinamide transport,,h2o[c] + 1mncam[c] + atp[c] -> h[c] + 1mncam[e] + adp[c] + pi[c] ,,,2016-11-30T10:22:57Z,2,,"IT based on information in Bender, 2003, 2nd Ed., Nutritional Biochemistry of the Vitamins, p. 206",,,0,18,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/18/?format=pcsv
1PPDCRp,,,3A0000000,"delta1-piperideine-2-carboxylate reductase, perixosomal",,h[x] + 1pipdn2c[x] + nadh[x] -> Lpipecol[x] + nad[x] ,,,2016-11-30T10:22:57Z,2,,MM,,"PMID:10485319,PMID:10772957",0,19,Lysine metabolism,http://vmh.uni.lu/_api/reactions/19/?format=pcsv
24_25DHVITD2t,,,3A0000000,"24,25-Dihydroxyvitamin D2 transport from cytoplasm",,2425dhvitd2[c] -> 2425dhvitd2[e] ,,,2016-11-30T10:22:58Z,2,,,,,0,20,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/20/?format=pcsv
24_25DHVITD2tm,,,3A0000000,"24,25-Dihydroxyvitamin D2 transport from mitochondria",,2425dhvitd2[m] -> 2425dhvitd2[c] ,,,2016-11-30T10:22:58Z,2,,,,,0,21,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/21/?format=pcsv
24_25DHVITD3t,,,3A0000000,"24,25-Dihydroxyvitamin D3 transport from cytoplasm",,2425dhvitd3[c] -> 2425dhvitd3[e] ,,,2016-11-30T10:22:58Z,2,,,,,0,22,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/22/?format=pcsv
24_25DHVITD3tm,,,3A0000000,"24,25-Dihydroxyvitamin D3 transport from mitochondria",,2425dhvitd3[m] -> 2425dhvitd3[c] ,,,2016-11-30T10:22:58Z,2,,,,,0,23,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/23/?format=pcsv
24_25VITD2Hm,,,3A0000000,24R-Vitamin D-25-hydroxylase (D2),,o2[m] + h[m] + nadph[m] + 25hvitd2[m] -> h2o[m] + 2425dhvitd2[m] + nadp[m] ,,,2016-11-30T10:22:58Z,4,,"based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT",,"PMID:15358094,PMID:8266831",0,24,Vitamin D metabolism,http://vmh.uni.lu/_api/reactions/24/?format=pcsv
24_25VITD3Hm,,,3A0000269,24R-Vitamin D-25-hydroxylase (D3),,o2[m] + h[m] + nadph[m] + 25hvitd3[m] -> h2o[m] + nadp[m] + 2425dhvitd3[m] ,,,2016-11-30T10:22:58Z,4,,"based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT; RE2240M",,"PMID:15358094,PMID:8266831",0,25,Vitamin D metabolism,http://vmh.uni.lu/_api/reactions/25/?format=pcsv
24NPHte,,,3A0000000,xenobiotic transport,,24nph[e] <=> 24nph[c] ,,,2016-11-30T10:22:58Z,2,,"unknown mechanism, related cyp P450 metabolism reactions NJ. Steriods transported by free diffusion",,,1,26,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/26/?format=pcsv
25HVITD2t,,,3A0000000,25-hydroxyvitamin D2 transport from cytoplasm,,25hvitd2[c] -> 25hvitd2[e] ,,,2016-11-30T10:22:58Z,2,,"is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT",,,0,27,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/27/?format=pcsv
25HVITD2tin,,,3A0000000,25-hydroxyvitamin D2 transport in cytoplasm,,25hvitd2[e] -> 25hvitd2[c] ,,,2016-11-30T10:22:58Z,2,,"is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT. Biochemicql",,PMID:12045394,0,28,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/28/?format=pcsv
25HVITD2tin_m,,,3A0000000,25-hydroxyvitamin D2 transport in mitochondria,,25hvitd2[c] -> 25hvitd2[m] ,,,2016-11-30T10:22:58Z,2,,,,,0,29,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/29/?format=pcsv
25HVITD2tm,,,3A0000000,25-hydroxyvitamin D2 transport from mitochondria,,25hvitd2[m] -> 25hvitd2[c] ,,,2016-11-30T10:22:58Z,2,,"is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT",,,0,30,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/30/?format=pcsv
25HVITD3t,,,3A0000000,25-hydroxyvitamin D3 transport from cytoplasm,,25hvitd3[c] -> 25hvitd3[e] ,,,2016-11-30T10:22:58Z,2,,"is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT. Biochemical",,PMID:12045394,0,31,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/31/?format=pcsv
25HVITD3tin,,,3A0000000,25-hydroxyvitamin D3 transport in cytoplasm,,25hvitd3[e] -> 25hvitd3[c] ,,,2016-11-30T10:22:58Z,2,,"is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT",,,0,32,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/32/?format=pcsv
25HVITD3tin_m,,,3A0000000,25-hydroxyvitamin D3 transport in mitochondria,,25hvitd3[c] -> 25hvitd3[m] ,,,2016-11-30T10:22:58Z,2,,,,,0,33,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/33/?format=pcsv
25HVITD3tm,,,3A0000000,25-hydroxyvitamin D3 transport from mitochondria,,25hvitd3[m] -> 25hvitd3[c] ,,,2016-11-30T10:22:58Z,2,,"is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT",,,0,34,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/34/?format=pcsv
25VITD2Hm,,,3A0000269,1-alpha-Vitamin D-25-hydroxylase (D2),,o2[m] + h[m] + nadph[m] + 25hvitd2[m] -> h2o[m] + nadp[m] + 1a25dhvitd2[m] ,,,2016-11-30T10:22:58Z,4,,"based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT",,"PMID:14671156,PMID:9333115",0,35,Vitamin D metabolism,http://vmh.uni.lu/_api/reactions/35/?format=pcsv
25VITD3Hm,,,3A0000269,1-alpha-Vitamin D-25-hydroxylase (D3),,o2[m] + h[m] + nadph[m] + 25hvitd3[m] -> h2o[m] + nadp[m] + 1a25dhvitd3[m] ,,,2016-11-30T10:22:58Z,4,,"based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.196 IT",,"PMID:14671156,PMID:9333115",0,36,Vitamin D metabolism,http://vmh.uni.lu/_api/reactions/36/?format=pcsv
2AMACHYD,,,3A0000000,2-Aminoacrylate hydrolysis,,h2o[c] + 2amac[c] -> nh4[c] + pyr[c] ,,,2016-11-30T10:22:58Z,4,,SAB  see PMID 500639:  this reaction is spontaneous,,PMID:500639,0,37,"Glycine, serine, alanine and threonine metabolism",http://vmh.uni.lu/_api/reactions/37/?format=pcsv
2AMACSULT,,,3A0000000,2-Aminoacrylate sulfotransferase,,nadph[c] + 2amac[c] + paps[c] -> nadp[c] + Lcyst[c] + pap[c] ,,,2016-11-30T10:22:58Z,2,,-this is a lumped rxn w/ an inferred reduction rxn that occurs in conjunction w/ sulfotransferase step; this reduction step has to occur in order for the transformation (2amac--&gt;Lcyst) to be valid -used NADPH as electron donor since it is a common cofactor involved in biosynthetic steps utilizing oxygen (see Neema for further explanations)  MM,,"PMID:3346220,PMID:6351723",0,38,Methionine and cysteine metabolism,http://vmh.uni.lu/_api/reactions/38/?format=pcsv
2AMADPTm,,,3A0000269,L-2-aminoadipate shuttle (cytosol/mitochondria),,L2aadp[c] + akg[m] -> L2aadp[m] + akg[c] ,,,2016-11-30T10:22:58Z,4,,SAB PMID 11083877,,PMID:11083877,0,39,Lysine metabolism,http://vmh.uni.lu/_api/reactions/39/?format=pcsv
2DR1PP,,,3A0000000,2-deoxy-D-ribose 1-phosphate phosphorylase,3.1.3.10,h2o[c] + 2dr1p[c] -> pi[c] + drib[c] ,,,2016-11-30T10:22:58Z,2,,NCD,,PMID:9693094,0,40,Pyrimidine catabolism,http://vmh.uni.lu/_api/reactions/40/?format=pcsv
2HBO,,,3A0000269,2-Hydroxybutyrate:NAD+ oxidoreductase,1.1.1.27,nad[c] + 2hb[c] <=> h[c] + nadh[c] + 2obut[c] ,,,2016-11-30T10:22:58Z,4,,NCD,,"PMID:10108,PMID:21765",1,41,Propanoate metabolism,http://vmh.uni.lu/_api/reactions/41/?format=pcsv
2HBt2,,,3A0000269,2-hydroxybutyrate cotransport with proton,,h[e] + 2hb[e] <=> h[c] + 2hb[c] ,,,2016-11-30T10:22:58Z,4,,NCD,,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713",1,42,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/42/?format=pcsv
2HCO3_NAt,,,3A0000269,bicarbonate transport (Na/HCO3 1:2 cotransport),,2.0 hco3[e] + na1[e] <=> 2.0 hco3[c] + na1[c] ,,,2016-11-30T10:22:58Z,4,,MM,,PMID:14722772,1,43,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/43/?format=pcsv
2MCITt,,,3A0000000,2-methylcitrate transport via diffusion,,2mcit[c] <=> 2mcit[e] ,,,2016-11-30T10:22:58Z,2,,MM,,PMID:426765,1,44,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/44/?format=pcsv
2OXOADOXm,,,3A0000304,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria),2.3.1.61,nad[m] + 2oxoadp[m] + coa[m] -> nadh[m] + co2[m] + glutcoa[m] ,,,2016-11-30T10:22:58Z,2,,SAB,,,0,45,Lysine metabolism,http://vmh.uni.lu/_api/reactions/45/?format=pcsv
2OXOADPTm,,,3A0000269,2-oxoadipate shuttle (cytosol/mitochondria),,akg[m] + 2oxoadp[c] <=> akg[c] + 2oxoadp[m] ,,,2016-11-30T10:22:58Z,4,,SAB PMID 11083877,,PMID:11083877,1,46,Tryptophan metabolism,http://vmh.uni.lu/_api/reactions/46/?format=pcsv
34DHOXPEGOX,,,3A0000269,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase",1.1.1.1,h[c] + nadh[c] + 34dhmald[c] <=> nad[c] + 34dhoxpeg[c] ,,,2016-11-30T10:22:58Z,4,,SAB,,PMID:3466164,1,47,Tyrosine metabolism,http://vmh.uni.lu/_api/reactions/47/?format=pcsv
34DHOXPEGt,,,3A0000000,"3,4-Dihydroxyphenylethyleneglycol transport (diffusion)",,34dhoxpeg[c] <=> 34dhoxpeg[e] ,,,2016-11-30T10:22:58Z,2,,SAB,,PMID:7473774,1,48,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/48/?format=pcsv
34DHPHAMT,,,3A0000212,"3,4-Dihydroxyphenylacetate:amet O-methyltransferase",2.1.1.6,34dhpha[c] + amet[c] -> h[c] + ahcys[c] + homoval[c] ,,,2016-11-30T10:22:58Z,1,,SAB,,PMID:1847521,0,49,Tyrosine metabolism,http://vmh.uni.lu/_api/reactions/49/?format=pcsv
34DHPHEt,,,3A0000269,"3,4-Dihydroxy-L-phenylalanine transport",,34dhphe[e] <=> 34dhphe[c] ,,,2016-11-30T10:22:58Z,4,,NCD,,PMID:11827462,1,50,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/50/?format=pcsv
34DHPLACOX,,,3A0000269,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase",1.2.1.5,h2o[c] + nad[c] + 34dhpac[c] -> 2.0 h[c] + nadh[c] + 34dhpha[c] ,,,2016-11-30T10:22:58Z,4,,SAB,,"PMID:11306106,PMID:2071588",0,51,Tyrosine metabolism,http://vmh.uni.lu/_api/reactions/51/?format=pcsv
34DHPLACOX_NADP_,,,3A0000269,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase",1.2.1.5,h2o[c] + nadp[c] + 34dhpac[c] <=> 2.0 h[c] + nadph[c] + 34dhpha[c] ,,,2016-11-30T10:22:58Z,4,,SAB,,"PMID:11306106,PMID:2071588",1,52,Tyrosine metabolism,http://vmh.uni.lu/_api/reactions/52/?format=pcsv
34DHXMANDACOX,,,3A0000269,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase",1.2.1.5,h2o[c] + nad[c] + 34dhmald[c] -> 2.0 h[c] + nadh[c] + 34dhoxmand[c] ,,,2016-11-30T10:22:58Z,4,,SAB,,"PMID:10424772,PMID:12616643",0,53,Tyrosine metabolism,http://vmh.uni.lu/_api/reactions/53/?format=pcsv
34DHXMANDACOX_NADP_,,,3A0000269,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase",1.2.1.5,h2o[c] + nadp[c] + 34dhmald[c] <=> 2.0 h[c] + nadph[c] + 34dhoxmand[c] ,,,2016-11-30T10:22:58Z,4,,SAB,,"PMID:10424772,PMID:12616643",1,54,Tyrosine metabolism,http://vmh.uni.lu/_api/reactions/54/?format=pcsv
34HPLFM,,,3A0000000,3-(4-hydroxyphenyl-)lactate formation,,h[m] + nadh[m] + 34hpp[m] -> nad[m] + 34hpl[m] ,,,2016-11-30T10:22:58Z,2,,IT reaction involved in formation of 4-hydroxybenzoate from tyrosine.,,"PMID:11583838,PMID:12232327",0,55,Ubiquinone synthesis,http://vmh.uni.lu/_api/reactions/55/?format=pcsv
34HPPOR,,COG3185,3A0000269,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,1.13.11.27,o2[c] + 34hpp[c] -> co2[c] + hgentis[c] ,R02521,K00457,2016-11-30T10:22:58Z,4,,,,,0,56,Tyrosine metabolism,http://vmh.uni.lu/_api/reactions/56/?format=pcsv
35CGMPtn,,,3A0000000,35cGMP nuclear transport,,35cgmp[c] <=> 35cgmp[n] ,,,2016-11-30T10:22:58Z,2,,IT,,,1,57,"Transport, nuclear",http://vmh.uni.lu/_api/reactions/57/?format=pcsv
3AIBt,,,3A0000000,3-amino-isobutyrate transport,,3aib[c] -> 3aib[e] ,,,2016-11-30T10:22:58Z,2,,HOW?  IT,,,0,58,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/58/?format=pcsv
3AIBTm,,,3A0000000,"3-amino-isobutyrate transport, mitochondrial",,3aib[m] + 2mop[m] + glu_L[m] -> akg[m] + 3aib[c] + 3aib[m] ,,,2016-11-30T10:22:58Z,2,,,,,0,59,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/59/?format=pcsv
3DPHBH1,,,3A0000000,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH),,o2[m] + h[m] + nadh[m] + 3dphb[m] -> h2o[m] + nad[m] + 3dpdhb[m] ,,,2016-11-30T10:22:58Z,2,,Used to make Ubiquinone-10 enzyme has not been identified yet. IT,,PMID:11051212,0,60,Ubiquinone synthesis,http://vmh.uni.lu/_api/reactions/60/?format=pcsv
3DPHBH2,,,3A0000000,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH),,o2[m] + h[m] + nadph[m] + 3dphb[m] -> h2o[m] + nadp[m] + 3dpdhb[m] ,,,2016-11-30T10:22:58Z,2,,Used to make Ubiquinone-10 enzyme has not been identified yet. IT,,PMID:11051212,0,61,Ubiquinone synthesis,http://vmh.uni.lu/_api/reactions/61/?format=pcsv
3DSPHR,,,3A0000269,3-Dehydrosphinganine reductase,1.1.1.102,h[c] + nadph[c] + 3dsphgn[c] -> nadp[c] + sphgn[c] ,,,2016-11-30T10:22:58Z,4,,,,,0,62,Sphingolipid metabolism,http://vmh.uni.lu/_api/reactions/62/?format=pcsv
3HAO,,,3A0000269,"3-hydroxyanthranilate 3,4-dioxygenase",1.13.11.6,o2[c] + 3hanthrn[c] -> h[c] + cmusa[c] ,,,2016-11-30T10:22:58Z,4,,NCD,,PMID:7514594,0,63,Tryptophan metabolism,http://vmh.uni.lu/_api/reactions/63/?format=pcsv
3HBCDm,,,3A0000254,"3-hydroxybutyryl-CoA dehydratase, mitochondrial",4.2.1.55,h2o[m] + b2coa[m] <=> 3hbcoa_R[m] ,,,2016-11-30T10:22:58Z,2,,NCD. rat gene that is homologous to the human gene encodes for this activity,,PMID:9073515,1,64,Butanoate metabolism,http://vmh.uni.lu/_api/reactions/64/?format=pcsv
3HBCOAHLm,,,3A0000000,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",3.1.2.4,h2o[m] + 3hibutcoa[m] -> h[m] + coa[m] + 3hmp[m] ,,,2016-11-30T10:22:58Z,2,,MM,,PMID:8824301,0,65,"Valine, leucine, and isoleucine metabolism",http://vmh.uni.lu/_api/reactions/65/?format=pcsv
3HKYNAKGAT,,,3A0000304,3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase,2.6.1.7,akg[c] + hLkynr[c] -> glu_L[c] + 42A3HP24DB[c] ,,,2016-11-30T10:22:58Z,2,,SAB,,PMID:13357462,0,66,Tryptophan metabolism,http://vmh.uni.lu/_api/reactions/66/?format=pcsv
3HLYTCL,,,3A0000269,3-Hydroxy-L-tyrosine carboxy-lyase,4.1.1.28,h[c] + 34dhphe[c] -> co2[c] + dopa[c] ,,,2016-11-30T10:22:58Z,4,,SAB,,,0,67,Tyrosine metabolism,http://vmh.uni.lu/_api/reactions/67/?format=pcsv
3HPCOAHYD,,,3A0000269,3-hydroxyisobutyryl-Coenzyme A hydrolase,3.1.2.4,h2o[c] + 3hpcoa[c] -> h[c] + coa[c] + 3hpp[c] ,,,2016-11-30T10:22:58Z,4,,SAB,,PMID:8824301,0,68,beta-Alanine metabolism,http://vmh.uni.lu/_api/reactions/68/?format=pcsv
3HPPD,,,3A0000000,3-hydroxypropionate dehydrogenase,1.1.1.59,nad[c] + 3hpp[c] <=> h[c] + nadh[c] + msa[c] ,,,2016-11-30T10:22:58Z,2,,NCD,,PMID:4507604,1,69,Propanoate metabolism,http://vmh.uni.lu/_api/reactions/69/?format=pcsv
3HXKYNDCL,,,3A0000000,3-Hydroxykynurenamine decarboxy-lyase,,h[c] + hLkynr[c] -> co2[c] + 3hxkynam[c] ,,,2016-11-30T10:22:58Z,1,,SAB made up name,,,0,70,Tryptophan metabolism,http://vmh.uni.lu/_api/reactions/70/?format=pcsv
3HXKYNOXDA,,,3A0000000,3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),1.4.3.4,o2[c] + 3hxkynam[c] -> h2o2[c] + nh4[c] + 48dhoxquin[c] ,,,2016-11-30T10:22:58Z,1,,SAB,,"PMID:15035803,PMID:8920635,PMID:9653080",0,71,Tryptophan metabolism,http://vmh.uni.lu/_api/reactions/71/?format=pcsv
3M4HDXPAC,,,3A0000134,3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase,1.2.1.5,h2o[c] + nad[c] + 3mox4hpac[c] <=> 2.0 h[c] + nadh[c] + homoval[c] ,,,2016-11-30T10:22:58Z,1,,SAB,,"PMID:6422947,PMID:9732974",1,72,Tyrosine metabolism,http://vmh.uni.lu/_api/reactions/72/?format=pcsv
3MLDAt,,,3A0000000,3MLDA extracellular transport via diffusion,,3mlda[c] <=> 3mlda[e] ,,,2016-11-30T10:22:58Z,2,,SAB,,PMID:11411609,1,73,"Transport, extracellular",http://vmh.uni.lu/_api/reactions/73/?format=pcsv
3MOBt2im,,,3A0000000,3-methyl-2-oxobutanoate mitochondrial transport via proton symport,,h[c] + 3mob[c] -> h[m] + 3mob[m] ,,,2016-11-30T10:22:58Z,4,,MM,,PMID:8428987,0,74,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/74/?format=pcsv
3MOPt2im,,,3A0000000,3-Methyl-2-oxopentanoate mitochondrial transport via proton symport,,h[c] + 3mop[c] -> h[m] + 3mop[m] ,,,2016-11-30T10:22:58Z,4,,MM,,PMID:8428987,0,75,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/75/?format=pcsv
3MOX4HOXPGALDOX,,,3A0000304,3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase,1.2.1.5,h2o[c] + nad[c] + 3m4hpga[c] -> 2.0 h[c] + nadh[c] + 3mox4hoxm[c] ,,,2016-11-30T10:22:58Z,2,,SAB,,,0,76,Tyrosine metabolism,http://vmh.uni.lu/_api/reactions/76/?format=pcsv
3MOX4HOXPGALDOX_NADP_,,,3A0000304,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase,1.2.1.5,h2o[c] + nadp[c] + 3m4hpga[c] <=> 2.0 h[c] + nadph[c] + 3mox4hoxm[c] ,,,2016-11-30T10:22:58Z,2,,SAB,,,1,77,Tyrosine metabolism,http://vmh.uni.lu/_api/reactions/77/?format=pcsv
3MOXTYROX,,,3A0000269,3-Methoxytyramine:oxygen oxidoreductase (deaminating),1.4.3.4,h2o[c] + o2[c] + 3moxtyr[c] -> h2o2[c] + nh4[c] + 3mox4hpac[c] ,,,2016-11-30T10:22:58Z,4,,SAB,,PMID:10867119,0,78,Tyrosine metabolism,http://vmh.uni.lu/_api/reactions/78/?format=pcsv
3NTD7l,,,3A0000269,"3'-nucleotidase (AMP), lysosome",3.1.3.2,h2o[l] + 3amp[l] -> pi[l] + adn[l] ,,,2016-11-30T10:22:58Z,4,,MKA AMF IT,,,0,79,Purine catabolism,http://vmh.uni.lu/_api/reactions/79/?format=pcsv
