rxn	name	ec	pathway	pathway.name	subsystem	gapseq
1.5.1.20-RXN	5,10-methylenetetrahydrofolate reductase	1.5.1.20/1.1.1.171	|1CMET2-PWY|	folate transformations III (E. coli)	Vitamin-Biosynthesis,Biosynthesis,Cofactor-Biosynthesis,Carriers-Biosynthesis,C1-Carrier-Biosynthesis,Folate-Biosynthesis,Folate-Transformations	rxn00909 rxn00910 rxn04954 rxn31870
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13	|1CMET2-PWY|	folate transformations III (E. coli)	Vitamin-Biosynthesis,Biosynthesis,Cofactor-Biosynthesis,Carriers-Biosynthesis,C1-Carrier-Biosynthesis,Folate-Biosynthesis,Folate-Transformations	rxn00693 rxn16206 rxn33979
GCVMULTI-RXN	gcv system	""	|1CMET2-PWY|	folate transformations III (E. coli)	Vitamin-Biosynthesis,Biosynthesis,Cofactor-Biosynthesis,Carriers-Biosynthesis,C1-Carrier-Biosynthesis,Folate-Biosynthesis,Folate-Transformations	""
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9	|1CMET2-PWY|	folate transformations III (E. coli)	Vitamin-Biosynthesis,Biosynthesis,Cofactor-Biosynthesis,Carriers-Biosynthesis,C1-Carrier-Biosynthesis,Folate-Biosynthesis,Folate-Transformations	rxn01211 rxn24147 rxn34053
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5	|1CMET2-PWY|	folate transformations III (E. coli)	Vitamin-Biosynthesis,Biosynthesis,Cofactor-Biosynthesis,Carriers-Biosynthesis,C1-Carrier-Biosynthesis,Folate-Biosynthesis,Folate-Transformations	rxn00907 rxn32777
GLYOHMETRANS-RXN	5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase	2.1.2.1	|1CMET2-PWY|	folate transformations III (E. coli)	Vitamin-Biosynthesis,Biosynthesis,Cofactor-Biosynthesis,Carriers-Biosynthesis,C1-Carrier-Biosynthesis,Folate-Biosynthesis,Folate-Transformations	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45	|1CMET2-PWY|	folate transformations III (E. coli)	Vitamin-Biosynthesis,Biosynthesis,Cofactor-Biosynthesis,Carriers-Biosynthesis,C1-Carrier-Biosynthesis,Folate-Biosynthesis,Folate-Transformations	rxn01520 rxn11007 rxn34042
AMINOBENZCOALIG-RXN	2-aminobenzoate-CoA ligase	6.2.1.32	|2AMINOBENZDEG-PWY|	anthranilate degradation III (anaerobic)	Degradation,AROMATIC-COMPOUNDS-DEGRADATION,2-Aminobenzoate-Degradation	rxn00723 rxn05125
AMBENCOATHAUERA-RXN	2-aminobenzoyl-CoA reductase	""	|2AMINOBENZDEG-PWY|	anthranilate degradation III (anaerobic)	Degradation,AROMATIC-COMPOUNDS-DEGRADATION,2-Aminobenzoate-Degradation	""
2ASDOSALCAL-RXN	2-aminobenzenesulfonate,NADH:oxygen oxidoreductase (2,3-hydroxylating, ammonia-forming)	1.14.12.14	|2ASDEG-PWY|	orthanilate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn03496
3SC23OALCAL-RXN	3-sulfocatechol 2,3-dioxygenase	""	|2ASDEG-PWY|	orthanilate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	""
3SC23OSPON-RXN	3SC23OSPON-RXN	""	|2ASDEG-PWY|	orthanilate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	""
RXN-8529	RXN-8529	5.3.2.6	|2ASDEG-PWY|	orthanilate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	""
4.1.1.77-RXN	4.1.1.77-RXN	4.1.1.77	|2ASDEG-PWY|	orthanilate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn01894 rxn03675 rxn18926
2-OXOBUTYRATE-SYNTHASE-RXN	2-oxobutanoate:ferredoxin oxidoreductase	1.2.7.7	|2OXOBUTYRATECAT-PWY|	2-oxobutanoate degradation II	Degradation,CARBOXYLATES-DEG,2-Oxobutanoate-Degradation	rxn05940 rxn13962 rxn14109 rxn14152 rxn17212
RXN-7938	acyl-CoA hydrolase (short chain)	3.1.2.18	|2OXOBUTYRATECAT-PWY|	2-oxobutanoate degradation II	Degradation,CARBOXYLATES-DEG,2-Oxobutanoate-Degradation	rxn05824 rxn24522
AMINEPHEN-RXN	phenylethylamine oxidase	1.4.3.21	|2PHENDEG-PWY|	phenylethylamine degradation I	AROMATIC-COMPOUNDS-DEGRADATION,Phenolic-Compounds-Degradation,Degradation,AMINE-DEG,Phenylethylamine-Degradation	rxn01715 rxn01833 rxn01903 rxn02250 rxn02828 rxn02993 rxn03639 rxn04140 rxn04571 rxn06056 rxn19154 rxn25689
PHENDEHYD-RXN	phenylacetaldehyde dehydrogenase	1.2.1.39	|2PHENDEG-PWY|	phenylethylamine degradation I	AROMATIC-COMPOUNDS-DEGRADATION,Phenolic-Compounds-Degradation,Degradation,AMINE-DEG,Phenylethylamine-Degradation	rxn01840 rxn20533
RXN-8505	4-hydroxyphenylacetate 3-monooxygenase	1.14.14.9/1.14.13.3	|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn01945 rxn02363 rxn24966
1.13.11.15-RXN	3,4-dihydroxyphenylacetate dioxygenase	1.13.11.15	|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn02366
CHMS-DEHYDROGENASE-RXN	2-hydroxy-5-carboxymethylmuconate semialdehyde dehydrogenase	1.2.1.60	|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn03055
5.3.3.10-RXN	5-carboxymethyl-2-hydroxymuconate isomerase	5.3.3.10	|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn03040 rxn03092 rxn07630 rxn12709
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	4-hydroxy-2-ketopimelate aldolase	4.1.2.52	|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	""
SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	1.2.1.79	|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn00509
HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN	2-hydroxyhepta-2,4-dienedioate hydratase	4.2.1.163	|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	""
4.1.1.68-RXN	5-carboxymethyl-2-oxo-hex-3-ene-1,7-dioate decarboxylase	4.1.1.68	|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn02884 rxn03041
HYDROXY-MANDELATE-RACEMASE-RXN	hydroxymandelate racemase	5.1.2.2	|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn02688 rxn02904
4-HYDROXYMANDELATE-OXY-RXN	(S)-mandelate dehydrogenase	""	|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	""
HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN	Hydroxybenzoylformate decarboxylase	4.1.1.7	|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn01294 rxn01933
HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN	NAD+-4-hydroxybenzaldehyde dehydrogenase	1.2.1.64	|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn00957 rxn07482
HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN	NADP+-4-hydroxybenzaldehyde dehydrogenase	1.2.1.96	|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	""
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	p-hydroxybenzoate hydroxylase	1.14.13.2	|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn00962
TCCOL-RXN	4-toluene-carboxylate monooxygenase	""	|4TOLCARBDEG-PWY|	4-toluenecarboxylate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	""
COLCYD-RXN	4-carboxybenzyl alcohol dehydrogenase	""	|4TOLCARBDEG-PWY|	4-toluenecarboxylate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	rxn13787
CYDTER-RXN	4-carboxybenzaldehyde dehydrogenase	""	|4TOLCARBDEG-PWY|	4-toluenecarboxylate degradation	Degradation,AROMATIC-COMPOUNDS-DEGRADATION	""
6-OXOCINEOLE-DEHYDROGENASE-RXN	6-oxocineole oxygenase	1.14.13.51	|6-HYDROXYCINEOLE-DEGRADATION-PWY|	1,8-cineole degradation	Degradation,SECONDARY-METABOLITE-DEGRADATION,TERPENOID-DEG	rxn02148
6-ENDO-HYDROXYCINEOLE-DEHYDROGENASE-RXN	6-endo-hydroxycineole dehydrogenase	1.1.1.241	|6-HYDROXYCINEOLE-DEGRADATION-PWY|	1,8-cineole degradation	Degradation,SECONDARY-METABOLITE-DEGRADATION,TERPENOID-DEG	rxn02147
C04718-C060066-AUTOTRANSFORMATION-RXN	C04718-C060066-AUTOTRANSFORMATION-RXN	""	|6-HYDROXYCINEOLE-DEGRADATION-PWY|	1,8-cineole degradation	Degradation,SECONDARY-METABOLITE-DEGRADATION,TERPENOID-DEG	""
RXN-4342	1,8-cineole 2-exo-monooxygenase	1.14.14.56	|6-HYDROXYCINEOLE-DEGRADATION-PWY|	1,8-cineole degradation	Degradation,SECONDARY-METABOLITE-DEGRADATION,TERPENOID-DEG	""
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9	|ACETOACETATE-DEG-PWY|	acetoacetate degradation (to acetyl CoA)	Degradation,Other-Degradation	rxn00178 rxn00874 rxn23003
ACETOACETYL-COA-TRANSFER-RXN	acetoacetyl-CoA transferase	2.8.3.9	|ACETOACETATE-DEG-PWY|	acetoacetate degradation (to acetyl CoA)	Degradation,Other-Degradation	rxn00994
2.1.1.5-RXN	betaine-homocysteine S-methyltransferase	2.1.1.5	|ADENOSYLHOMOCYSCAT-PWY|	L-methionine salvage from L-homocysteine	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,METHIONINE-SYN,Methionine-Salvage	rxn02028
MMUM-RXN	S-methylmethionine homocysteine methyltransferase	2.1.1.10	|ADENOSYLHOMOCYSCAT-PWY|	L-methionine salvage from L-homocysteine	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,METHIONINE-SYN,Methionine-Salvage	rxn00452 rxn08703
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13	|ADENOSYLHOMOCYSCAT-PWY|	L-methionine salvage from L-homocysteine	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,METHIONINE-SYN,Methionine-Salvage	rxn00693 rxn16206 rxn33979
N6-HYDROXYLYSINE-O-ACETYLTRANSFERASE-RXN	N6-hydroxylysine N-acetyltransferase	2.3.1.102	|AEROBACTINSYN-PWY|	aerobactin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Siderophores-Biosynthesis	rxn02266
1.14.13.59-RXN	L-lysine 6-monooxygenase	1.14.13.59/1.13.12.10	|AEROBACTINSYN-PWY|	aerobactin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Siderophores-Biosynthesis	rxn00311
RXN-13054	citrate:N6-acetyl-N6-hydroxy-L-lysine ligase	6.3.2.38	|AEROBACTINSYN-PWY|	aerobactin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Siderophores-Biosynthesis	""
RXN-13056	aerobactin synthase	6.3.2.39	|AEROBACTINSYN-PWY|	aerobactin biosynthesis	Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,Siderophores-Biosynthesis	""
ALANINE-AMINOTRANSFERASE-RXN	alanine aminotransferase	2.6.1.2	|ALACAT2-PWY|	L-alanine degradation II (to D-lactate)	Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,ALANINE-DEG	rxn00191 rxn33940
DLACTDEHYDROGNAD-RXN	D-lactate dehydrogenase	1.1.1.28	|ALACAT2-PWY|	L-alanine degradation II (to D-lactate)	Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,ALANINE-DEG	rxn00500
GLUTAMATE-DEHYDROGENASE-RXN	glutamate dehydrogenase	1.4.1.2	|ALACAT2-PWY|	L-alanine degradation II (to D-lactate)	Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,ALANINE-DEG	rxn00182 rxn19827
ALARACECAT-RXN	alanine racemase	5.1.1.1	|ALADEG-PWY|	L-alanine degradation I	Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,ALANINE-DEG	rxn00283
DALADEHYDROG-RXN	D-alanine dehydrogenase	""	|ALADEG-PWY|	L-alanine degradation I	Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,ALANINE-DEG	""
ALANINE-AMINOTRANSFERASE-RXN	alanine aminotransferase	2.6.1.2	|ALANINE-DEG3-PWY|	L-alanine degradation III	Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,ALANINE-DEG	rxn00191 rxn33940
ALANINE-AMINOTRANSFERASE-RXN	alanine aminotransferase	2.6.1.2	|ALANINE-SYN2-PWY|	L-alanine biosynthesis II	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,ALANINE-SYN	rxn00191 rxn33940
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	valine transaminase	2.6.1.42	|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,ALANINE-SYN	rxn00806 rxn00903 rxn01575 rxn31232 rxn33935 rxn33936
VALINE-PYRUVATE-AMINOTRANSFER-RXN	valine-pyruvate aminotransferase	2.6.1.66	|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,ALANINE-SYN	rxn00904 rxn33939
RXN-12444	FMN reductase	1.5.1.38	|ALKANEMONOX-PWY|	two-component alkanesulfonate monooxygenase	Degradation,Noncarbon-Nutrients,Sulfur-Metabolism	rxn03975
RXN0-280	alkanesulfonate monooxygenase	1.14.14.5	|ALKANEMONOX-PWY|	two-component alkanesulfonate monooxygenase	Degradation,Noncarbon-Nutrients,Sulfur-Metabolism	rxn05737 rxn07204 rxn08467 rxn26030
AMONITRO-RXN	ammonia monooxygenase	1.14.99.39	|AMMOXID-PWY|	ammonia oxidation I (aerobic)	Energy-Metabolism,CHEMOAUTOTROPHIC-ENERGY-METABOLISM,Degradation,Noncarbon-Nutrients,NITROGEN-DEG,Ammonia-oxidation	rxn14010 rxn16361 rxn19165 rxn90090
HAONITRO-RXN	hydroxylamine oxidoreductase	1.7.2.6	|AMMOXID-PWY|	ammonia oxidation I (aerobic)	Energy-Metabolism,CHEMOAUTOTROPHIC-ENERGY-METABOLISM,Degradation,Noncarbon-Nutrients,NITROGEN-DEG,Ammonia-oxidation	rxn40053
6PFRUCTPHOS-RXN	6-phosphofructokinase	2.7.1.11	|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	Energy-Metabolism,GLYCOLYSIS-VARIANTS	rxn00545 rxn00554 rxn00556 rxn00557 rxn01343 rxn01346 rxn01347 rxn01348 rxn02314 rxn02315 rxn02316 rxn02317 rxn15063 rxn15065 rxn15066 rxn15493 rxn30050 rxn31649 rxn31652 rxn31653 rxn31658 rxn33754 rxn33839 rxn38002
F16ALDOLASE-RXN	fructose-bisphosphate aldolase	4.1.2.13/4.1.2.7	|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	Energy-Metabolism,GLYCOLYSIS-VARIANTS	rxn00786 rxn01334 rxn01870 rxn15116 rxn28981 rxn31335 rxn33841 rxn33866
TRIOSEPISOMERIZATION-RXN	triosephosphate isomerase	5.3.1.1	|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	Energy-Metabolism,GLYCOLYSIS-VARIANTS	rxn00747
GAPOXNPHOSPHN-RXN	glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12	|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	Energy-Metabolism,GLYCOLYSIS-VARIANTS	rxn00781 rxn33210 rxn33842
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3	|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	Energy-Metabolism,GLYCOLYSIS-VARIANTS	rxn01100 rxn32521 rxn33845
2PGADEHYDRAT-RXN	enolase	4.2.1.11	|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	Energy-Metabolism,GLYCOLYSIS-VARIANTS	rxn00459 rxn02936 rxn33849
PEPDEPHOS-RXN	pyruvate kinase	2.7.1.40	|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	Energy-Metabolism,GLYCOLYSIS-VARIANTS	rxn00148 rxn00304 rxn00411 rxn00460 rxn00517 rxn00840 rxn01354 rxn01667 rxn32775
RXN-15513	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	5.4.2.11/3.1.3.13	|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	Energy-Metabolism,GLYCOLYSIS-VARIANTS	rxn01104 rxn01106 rxn18917 rxn33847
PGLUCISOM-RXN	glucose-6-phosphate isomerase	5.3.1.9	|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	Energy-Metabolism,GLYCOLYSIS-VARIANTS	rxn00558 rxn01977 rxn02380 rxn15364 rxn20522 rxn33602 rxn33838 rxn37760
GLUCOKIN-RXN	glucokinase	2.7.1.1/2.7.1.2	|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	Energy-Metabolism,GLYCOLYSIS-VARIANTS	rxn00216 rxn01169 rxn15249
3PGAREARR-RXN	3PGAREARR-RXN	5.4.2.12	|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	Energy-Metabolism,GLYCOLYSIS-VARIANTS	rxn01106 rxn18917 rxn33847
PHENYLPYRUVATE-DECARBOXYLASE-RXN	phenylpyruvate carboxy-lyase	4.1.1.43	|ANAPHENOXI-PWY|	L-phenylalanine degradation II (anaerobic)	Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,PHENYLALANINE-DEG	rxn01003 rxn01450
PHENDEHYD-RXN	phenylacetaldehyde dehydrogenase	1.2.1.39	|ANAPHENOXI-PWY|	L-phenylalanine degradation II (anaerobic)	Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,PHENYLALANINE-DEG	rxn01840 rxn20533
RXN-10814	L-phenylalanine:2-oxoglutarate aminotransferase	2.6.1.1/2.6.1.57/2.6.1.27	|ANAPHENOXI-PWY|	L-phenylalanine degradation II (anaerobic)	Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,PHENYLALANINE-DEG	rxn00483 rxn00493 rxn01947 rxn06810
ARABISOM-RXN	L-arabinose isomerase	5.3.1.4	|ARABCAT-PWY|	L-arabinose degradation I	Degradation,Carbohydrates-Degradation,Sugars-And-Polysaccharides-Degradation,L-Arabinose-Degradation	rxn01292 rxn15244 rxn15245 rxn19175
RIBULPEPIM-RXN	L-ribulose-5-phosphate 4-epimerase	5.1.3.4	|ARABCAT-PWY|	L-arabinose degradation I	Degradation,Carbohydrates-Degradation,Sugars-And-Polysaccharides-Degradation,L-Arabinose-Degradation	rxn04082
RXN0-5116	ribulokinase	2.7.1.16	|ARABCAT-PWY|	L-arabinose degradation I	Degradation,Carbohydrates-Degradation,Sugars-And-Polysaccharides-Degradation,L-Arabinose-Degradation	rxn01114 rxn01763 rxn15219 rxn20787
ARGINASE-RXN	arginase	3.5.3.1	|ARGASEDEG-PWY|	L-arginine degradation I (arginase pathway)	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,GLUTAMATE-SYN,Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,ARGININE-DEG	rxn00394 rxn23849
ORNITHINE-GLU-AMINOTRANSFERASE-RXN	Ornithine--oxo-glutarate aminotransferase	2.6.1.13	|ARGASEDEG-PWY|	L-arginine degradation I (arginase pathway)	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,GLUTAMATE-SYN,Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,ARGININE-DEG	rxn00467 rxn00468 rxn05981 rxn15055 rxn20494 rxn29001 rxn38905 rxn38906 rxn38907 rxn38908
RXN-14116	1-pyrroline-5-carboxylate dehydrogenase	1.2.1.88/1.5.1.12	|ARGASEDEG-PWY|	L-arginine degradation I (arginase pathway)	Biosynthesis,Amino-Acid-Biosynthesis,IND-AMINO-ACID-SYN,GLUTAMATE-SYN,Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,ARGININE-DEG	rxn00183 rxn00503 rxn00504 rxn03071 rxn03072 rxn03424 rxn06840 rxn22005 rxn28336 rxn28900 rxn31682 rxn31683 rxn32266 rxn33493 rxn33582
ARGDECARBOX-RXN	arginine decarboxylase	4.1.1.19	|ARGDEG-III-PWY|	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	Degradation,Amino-Acid-Degradation,Proteinogenic-Amino-Acids-Degradation,ARGININE-DEG	rxn00405
