id	name	altname	hierarchy	taxrange	reaId	reaEc	keyRea	reaName	reaNr	ecNr	superpathway	status	spont
|4TOLCARBDEG-PWY|	4-toluenecarboxylate degradation	4-toluenecarboxylate degradation,4-toluate degradation	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|	|TAX-1224|	TCCOL-RXN,COLCYD-RXN,CYDTER-RXN	1.14.99,1.1.1.M5,1.2.1		4-toluene-carboxylate monooxygenase;4-carboxybenzyl alcohol dehydrogenase;4-carboxybenzaldehyde dehydrogenase	3	3	False	True	
|6-HYDROXYCINEOLE-DEGRADATION-PWY|	1,8-cineole degradation	1,8-cineole degradation,6-hydroxycineole degradation	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|SECONDARY-METABOLITE-DEGRADATION|,|TERPENOID-DEG|	|TAX-2|	6-OXOCINEOLE-DEHYDROGENASE-RXN,6-ENDO-HYDROXYCINEOLE-DEHYDROGENASE-RXN,C04718-C060066-AUTOTRANSFORMATION-RXN,RXN-4342	1.14.13.51,1.1.1.241,,1.14.14.56		6-oxocineole oxygenase;6-endo-hydroxycineole dehydrogenase;C04718-C060066-AUTOTRANSFORMATION-RXN;1,8-cineole 2-exo-monooxygenase	4	3	False	True	C04718-C060066-AUTOTRANSFORMATION-RXN
|ACETATEUTIL-PWY|	superpathway of acetate utilization and formation	superpathway of acetate utilization and formation,superpathway of acetic acid utilization and formation	|Super-Pathways|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CARBOXYLATES-DEG|	|TAX-2|,|TAX-2157|	ACETATE--COA-LIGASE-RXN,ACETATEKIN-RXN,PHOSACETYLTRANS-RXN	6.2.1.1,2.7.2.15/2.7.2.1,2.3.1.8		acetyl-CoA synthetase (AMP-forming);acetate kinase;phosphate acetyltransferase	3	3	True	True	
|ACETOACETATE-DEG-PWY|	acetoacetate degradation (to acetyl CoA)	acetoacetate degradation (to acetyl CoA),acetoacetic acid degradation (to acetyl CoA)	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Other-Degradation|	|TAX-2|	ACETYL-COA-ACETYLTRANSFER-RXN,ACETOACETYL-COA-TRANSFER-RXN	2.3.1.16/2.3.1.9,2.8.3.9	ACETOACETYL-COA-TRANSFER-RXN	acetyl-CoA acetyltransferase;acetoacetyl-CoA transferase	2	2	False	True	
|ADENOSYLHOMOCYSCAT-PWY|	L-methionine salvage from L-homocysteine	L-methionine salvage from L-homocysteine	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|METHIONINE-SYN|,|Methionine-Salvage|	|TAX-40674|	2.1.1.5-RXN,MMUM-RXN,HOMOCYSMETB12-RXN	2.1.1.5,2.1.1.10,2.1.1.13		betaine-homocysteine S-methyltransferase;S-methylmethionine homocysteine methyltransferase;cobalamin-dependent methionine synthase	3	3	False	True	
|AEROBACTINSYN-PWY|	aerobactin biosynthesis	aerobactin biosynthesis	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|SECONDARY-METABOLITE-BIOSYNTHESIS|,|Siderophores-Biosynthesis|	|TAX-1224|	N6-HYDROXYLYSINE-O-ACETYLTRANSFERASE-RXN,1.14.13.59-RXN,RXN-13054,RXN-13056	2.3.1.102,1.14.13.59,6.3.2.38,6.3.2.39		N6-hydroxylysine N-acetyltransferase;L-lysine 6-monooxygenase;citrate:N6-acetyl-N6-hydroxy-L-lysine ligase;aerobactin synthase	4	4	False	True	
|ALACAT2-PWY|	L-alanine degradation II (to D-lactate)	L-alanine degradation II (to D-lactate)	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Amino-Acid-Degradation|,|Proteinogenic-Amino-Acids-Degradation|,|ALANINE-DEG|	|TAX-33090|,|TAX-1239|	ALANINE-AMINOTRANSFERASE-RXN,DLACTDEHYDROGNAD-RXN,GLUTAMATE-DEHYDROGENASE-RXN	2.6.1.2,1.1.1.28,1.4.1.2		alanine aminotransferase;D-lactate dehydrogenase;glutamate dehydrogenase	3	3	False	True	
|ALADEG-PWY|	L-alanine degradation I	L-alanine degradation I	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Amino-Acid-Degradation|,|Proteinogenic-Amino-Acids-Degradation|,|ALANINE-DEG|	|TAX-2|	ALARACECAT-RXN,DALADEHYDROG-RXN	5.1.1.1,1.4.5	DALADEHYDROG-RXN	alanine racemase;D-alanine dehydrogenase	2	2	False	True	
|ALANINE-DEG3-PWY|	L-alanine degradation III	L-alanine degradation III	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Amino-Acid-Degradation|,|Proteinogenic-Amino-Acids-Degradation|,|ALANINE-DEG|	|TAX-2759|	ALANINE-AMINOTRANSFERASE-RXN	2.6.1.2		alanine aminotransferase	1	1	False	True	
|ALANINE-SYN2-PWY|	L-alanine biosynthesis II	L-alanine biosynthesis II	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|ALANINE-SYN|	|TAX-2759|,|TAX-2|	ALANINE-AMINOTRANSFERASE-RXN	2.6.1.2		alanine aminotransferase	1	1	False	True	
|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	L-alanine biosynthesis I	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|ALANINE-SYN|	|TAX-2|	BRANCHED-CHAINAMINOTRANSFERVAL-RXN,VALINE-PYRUVATE-AMINOTRANSFER-RXN	2.6.1.42,2.6.1.66		valine transaminase;valine-pyruvate aminotransferase	2	2	False	True	
|ALKANEMONOX-PWY|	two-component alkanesulfonate monooxygenase	two-component alkanesulfonate monooxygenase,alkanesulfonate monooxygenase two-component system,alkanesulfonate monooxygenase	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Noncarbon-Nutrients|,|Sulfur-Metabolism|	|TAX-2|	RXN-12444,RXN0-280	1.5.1.38,1.14.14.5	RXN0-280	FMN reductase;alkanesulfonate monooxygenase	2	2	False	True	
|ALLANTOINDEG-PWY|	superpathway of allantoin degradation in yeast	superpathway of allantoin degradation in yeast,ureide degradation	|Super-Pathways|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AMINE-DEG|,|Allantoin-degradation|	|TAX-4751|	ALLANTOINASE-RXN,ALLANTOICASE-RXN,UREIDOGLYCOLATE-LYASE-RXN,ALLANTOINASE-RXN,ALLANTOICASE-RXN,UREA-CARBOXYLASE-RXN,RXN-20065,RXN0-5222	3.5.2.5,3.5.3.4,4.3.2.3,3.5.2.5,3.5.3.4,6.3.4.6,3.5.1.54,		allantoinase;allantoicase;ureidoglycolate urea-lyase;allantoinase;allantoicase;urea carboxylase;allophanate hydrolase;cyanase	8	7	True	True	RXN0-5222
|ALL-CHORISMATE-PWY|	superpathway of chorismate metabolism	superpathway of chorismate metabolism	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Super-Pathways|	|TAX-2|	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN,DHHB-METHYLTRANSFER-RXN,2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN,2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN,2-OCTAPRENYL-6-OHPHENOL-METHY-RXN,2-OCTAPRENYLPHENOL-HYDROX-RXN,3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN,4OHBENZOATE-OCTAPRENYLTRANSFER-RXN,RXN-8992,CHORPYRLY-RXN,GPPSYN-RXN,FPPSYN-RXN,IPPISOM-RXN,CHORPYRLY-RXN,OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN,DHHB-METHYLTRANSFER-RXN,2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN,2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN,2-OCTAPRENYL-6-OHPHENOL-METHY-RXN,2-OCTAPRENYLPHENOL-HYDROX-RXN,3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN,4OHBENZOATE-OCTAPRENYLTRANSFER-RXN,RXN-8992,GPPSYN-RXN,FPPSYN-RXN,IPPISOM-RXN,3-DEHYDROQUINATE-SYNTHASE-RXN,DAHPSYN-RXN,CHORISMATE-SYNTHASE-RXN,2.5.1.19-RXN,SHIKIMATE-KINASE-RXN,SHIKIMATE-5-DEHYDROGENASE-RXN,3-DEHYDROQUINATE-DEHYDRATASE-RXN,3-DEHYDROQUINATE-SYNTHASE-RXN,DAHPSYN-RXN,CHORISMATE-SYNTHASE-RXN,2.5.1.19-RXN,SHIKIMATE-KINASE-RXN,SHIKIMATE-5-DEHYDROGENASE-RXN,3-DEHYDROQUINATE-DEHYDRATASE-RXN,PREPHENATEDEHYDROG-RXN,CHORISMATEMUT-RXN,TYROSINE-AMINOTRANSFERASE-RXN,PREPHENATEDEHYDRAT-RXN,CHORISMATEMUT-RXN,RXN-10814,IGPSYN-RXN,PRAISOM-RXN,PRTRANS-RXN,ANTHRANSYN-RXN,RXN0-2382,RXN0-2381,3-DEHYDROQUINATE-SYNTHASE-RXN,DAHPSYN-RXN,CHORISMATE-SYNTHASE-RXN,2.5.1.19-RXN,SHIKIMATE-KINASE-RXN,SHIKIMATE-5-DEHYDROGENASE-RXN,3-DEHYDROQUINATE-DEHYDRATASE-RXN,3-DEHYDROQUINATE-SYNTHASE-RXN,DAHPSYN-RXN,CHORISMATE-SYNTHASE-RXN,2.5.1.19-RXN,SHIKIMATE-KINASE-RXN,SHIKIMATE-5-DEHYDROGENASE-RXN,3-DEHYDROQUINATE-DEHYDRATASE-RXN,3-DEHYDROQUINATE-SYNTHASE-RXN,DAHPSYN-RXN,CHORISMATE-SYNTHASE-RXN,2.5.1.19-RXN,SHIKIMATE-KINASE-RXN,SHIKIMATE-5-DEHYDROGENASE-RXN,3-DEHYDROQUINATE-DEHYDRATASE-RXN,IGPSYN-RXN,PRAISOM-RXN,PRTRANS-RXN,ANTHRANSYN-RXN,RXN0-2382,RXN0-2381,PREPHENATEDEHYDRAT-RXN,CHORISMATEMUT-RXN,RXN-10814,PREPHENATEDEHYDROG-RXN,CHORISMATEMUT-RXN,TYROSINE-AMINOTRANSFERASE-RXN,ISOCHORSYN-RXN,ISOCHORMAT-RXN,DHBDEHYD-RXN,ISOCHORSYN-RXN,ISOCHORMAT-RXN,DHBDEHYD-RXN,ENTDB-RXN,DHBAMPLIG-RXN,RXN0-6442,ENTF-RXN,RXN-15889,RXN-15890,RXN-15891,ENTG-RXN,O-SUCCINYLBENZOATE-COA-LIG-RXN,O-SUCCINYLBENZOATE-COA-SYN-RXN,ISOCHORSYN-RXN,2.5.1.64-RXN,RXN-9310,NAPHTHOATE-SYN-RXN,RXN-9311,DMK-RXN,ADOMET-DMK-METHYLTRANSFER-RXN,H2PTEROATESYNTH-RXN,DIHYDROFOLATESYNTH-RXN,DIHYDROFOLATEREDUCT-RXN,H2PTERIDINEPYROPHOSPHOKIN-RXN,H2NEOPTERINALDOL-RXN,DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN,H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN,GTP-CYCLOHYDRO-I-RXN,PABASYN-RXN,ADCLY-RXN,H2PTEROATESYNTH-RXN,DIHYDROFOLATESYNTH-RXN,DIHYDROFOLATEREDUCT-RXN,H2PTERIDINEPYROPHOSPHOKIN-RXN,H2NEOPTERINALDOL-RXN,DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN,H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN,GTP-CYCLOHYDRO-I-RXN,PABASYN-RXN,ADCLY-RXN	1.14.99.60,2.1.1.64,2.1.1.201,1.14.13.M56,2.1.1.222,1.14.13.240,4.1.1.98,2.5.1.39,2.5.1.90,4.1.3.40,2.5.1.1,2.5.1.10,5.3.3.2,4.1.3.40,1.14.99.60,2.1.1.64,2.1.1.201,1.14.13.M56,2.1.1.222,1.14.13.240,4.1.1.98,2.5.1.39,2.5.1.90,2.5.1.1,2.5.1.10,5.3.3.2,4.2.3.4,2.5.1.54,4.2.3.5,2.5.1.19,2.7.1.71,1.1.1.25,4.2.1.10,4.2.3.4,2.5.1.54,4.2.3.5,2.5.1.19,2.7.1.71,1.1.1.25,4.2.1.10,1.3.1.12,5.4.99.5,2.6.1.1/2.6.1.57/2.6.1.5/2.6.1.27,4.2.1.51,5.4.99.5,2.6.1.1/2.6.1.57/2.6.1.27,4.1.1.48,5.3.1.24,2.4.2.18,4.1.3.27,4.2.1.122,4.1.2.8,4.2.3.4,2.5.1.54,4.2.3.5,2.5.1.19,2.7.1.71,1.1.1.25,4.2.1.10,4.2.3.4,2.5.1.54,4.2.3.5,2.5.1.19,2.7.1.71,1.1.1.25,4.2.1.10,4.2.3.4,2.5.1.54,4.2.3.5,2.5.1.19,2.7.1.71,1.1.1.25,4.2.1.10,4.1.1.48,5.3.1.24,2.4.2.18,4.1.3.27,4.2.1.122,4.1.2.8,4.2.1.51,5.4.99.5,2.6.1.1/2.6.1.57/2.6.1.27,1.3.1.12,5.4.99.5,2.6.1.1/2.6.1.57/2.6.1.5/2.6.1.27,5.4.4.2,3.3.2.1,1.3.1.28,5.4.4.2,3.3.2.1,1.3.1.28,2.7.8.7,,6.2.1.ac,,2.7.8.7,,6.3.2.14,6.3.2.14,6.2.1.26,4.2.1.113,5.4.4.2,2.2.1.9,4.2.99.20,4.1.3.36,3.1.2.28,2.5.1.74,2.1.1.163,2.5.1.15,6.3.2.12,1.5.1.3,2.7.6.3,4.1.2.25,3.6.1,3.6.1.67,3.5.4.16,2.6.1.85,4.1.3.38,2.5.1.15,6.3.2.12,1.5.1.3,2.7.6.3,4.1.2.25,3.6.1,3.6.1.67,3.5.4.16,2.6.1.85,4.1.3.38	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN,FPPSYN-RXN,2-OCTAPRENYL-6-OHPHENOL-METHY-RXN,FPPSYN-RXN,PREPHENATEDEHYDROG-RXN,PREPHENATEDEHYDRAT-RXN,PREPHENATEDEHYDRAT-RXN,PREPHENATEDEHYDROG-RXN,RXN-15891,ENTG-RXN,O-SUCCINYLBENZOATE-COA-LIG-RXN,H2NEOPTERINALDOL-RXN,H2NEOPTERINALDOL-RXN	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase;3-demethylubiquinone-8 3-O-methyltransferase;2-octaprenyl-6-methoxy-1,4-benzoquinol methylase;2-octaprenyl-6-methoxyphenol 4-hydroxylase;2-octaprenyl-6-hydroxyphenyl methylase;2-octaprenylphenol 6-hydroxylase;3-octaprenyl-4-hydroxybenzoate decarboxylase;4-hydroxybenzoate octaprenyltransferase;all-trans-octaprenyl-diphosphate synthase;chorismate lyase;geranyl diphosphate synthase;farnesyl diphosphate synthase;isopentenyl-diphosphate delta-isomerase;chorismate lyase;2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase;3-demethylubiquinone-8 3-O-methyltransferase;2-octaprenyl-6-methoxy-1,4-benzoquinol methylase;2-octaprenyl-6-methoxyphenol 4-hydroxylase;2-octaprenyl-6-hydroxyphenyl methylase;2-octaprenylphenol 6-hydroxylase;3-octaprenyl-4-hydroxybenzoate decarboxylase;4-hydroxybenzoate octaprenyltransferase;all-trans-octaprenyl-diphosphate synthase;geranyl diphosphate synthase;farnesyl diphosphate synthase;isopentenyl-diphosphate delta-isomerase;3-dehydroquinate synthase;3-deoxy-7-phosphoheptulonate synthase;chorismate synthase;3-phosphoshikimate 1-carboxyvinyltransferase;shikimate kinase;shikimate dehydrogenase;3-dehydroquinate dehydratase;3-dehydroquinate synthase;3-deoxy-7-phosphoheptulonate synthase;chorismate synthase;3-phosphoshikimate 1-carboxyvinyltransferase;shikimate kinase;shikimate dehydrogenase;3-dehydroquinate dehydratase;prephenate dehydrogenase;chorismate mutase;tyrosine aminotransferase;prephenate dehydratase;chorismate mutase;phenylalanine transaminase;indole-3-glycerol phosphate synthase;phosphoribosylanthranilate isomerase;anthranilate phosphoribosyl transferase;anthranilate synthase;tryptophan synthase;indoleglycerol phosphate aldolase;3-dehydroquinate synthase;3-deoxy-7-phosphoheptulonate synthase;chorismate synthase;3-phosphoshikimate 1-carboxyvinyltransferase;shikimate kinase;shikimate dehydrogenase;3-dehydroquinate dehydratase;3-dehydroquinate synthase;3-deoxy-7-phosphoheptulonate synthase;chorismate synthase;3-phosphoshikimate 1-carboxyvinyltransferase;shikimate kinase;shikimate dehydrogenase;3-dehydroquinate dehydratase;3-dehydroquinate synthase;3-deoxy-7-phosphoheptulonate synthase;chorismate synthase;3-phosphoshikimate 1-carboxyvinyltransferase;shikimate kinase;shikimate dehydrogenase;3-dehydroquinate dehydratase;indole-3-glycerol phosphate synthase;phosphoribosylanthranilate isomerase;anthranilate phosphoribosyl transferase;anthranilate synthase;tryptophan synthase;indoleglycerol phosphate aldolase;prephenate dehydratase;chorismate mutase;phenylalanine transaminase;prephenate dehydrogenase;chorismate mutase;tyrosine aminotransferase;ISOCHORSYN-RXN;isochorismatase;2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase;ISOCHORSYN-RXN;isochorismatase;2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase;phosphopantetheinyl transferase;(2,3-dihydroxybenzoyl)adenylate synthase;2,3-dihydroxybenzoate-[aryl-carrier protein] ligase;serine adenylyltransferase;phosphopantetheinyl transferase;enterobactin synthase;2,3-dihydroxybenzoyl-[EntB]:seryl-[EntF] 2,3-dihydroxybenzoate transferase;enterobactin synthase;o-succinylbenzoate-CoA ligase;o-succinylbenzoate synthase;ISOCHORSYN-RXN;2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase;(1R,6R)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase;1,4-dihydroxy-2-naphthoyl-CoA synthase;1,4-dihydroxy-2-naphthoyl-CoA hydrolase;1,4-dihydroxy-2-naphthoate octaprenyltransferase;demethylmenaquinone methyltransferase;dihydropteroate synthase;dihydrofolate synthetase;dihydrofolate reductase;2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase;dihydroneopterin aldolase;DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN;dihydroneopterin triphosphate diphosphatase;GTP cyclohydrolase I;4-amino-4-deoxychorismate synthase;aminodeoxychorismate lyase;dihydropteroate synthase;dihydrofolate synthetase;dihydrofolate reductase;2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase;dihydroneopterin aldolase;DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN;dihydroneopterin triphosphate diphosphatase;GTP cyclohydrolase I;4-amino-4-deoxychorismate synthase;aminodeoxychorismate lyase	128	125	True	True	
