MS ID	Old MS ID	External ID	Source
rxn02134|rxn17753|rxn17754|rxn23070|rxn23071|rxn23074|rxn23075	rxn02134	1.1.1.102	Enzyme Class
rxn01068|rxn33041|rxn33043	rxn01068	1.1.1.103	Enzyme Class
rxn02355|rxn02357|rxn04944	rxn02355|rxn02357|rxn04944	1.1.1.104	Enzyme Class
rxn01530|rxn20774|rxn23017|rxn23018|rxn32074	rxn01530|rxn02183	1.1.1.105	Enzyme Class
rxn01789	rxn01789	1.1.1.106	Enzyme Class
rxn01248	rxn01248	1.1.1.107	Enzyme Class
rxn01725|rxn15326	rxn01725	1.1.1.108	Enzyme Class
rxn00629|rxn03883	rxn00629|rxn03883	1.1.1.11	Enzyme Class
rxn01447	rxn01447	1.1.1.110	Enzyme Class
rxn02923|rxn02924|rxn19925|rxn19927|rxn36748|rxn36749|rxn36750	rxn02923|rxn02924	1.1.1.111	Enzyme Class
rxn02558|rxn02559|rxn19931	rxn02558|rxn02559	1.1.1.112	Enzyme Class
rxn02560|rxn20018	rxn02560	1.1.1.113	Enzyme Class
rxn02553|rxn11570|rxn19171	rxn02553|rxn11570	1.1.1.114	Enzyme Class
rxn05928|rxn15117|rxn20784	rxn05928	1.1.1.115	Enzyme Class
rxn01149|rxn19367	rxn01149	1.1.1.116	Enzyme Class
rxn01149|rxn01150|rxn16854|rxn25140|rxn35583|rxn35584|rxn35585|rxn35586|rxn35587|rxn35588|rxn35589|rxn35590	rxn01149|rxn01150	1.1.1.117	Enzyme Class
rxn00217|rxn01108|rxn15024	rxn00217	1.1.1.118	Enzyme Class
rxn00218|rxn01109|rxn04945|rxn15025|rxn15026|rxn15662	rxn00218|rxn04945	1.1.1.119	Enzyme Class
rxn01391	rxn01391	1.1.1.12	Enzyme Class
rxn00812|rxn00813|rxn07185|rxn15128|rxn15129|rxn15130|rxn15131|rxn15654|rxn15655	rxn00812|rxn00813|rxn07185	1.1.1.120	Enzyme Class
rxn00217|rxn01041|rxn06263|rxn12185|rxn15185|rxn15186|rxn15742|rxn15743|rxn19125	rxn00217|rxn01041|rxn06263|rxn12185	1.1.1.121	Enzyme Class
rxn01288|rxn04946|rxn07490|rxn14044|rxn19382|rxn27776	rxn01288|rxn04946|rxn07490|rxn14044	1.1.1.122	Enzyme Class
rxn01239	rxn01239	1.1.1.123	Enzyme Class
rxn00631|rxn15775|rxn19732|rxn36725	rxn00631	1.1.1.124	Enzyme Class
rxn01124|rxn02842	rxn01124|rxn02842	1.1.1.125	Enzyme Class
rxn01125	rxn01125	1.1.1.126	Enzyme Class
rxn01124	rxn01124	1.1.1.127	Enzyme Class
	rxn03954	1.1.1.128	Enzyme Class
rxn02651|rxn20017	rxn02651	1.1.1.129	Enzyme Class
rxn01764	rxn01764	1.1.1.13	Enzyme Class
rxn01911|rxn01912|rxn17750	rxn01911|rxn01912	1.1.1.130	Enzyme Class
rxn01776|rxn01777|rxn20182	rxn01776|rxn01777	1.1.1.131	Enzyme Class
rxn00638	rxn00638	1.1.1.132	Enzyme Class
rxn02003|rxn03269|rxn19642|rxn32259|rxn38091|rxn38092	rxn02003|rxn03269	1.1.1.133	Enzyme Class
rxn02002|rxn16855	rxn02002	1.1.1.134	Enzyme Class
rxn02437|rxn02439|rxn19768	rxn02437|rxn02439	1.1.1.135	Enzyme Class
rxn00298	rxn00298	1.1.1.136	Enzyme Class
rxn01112|rxn01113|rxn20778	rxn01112|rxn01113	1.1.1.137	Enzyme Class
rxn00630|rxn20173|rxn36770	rxn00630	1.1.1.138	Enzyme Class
rxn00634|rxn04943|rxn24346|rxn37282	rxn00634|rxn04943|rxn09395	1.1.1.14	Enzyme Class
rxn03886|rxn15354|rxn15656	rxn03886	1.1.1.140	Enzyme Class
rxn01880|rxn01941	rxn01880|rxn01941	1.1.1.141	Enzyme Class
rxn02501	rxn02501	1.1.1.142	Enzyme Class
rxn02500	rxn02500	1.1.1.143	Enzyme Class
rxn02772|rxn20519	rxn02772	1.1.1.144	Enzyme Class
rxn01337|rxn01339|rxn01586|rxn01587|rxn01809|rxn01810|rxn02038|rxn02040|rxn02272|rxn02385|rxn02386|rxn02905|rxn02906|rxn03198|rxn03199|rxn03317|rxn03319|rxn16758|rxn16804|rxn16856|rxn23108|rxn23150|rxn23184|rxn24245|rxn26980|rxn26982|rxn28279|rxn37865|rxn37866|rxn37867|rxn37868|rxn38409|rxn38410|rxn38411|rxn38412	rxn01337|rxn01339|rxn01586|rxn01587|rxn01809|rxn01810|rxn02038|rxn02040|rxn02272|rxn02385|rxn02386|rxn02905|rxn02906|rxn03198|rxn03199|rxn03317|rxn03319|rxn07272	1.1.1.145	Enzyme Class
rxn02035|rxn02718|rxn03255|rxn03256|rxn03309|rxn03310|rxn06341|rxn16257|rxn17377	rxn02034|rxn02035|rxn02717|rxn02718|rxn03255|rxn03256|rxn03309|rxn03310|rxn06341	1.1.1.146	Enzyme Class
rxn02307|rxn02308|rxn16857	rxn02307|rxn02308	1.1.1.147	Enzyme Class
rxn01688|rxn01689|rxn19674	rxn01688|rxn01689	1.1.1.148	Enzyme Class
rxn01582|rxn01584|rxn02383|rxn02384|rxn14177|rxn14179|rxn16858	rxn01582|rxn01584|rxn02383|rxn02384|rxn14177|rxn14179	1.1.1.149	Enzyme Class
rxn00634|rxn02073|rxn04064|rxn12177|rxn19371|rxn22171|rxn22172	rxn00634|rxn02073|rxn04064|rxn12177	1.1.1.15	Enzyme Class
rxn02179	rxn02179	1.1.1.150	Enzyme Class
rxn02180	rxn02180	1.1.1.151	Enzyme Class
rxn03000|rxn16859	rxn03000	1.1.1.152	Enzyme Class
rxn01324|rxn02132|rxn02985|rxn11742	rxn01324|rxn02132|rxn02985|rxn11742	1.1.1.153	Enzyme Class
rxn02102|rxn02103|rxn20672	rxn02102|rxn02103	1.1.1.154	Enzyme Class
	rxn03324	1.1.1.155	Enzyme Class
rxn00764	rxn00764	1.1.1.156	Enzyme Class
rxn01452|rxn03861|rxn04750|rxn32364	rxn01452|rxn03861	1.1.1.157	Enzyme Class
rxn02284|rxn02285	rxn02284|rxn02285	1.1.1.158	Enzyme Class
rxn02012	rxn02012	1.1.1.159	Enzyme Class
rxn02095	rxn02095	1.1.1.16	Enzyme Class
rxn03169|rxn15482|rxn19486	rxn03169	1.1.1.160	Enzyme Class
rxn02506|rxn25881	rxn02506	1.1.1.161	Enzyme Class
rxn01755|rxn14150	rxn01755|rxn14150	1.1.1.162	Enzyme Class
rxn01855	rxn01855	1.1.1.163	Enzyme Class
rxn01781|rxn33151	rxn01781	1.1.1.164	Enzyme Class
rxn02785	rxn02785	1.1.1.165	Enzyme Class
rxn03626	rxn03626	1.1.1.166	Enzyme Class
rxn02126	rxn02126	1.1.1.167	Enzyme Class
rxn02259|rxn16860	rxn02259	1.1.1.168	Enzyme Class
rxn01790|rxn30146|rxn37906	rxn01790	1.1.1.169	Enzyme Class
rxn00546|rxn15354|rxn20181	rxn00546	1.1.1.17	Enzyme Class
rxn03006|rxn03093|rxn03190|rxn04947|rxn06655|rxn07325|rxn16861|rxn26837|rxn26877|rxn26926|rxn26927|rxn26928|rxn26959|rxn26960|rxn26961|rxn26962|rxn37479|rxn37480|rxn37499|rxn37500|rxn37520|rxn37521|rxn37537|rxn37538	rxn03006|rxn03093|rxn03190|rxn04947|rxn06655|rxn07325	1.1.1.170	Enzyme Class
rxn30555|rxn30556		1.1.1.170-	Enzyme Class
rxn01417	rxn01417	1.1.1.172	Enzyme Class
rxn02770	rxn02770	1.1.1.173	Enzyme Class
rxn02347|rxn02348|rxn04471	rxn02347|rxn02348|rxn04471	1.1.1.174	Enzyme Class
rxn01041|rxn15185	rxn01041	1.1.1.175	Enzyme Class
rxn02013	rxn02013	1.1.1.176	Enzyme Class
rxn00613	rxn00613	1.1.1.177	Enzyme Class
rxn02933|rxn31839	rxn02933	1.1.1.178	Enzyme Class
rxn01042|rxn15187|rxn15188	rxn01042	1.1.1.179	Enzyme Class
rxn00879|rxn16798|rxn20220	rxn00879	1.1.1.18	Enzyme Class
rxn02972|rxn02973|rxn13980|rxn14049|rxn14174|rxn14319|rxn16862	rxn02972|rxn02973|rxn13980|rxn14049|rxn14174|rxn14319	1.1.1.181	Enzyme Class
rxn02557|rxn07872|rxn07873|rxn07874	rxn02557|rxn07872|rxn07873|rxn07874	1.1.1.183	Enzyme Class
rxn01881|rxn06412|rxn16257|rxn19252|rxn27742|rxn31369|rxn33360|rxn33373	rxn01881|rxn06412	1.1.1.184	Enzyme Class
rxn06416|rxn06417|rxn20007	rxn06416|rxn06417	1.1.1.185	Enzyme Class
rxn02708|rxn04948	rxn02708|rxn04948	1.1.1.186	Enzyme Class
rxn02438|rxn02440|rxn16882	rxn02438|rxn02440	1.1.1.187	Enzyme Class
rxn01942|rxn02017|rxn11966|rxn32676|rxn32679	rxn01942|rxn02017|rxn11966	1.1.1.188	Enzyme Class
rxn01881	rxn01881	1.1.1.189	Enzyme Class
rxn01079|rxn15212|rxn19821|rxn32560	rxn01079	1.1.1.19	Enzyme Class
rxn01938|rxn16863	rxn01938	1.1.1.190	Enzyme Class
rxn01939	rxn01939	1.1.1.191	Enzyme Class
rxn01781|rxn06069|rxn20051	rxn01781|rxn06069	1.1.1.192	Enzyme Class
rxn02474|rxn33143	rxn02474	1.1.1.193	Enzyme Class
rxn01887	rxn01887	1.1.1.194	Enzyme Class
rxn01887|rxn02189|rxn02758|rxn02814|rxn04424|rxn04425|rxn32400	rxn01887|rxn02189|rxn02758|rxn02814|rxn04424|rxn04425	1.1.1.195	Enzyme Class
rxn01941|rxn02018	rxn01941|rxn02018	1.1.1.196	Enzyme Class
rxn03131	rxn03131	1.1.1.197	Enzyme Class
rxn02110	rxn02110	1.1.1.198	Enzyme Class
rxn05084	rxn05084	1.1.1.199	Enzyme Class
rxn00536|rxn00765|rxn01939|rxn03546|rxn05873|rxn07238|rxn19096|rxn28151	rxn00536|rxn00763|rxn00765|rxn03546|rxn05873|rxn07238	1.1.1.2	Enzyme Class
rxn02278|rxn31892|rxn31893	rxn02278	1.1.1.20	Enzyme Class
rxn00603|rxn15070|rxn15071|rxn19126|rxn19127	rxn00603	1.1.1.200	Enzyme Class
rxn02665|rxn16864|rxn21853	rxn02665	1.1.1.201	Enzyme Class
rxn01710|rxn02235	rxn01710|rxn02235	1.1.1.202	Enzyme Class
rxn01456|rxn15291|rxn16284|rxn16285|rxn32867|rxn32893|rxn32896	rxn01456	1.1.1.203	Enzyme Class
rxn01522	rxn01297|rxn01522	1.1.1.204	Enzyme Class
rxn00834|rxn11768|rxn19930|rxn27944	rxn00834|rxn11768	1.1.1.205	Enzyme Class
rxn02033	rxn02033	1.1.1.206	Enzyme Class
rxn01566	rxn01566	1.1.1.207	Enzyme Class
rxn01850	rxn01850	1.1.1.208	Enzyme Class
rxn01793|rxn01794	rxn01793|rxn01794	1.1.1.209	Enzyme Class
rxn00763|rxn00765|rxn00809|rxn00811|rxn01043|rxn01290|rxn01291|rxn01310|rxn01831|rxn01835|rxn01879|rxn06252|rxn06253|rxn11551|rxn11552|rxn15122|rxn15123|rxn15126|rxn15127|rxn15189|rxn15190|rxn15238|rxn15239|rxn15240|rxn15241|rxn15341|rxn15345|rxn15346|rxn19120|rxn22376|rxn25135|rxn37662|rxn37663|rxn37664|rxn37665|rxn37666|rxn37667|rxn37668|rxn37669|rxn37670|rxn37671|rxn37672|rxn37795|rxn37796	rxn00763|rxn00765|rxn00809|rxn00811|rxn01043|rxn01290|rxn01291|rxn01310|rxn01831|rxn01835|rxn01879|rxn06252|rxn06253|rxn11551|rxn11552	1.1.1.21	Enzyme Class
rxn03017|rxn16866	rxn03017	1.1.1.210	Enzyme Class
rxn03239|rxn03242|rxn03244|rxn03246|rxn03249|rxn06037|rxn06777|rxn07680|rxn07684|rxn07688|rxn07726|rxn07742|rxn16867|rxn20479|rxn20481|rxn27455	rxn01451|rxn03239|rxn03242|rxn03244|rxn03246|rxn03249|rxn06037|rxn06777|rxn07680|rxn07684|rxn07688|rxn07726|rxn07742	1.1.1.211	Enzyme Class
rxn06236	rxn06236	1.1.1.212	Enzyme Class
rxn01793|rxn01794|rxn03292|rxn03293|rxn03295|rxn03296|rxn14124|rxn14176|rxn14375|rxn16865|rxn22725|rxn25841|rxn25879|rxn37152|rxn37153	rxn01793|rxn01794|rxn14124|rxn14176|rxn14375	1.1.1.213	Enzyme Class
rxn02259	rxn02259	1.1.1.214	Enzyme Class
rxn01277|rxn07970|rxn08347|rxn15834|rxn15835	rxn01277|rxn14148|rxn14160	1.1.1.215	Enzyme Class
rxn02337	rxn02337	1.1.1.216	Enzyme Class
rxn03033	rxn03033	1.1.1.217	Enzyme Class
rxn02565|rxn02566|rxn20210	rxn02565|rxn02566	1.1.1.218	Enzyme Class
rxn02238|rxn02598|rxn03413|rxn07788|rxn07789|rxn31372|rxn31373|rxn31377|rxn38079|rxn38395|rxn38437	rxn02238|rxn02598|rxn03352|rxn03413|rxn04462|rxn07788|rxn07789	1.1.1.219	Enzyme Class
rxn00211|rxn27418	rxn00211	1.1.1.22	Enzyme Class
rxn02985	rxn02985	1.1.1.220	Enzyme Class
rxn03053|rxn11605|rxn27443	rxn03053|rxn11605	1.1.1.221	Enzyme Class
rxn00997|rxn00998|rxn02392|rxn02393|rxn02394|rxn02395|rxn16869	rxn00997|rxn00998|rxn02392|rxn02393|rxn02394|rxn02395	1.1.1.222	Enzyme Class
rxn02336|rxn19950	rxn02336	1.1.1.223	Enzyme Class
rxn01328|rxn20179|rxn31904|rxn31921	rxn01328	1.1.1.224	Enzyme Class
rxn02637	rxn02637	1.1.1.225	Enzyme Class
rxn02999	rxn02999	1.1.1.226	Enzyme Class
rxn02111|rxn15382	rxn02111	1.1.1.227	Enzyme Class
rxn02659	rxn02659	1.1.1.228	Enzyme Class
rxn03045	rxn03045	1.1.1.229	Enzyme Class
rxn00859|rxn00863|rxn02159|rxn05934|rxn19892|rxn19896|rxn28381|rxn34001	rxn00859|rxn00863|rxn02159|rxn05934	1.1.1.23	Enzyme Class
rxn02868	rxn02868	1.1.1.230	Enzyme Class
rxn02513	rxn02513	1.1.1.231	Enzyme Class
rxn03112|rxn03113|rxn16870	rxn03112|rxn03113	1.1.1.232	Enzyme Class
rxn06207|rxn20232	rxn06207	1.1.1.233	Enzyme Class
rxn02709|rxn03352|rxn04462|rxn28897|rxn31263|rxn38699	rxn02709|rxn03352|rxn04462	1.1.1.234	Enzyme Class
rxn02606	rxn02606	1.1.1.235	Enzyme Class
rxn04565	rxn02033|rxn04565	1.1.1.236	Enzyme Class
rxn00997|rxn00998|rxn02392|rxn02394|rxn02419|rxn24341|rxn32725	rxn00997|rxn00998|rxn02392|rxn02394|rxn02419	1.1.1.237	Enzyme Class
rxn02498	rxn02498	1.1.1.238	Enzyme Class
rxn01336|rxn31863|rxn31878	rxn01336	1.1.1.239	Enzyme Class
rxn01363|rxn05934	rxn01363	1.1.1.24	Enzyme Class
rxn00893|rxn15156|rxn20228	rxn00893	1.1.1.240	Enzyme Class
rxn02147	rxn02147	1.1.1.241	Enzyme Class
rxn02234|rxn19263	rxn02234	1.1.1.243	Enzyme Class
rxn00430|rxn38171	rxn00430	1.1.1.244	Enzyme Class
rxn01597	rxn01597	1.1.1.245	Enzyme Class
rxn02086|rxn06278|rxn07542|rxn07562|rxn07566|rxn23869|rxn23951	rxn02086|rxn06278|rxn07542|rxn07562|rxn07566	1.1.1.246	Enzyme Class
rxn03473	rxn03473	1.1.1.247	Enzyme Class
rxn03213	rxn03213	1.1.1.248	Enzyme Class
rxn01740|rxn01741|rxn27110	rxn01740|rxn01741	1.1.1.25	Enzyme Class
rxn04932|rxn15657	rxn04932	1.1.1.250	Enzyme Class
rxn03489|rxn03856	rxn03489|rxn03856	1.1.1.251	Enzyme Class
rxn02079|rxn02381	rxn02079|rxn02381	1.1.1.252	Enzyme Class
rxn01407	rxn01407	1.1.1.254	Enzyme Class
rxn04933|rxn15658|rxn15659|rxn16872|rxn32127|rxn32200	rxn04933	1.1.1.255	Enzyme Class
rxn03651|rxn03652|rxn19019|rxn35681|rxn35682	rxn03651|rxn03652	1.1.1.256	Enzyme Class
rxn03583	rxn03583	1.1.1.257	Enzyme Class
rxn03595	rxn03595	1.1.1.258	Enzyme Class
rxn03617	rxn03617	1.1.1.259	Enzyme Class
rxn00324|rxn00512|rxn01011	rxn00324|rxn00512|rxn01011	1.1.1.26	Enzyme Class
rxn03948	rxn03948	1.1.1.260	Enzyme Class
rxn15545|rxn15546|rxn16873	rxn00611|rxn00612	1.1.1.261	Enzyme Class
rxn03951|rxn11663|rxn16876|rxn23444	rxn03951|rxn11663	1.1.1.262	Enzyme Class
rxn03952	rxn03952	1.1.1.263	Enzyme Class
rxn03953|rxn03954|rxn16877	rxn03953|rxn03954	1.1.1.264	Enzyme Class
rxn03955|rxn03956|rxn16878	rxn03955|rxn03956	1.1.1.265	Enzyme Class
rxn03957	rxn03957	1.1.1.266	Enzyme Class
rxn03958|rxn19646|rxn34017	rxn03958	1.1.1.267	Enzyme Class
rxn03959	rxn03959	1.1.1.268	Enzyme Class
rxn03960	rxn03960	1.1.1.269	Enzyme Class
rxn00499|rxn00741|rxn02228|rxn32805	rxn00499|rxn00741|rxn02228	1.1.1.27	Enzyme Class
rxn03006|rxn03190|rxn03961|rxn06655|rxn07326|rxn14019|rxn16879|rxn26741|rxn26742|rxn26846|rxn26847|rxn26880|rxn26881|rxn26931|rxn26965|rxn26966|rxn33039	rxn03006|rxn03190|rxn03961|rxn06655|rxn07326|rxn14019	1.1.1.270	Enzyme Class
rxn03962|rxn04865|rxn04866|rxn16880|rxn32399	rxn03962|rxn04865|rxn04866	1.1.1.271	Enzyme Class
rxn03963|rxn03964|rxn04934|rxn04935|rxn14302|rxn16881	rxn03963|rxn03964|rxn04934|rxn04935|rxn14302	1.1.1.272	Enzyme Class
rxn04060	rxn04060	1.1.1.273	Enzyme Class
rxn04056|rxn08345|rxn15833|rxn25994	rxn04056|rxn14063|rxn14298	1.1.1.274	Enzyme Class
rxn04134	rxn04134	1.1.1.275	Enzyme Class
rxn04137	rxn04137	1.1.1.276	Enzyme Class
rxn04141	rxn04141	1.1.1.277	Enzyme Class
rxn04936	rxn04936	1.1.1.278	Enzyme Class
rxn02872	rxn02872	1.1.1.279	Enzyme Class
rxn00500	rxn00500	1.1.1.28	Enzyme Class
rxn02873	rxn02873	1.1.1.280	Enzyme Class
rxn02438|rxn02440	rxn02438|rxn02440	1.1.1.281	Enzyme Class
