tr	exid	exmet	name	rea	mets	transporter	type	tc
rxn05147	EX_cpd00009_e0	cpd00009[e0]	D-Glucose-ABC transport	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00027_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00027_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05147	EX_cpd00027_e0	cpd00027[e0]	D-Glucose-ABC transport	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00027_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00027_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05147	EX_cpd00067_e0	cpd00067[e0]	D-Glucose-ABC transport	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00027_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00027_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05148	EX_cpd00001_e0	cpd00001[e0]	Heme transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00028_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00028_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05148	EX_cpd00002_e0	cpd00002[e0]	Heme transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00028_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00028_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05148	EX_cpd00008_e0	cpd00008[e0]	Heme transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00028_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00028_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05148	EX_cpd00009_e0	cpd00009[e0]	Heme transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00028_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00028_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05148	EX_cpd00028_e0	cpd00028[e0]	Heme transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00028_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00028_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05148	EX_cpd00067_e0	cpd00067[e0]	Heme transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00028_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00028_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05149	EX_cpd00001_e0	cpd00001[e0]	ABC-type manganese permease complex	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00030_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00030_c0 + (1) cpd00067_c0	6	permease	2.Electrochemical potential-driven transporters	
rxn05149	EX_cpd00002_e0	cpd00002[e0]	ABC-type manganese permease complex	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00030_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00030_c0 + (1) cpd00067_c0	6	permease	2.Electrochemical potential-driven transporters	
rxn05149	EX_cpd00008_e0	cpd00008[e0]	ABC-type manganese permease complex	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00030_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00030_c0 + (1) cpd00067_c0	6	permease	2.Electrochemical potential-driven transporters	
rxn05149	EX_cpd00009_e0	cpd00009[e0]	ABC-type manganese permease complex	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00030_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00030_c0 + (1) cpd00067_c0	6	permease	2.Electrochemical potential-driven transporters	
rxn05149	EX_cpd00030_e0	cpd00030[e0]	ABC-type manganese permease complex	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00030_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00030_c0 + (1) cpd00067_c0	6	permease	2.Electrochemical potential-driven transporters	
rxn05149	EX_cpd00067_e0	cpd00067[e0]	ABC-type manganese permease complex	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00030_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00030_c0 + (1) cpd00067_c0	6	permease	2.Electrochemical potential-driven transporters	
rxn05150	EX_cpd00001_e0	cpd00001[e0]	zinc transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00034_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00034_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05150	EX_cpd00002_e0	cpd00002[e0]	zinc transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00034_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00034_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05150	EX_cpd00008_e0	cpd00008[e0]	zinc transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00034_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00034_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05150	EX_cpd00009_e0	cpd00009[e0]	zinc transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00034_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00034_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05150	EX_cpd00034_e0	cpd00034[e0]	zinc transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00034_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00034_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05150	EX_cpd00067_e0	cpd00067[e0]	zinc transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00034_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00034_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05151	EX_cpd00001_e0	cpd00001[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00039_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00039_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05151	EX_cpd00002_e0	cpd00002[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00039_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00039_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05151	EX_cpd00008_e0	cpd00008[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00039_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00039_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05151	EX_cpd00009_e0	cpd00009[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00039_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00039_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05151	EX_cpd00039_e0	cpd00039[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00039_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00039_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05151	EX_cpd00067_e0	cpd00067[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00039_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00039_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05152	EX_cpd00001_e0	cpd00001[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00041_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00041_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05152	EX_cpd00002_e0	cpd00002[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00041_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00041_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05152	EX_cpd00008_e0	cpd00008[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00041_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00041_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05152	EX_cpd00009_e0	cpd00009[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00041_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00041_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05152	EX_cpd00041_e0	cpd00041[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00041_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00041_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05152	EX_cpd00067_e0	cpd00067[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00041_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00041_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05153	EX_cpd00001_e0	cpd00001[e0]	sulfate-transporting ATPase	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00048_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00048_c0 + (1) cpd00067_c0	6	atpase	3.Primary active transporters	
rxn05153	EX_cpd00002_e0	cpd00002[e0]	sulfate-transporting ATPase	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00048_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00048_c0 + (1) cpd00067_c0	6	atpase	3.Primary active transporters	
rxn05153	EX_cpd00008_e0	cpd00008[e0]	sulfate-transporting ATPase	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00048_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00048_c0 + (1) cpd00067_c0	6	atpase	3.Primary active transporters	
rxn05153	EX_cpd00009_e0	cpd00009[e0]	sulfate-transporting ATPase	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00048_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00048_c0 + (1) cpd00067_c0	6	atpase	3.Primary active transporters	
rxn05153	EX_cpd00048_e0	cpd00048[e0]	sulfate-transporting ATPase	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00048_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00048_c0 + (1) cpd00067_c0	6	atpase	3.Primary active transporters	
rxn05153	EX_cpd00067_e0	cpd00067[e0]	sulfate-transporting ATPase	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00048_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00048_c0 + (1) cpd00067_c0	6	atpase	3.Primary active transporters	
rxn05154	EX_cpd00001_e0	cpd00001[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00051_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00051_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05154	EX_cpd00002_e0	cpd00002[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00051_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00051_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05154	EX_cpd00008_e0	cpd00008[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00051_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00051_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05154	EX_cpd00009_e0	cpd00009[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00051_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00051_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05154	EX_cpd00051_e0	cpd00051[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00051_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00051_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05154	EX_cpd00067_e0	cpd00067[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00051_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00051_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05155	EX_cpd00001_e0	cpd00001[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00053_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00053_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05155	EX_cpd00002_e0	cpd00002[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00053_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00053_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05155	EX_cpd00008_e0	cpd00008[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00053_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00053_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05155	EX_cpd00009_e0	cpd00009[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00053_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00053_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05155	EX_cpd00053_e0	cpd00053[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00053_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00053_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05155	EX_cpd00067_e0	cpd00067[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00053_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00053_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05156	EX_cpd00001_e0	cpd00001[e0]	ornithine transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00064_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00064_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05156	EX_cpd00002_e0	cpd00002[e0]	ornithine transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00064_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00064_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05156	EX_cpd00008_e0	cpd00008[e0]	ornithine transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00064_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00064_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05156	EX_cpd00009_e0	cpd00009[e0]	ornithine transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00064_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00064_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05156	EX_cpd00064_e0	cpd00064[e0]	ornithine transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00064_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00064_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05156	EX_cpd00067_e0	cpd00067[e0]	ornithine transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00064_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00064_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05157	EX_cpd00001_e0	cpd00001[e0]	Urea-ABC transport	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00073_e0 <=> (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00073_c0	6	abc	3.Primary active transporters	
rxn05157	EX_cpd00002_e0	cpd00002[e0]	Urea-ABC transport	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00073_e0 <=> (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00073_c0	6	abc	3.Primary active transporters	
rxn05157	EX_cpd00008_e0	cpd00008[e0]	Urea-ABC transport	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00073_e0 <=> (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00073_c0	6	abc	3.Primary active transporters	
rxn05157	EX_cpd00009_e0	cpd00009[e0]	Urea-ABC transport	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00073_e0 <=> (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00073_c0	6	abc	3.Primary active transporters	
rxn05157	EX_cpd00067_e0	cpd00067[e0]	Urea-ABC transport	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00073_e0 <=> (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00073_c0	6	abc	3.Primary active transporters	
rxn05157	EX_cpd00073_e0	cpd00073[e0]	Urea-ABC transport	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00073_e0 <=> (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00073_c0	6	abc	3.Primary active transporters	
rxn05158	EX_cpd00001_e0	cpd00001[e0]	ATP phosphohydrolase (glycerol-3-phosphate-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00080_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00080_c0	6	atp	3.Primary active transporters	
rxn05158	EX_cpd00002_e0	cpd00002[e0]	ATP phosphohydrolase (glycerol-3-phosphate-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00080_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00080_c0	6	atp	3.Primary active transporters	
rxn05158	EX_cpd00008_e0	cpd00008[e0]	ATP phosphohydrolase (glycerol-3-phosphate-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00080_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00080_c0	6	atp	3.Primary active transporters	
rxn05158	EX_cpd00009_e0	cpd00009[e0]	ATP phosphohydrolase (glycerol-3-phosphate-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00080_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00080_c0	6	atp	3.Primary active transporters	
rxn05158	EX_cpd00067_e0	cpd00067[e0]	ATP phosphohydrolase (glycerol-3-phosphate-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00080_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00080_c0	6	atp	3.Primary active transporters	
rxn05158	EX_cpd00080_e0	cpd00080[e0]	ATP phosphohydrolase (glycerol-3-phosphate-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00080_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00080_c0	6	atp	3.Primary active transporters	
rxn05159	EX_cpd00001_e0	cpd00001[e0]	choline transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00098_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00098_c0	6	abc	3.Primary active transporters	
rxn05159	EX_cpd00002_e0	cpd00002[e0]	choline transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00098_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00098_c0	6	abc	3.Primary active transporters	
rxn05159	EX_cpd00008_e0	cpd00008[e0]	choline transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00098_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00098_c0	6	abc	3.Primary active transporters	
rxn05159	EX_cpd00009_e0	cpd00009[e0]	choline transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00098_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00098_c0	6	abc	3.Primary active transporters	
rxn05159	EX_cpd00067_e0	cpd00067[e0]	choline transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00098_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00098_c0	6	abc	3.Primary active transporters	
rxn05159	EX_cpd00098_e0	cpd00098[e0]	choline transport via ABC system	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00098_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00067_c0 + (1) cpd00098_c0	6	abc	3.Primary active transporters	
