id	name	type	exmet	exmetnames
rxn05470	glycolate transport via proton symport, reversible	2.Electrochemical potential-driven transporters	cpd00139[e0]	Glycolate
rxn05471	TRANS-RXNBWI-115572.ce.maizeexp.GMP_GMP	2.Electrochemical potential-driven transporters	cpd00126[e0]	GMP
rxn05472	2-(hydroxymethyl)phenol transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd01553[e0]	Saligenin
rxn05473	2-Phosphoglycolate transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd00727[e0]	2-Phosphoglycolate
rxn05474	D-Glycerate 2-phosphate transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd00482[e0]	2-Phospho-D-glycerate
rxn05475	3-aminobutyrate transport in via proton symport	2.Electrochemical potential-driven transporters	cpd11599[e0]	3-aminobutanoic acid
rxn05476	3'-AMP transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd00988[e0]	3'-AMP
rxn05477	3'-CMP transport in via proton symport	2.Electrochemical potential-driven transporters	cpd03454[e0]	3'-CMP
rxn05478	Guanosine 3'-phsophate transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd03701[e0]	Gp
rxn05479	3-Phospho-D-glycerate transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd00169[e0]	3-Phosphoglycerate
rxn05480	3'-UMP transport in via proton symport	2.Electrochemical potential-driven transporters	cpd00989[e0]	3'-UMP
rxn05481	5-Methylthio-D-ribose transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd01981[e0]	5-Methylthio-D-ribose
rxn05482	6-Phospho-D-gluconate transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd00284[e0]	6-Phospho-D-gluconate
rxn05483	RXN0-1683.ce.maizeexp.L-ARABITOL_L-ARABITOL	Diffusion	cpd00417[e0]	L-Lyxitol
rxn05484	acetoacetate transport via proton symport	2.Electrochemical potential-driven transporters	cpd00142[e0]	Acetoacetate
rxn05485	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS	4.Group translocators	cpd00122[e0]	N-Acetyl-D-glucosamine
rxn05486	N-acetyl-D-mannosamine proton symport	2.Electrochemical potential-driven transporters	cpd00492[e0]	N-Acetyl-D-mannosamine
rxn05487	N-acetylneuraminate proton symport	2.Electrochemical potential-driven transporters	cpd00232[e0]	Neu5Ac
rxn05488	acetate reversible transport via proton symport	2.Electrochemical potential-driven transporters	cpd00029[e0]	Acetate
rxn05489	acetoin transport via ABC system	3.Primary active transporters	cpd00361[e0]	ACTN
rxn05490	acetoin efflux  via ABC system	3.Primary active transporters	cpd00361[e0]	ACTN
rxn05491	TRANS-RXN-198.ce	2.Electrochemical potential-driven transporters	cpd00128[e0]	Adenine
rxn05493	Transport of a-ketoglutarate, extracellular	2.Electrochemical potential-driven transporters	cpd00024[e0]	2-Oxoglutarate
rxn05494	D-alanine transport via proton symport	2.Electrochemical potential-driven transporters	cpd00117[e0]	D-Alanine
rxn05495	beta-Alanine transport in via proton symport	2.Electrochemical potential-driven transporters	cpd00085[e0]	beta-Alanine
rxn05496	TRANS-RXNBWI-115637.ce.maizeexp.L-ALPHA-ALANINE_L-ALPHA-ALANINE	2.Electrochemical potential-driven transporters	cpd00035[e0]	L-Alanine
rxn05497	TRANS-RXNBWI-115572.ce.maizeexp.AMP_AMP	2.Electrochemical potential-driven transporters	cpd00018[e0]	AMP
rxn05498	antimonite  transporter via uniport	2.Electrochemical potential-driven transporters	cpd11598[e0]	Antimonite
rxn05499	Transport of arabinose (low affinity), extracellular	Diffusion	cpd00185[e0]	D-Arabinose
rxn05500	L-arabinose transport via proton symport	2.Electrochemical potential-driven transporters	cpd00224[e0]	L-Arabinose
rxn05501	arbutin transport via PEP:Pyr PTS	4.Group translocators	cpd03696[e0]	Ursin
rxn05502	L-arginine phosphate transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd03535[e0]	Phosphoarginine
rxn05504	arsenobetaine transport in via ABC system	3.Primary active transporters	cpd11597[e0]	ARSENOBETAINE
rxn05505	arsenobetaine transport in via proton symport	2.Electrochemical potential-driven transporters	cpd11597[e0]	ARSENOBETAINE
rxn05506	Arsenate transporter	Diffusion	cpd01048[e0]	Arsenate
rxn05507	arsenite transp or ter via unip or t	Diffusion	cpd04098[e0]	Arsenite
rxn05508	TRANS-RXNBWI-115637.ce.maizeexp.ASN_ASN	2.Electrochemical potential-driven transporters	cpd00132[e0]	L-Asparagine
rxn05510	Bile acid transport in via sodium symport	2.Electrochemical potential-driven transporters	cpd01098[e0]	Bile acid
rxn05511	Butanediol transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd01947[e0]	BDOH
rxn05512	butanesulfonate transport via ABC system	3.Primary active transporters	cpd11596[e0]	butanesulfonate
rxn05513	TRANS-RXN-194.ce	3.Primary active transporters	cpd00063[e0]	Ca2+
rxn05514	calcium transport in/out via proton antiporter	2.Electrochemical potential-driven transporters	cpd00063[e0]	Ca2+
rxn05515	ATP phosphohydrolase (vitamin B12-importing)	3.Primary active transporters	cpd00423[e0]	Vitamin B12r
rxn05516	Cadmium-translocating P-type ATPase	3.Primary active transporters	cpd01012[e0]	Cd2+
rxn05517	cadminum transport out via antiport	2.Electrochemical potential-driven transporters	cpd00205[e0];cpd01012[e0]	K+;Cd2+
rxn05518	cellobiose transport via PEP:Pyr PTS	4.Group translocators	cpd00158[e0]	CELB
rxn05519	chorismate transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd00216[e0]	Chorismate
rxn05520	citrate transport in via Mn complex	2.Electrochemical potential-driven transporters	cpd00030[e0];cpd00137[e0]	Mn2+;Citrate
rxn05521	citrate transport in via Ni complex	2.Electrochemical potential-driven transporters	cpd00137[e0];cpd00244[e0]	Citrate;Ni2+
rxn05522	citrate transport in via Co complex	2.Electrochemical potential-driven transporters	cpd00137[e0];cpd00149[e0]	Citrate;Co2+
rxn05523	citrate transport in via Zn complex	2.Electrochemical potential-driven transporters	cpd00034[e0];cpd00137[e0]	Zn2+;Citrate
rxn05525	TRANS-RXNAVI-27988.ce.brachyexp.CMP_CMP	2.Electrochemical potential-driven transporters	cpd00046[e0]	CMP
rxn05526	chromate transport out via proton antiport	2.Electrochemical potential-driven transporters	cpd11595[e0]	chromate
rxn05527	TRANS-RXN-199.ce	2.Electrochemical potential-driven transporters	cpd00307[e0]	Cytosine
rxn05528	Copper-transporting ATPase	3.Primary active transporters	cpd00058[e0]	Cu2+
rxn05529	Cys-Gly transport in via symport	2.Electrochemical potential-driven transporters	cpd01017[e0]	Cys-Gly
rxn05531	Dextrin transport in via proton symport	2.Electrochemical potential-driven transporters	cpd11594[e0]	Dextrin
rxn05532	Dihydroxyacetone transport via facilitated diffusion	Diffusion	cpd00157[e0]	Glycerone
rxn05533	oligopeptide-transporting ATPase	3.Primary active transporters	cpd11593[e0]	ala-L-asp-L
rxn05534	Dipeptide transport via ABC system (gly-glu)	3.Primary active transporters	cpd11592[e0]	gly-glu-L
rxn05535	oligopeptide-transporting ATPase	3.Primary active transporters	cpd11591[e0]	Gly-Met
rxn05536	Dipeptide transport via ABC system (met-ala)	3.Primary active transporters	cpd11590[e0]	met-L-ala-L
rxn05537	oligopeptide-transporting ATPase	3.Primary active transporters	cpd11589[e0]	gly-asp-L
rxn05538	Dipeptide transport via ABC system (gly-pro-L)	3.Primary active transporters	cpd11588[e0]	gly-pro-L
rxn05539	oligopeptide-transporting ATPase	3.Primary active transporters	cpd01017[e0]	Cys-Gly
rxn05540	oligopeptide-transporting ATPase	3.Primary active transporters	cpd11587[e0]	Ala-Gln
rxn05541	Dipeptide transport via ABC system (ala-glu)	3.Primary active transporters	cpd11586[e0]	ala-L-glu-L
rxn05542	oligopeptide-transporting ATPase	3.Primary active transporters	cpd11585[e0]	L-alanylglycine
rxn05543	oligopeptide-transporting ATPase	3.Primary active transporters	cpd11584[e0]	Ala-His
rxn05544	oligopeptide-transporting ATPase	3.Primary active transporters	cpd11583[e0]	Ala-Leu
rxn05545	Dipeptide transport via ABC system (ala-thr)	3.Primary active transporters	cpd11582[e0]	ala-L-Thr-L
rxn05546	Dipeptide transport via ABC system (gly-asn)	3.Primary active transporters	cpd11581[e0]	gly-asn-L
rxn05547	oligopeptide-transporting ATPase	3.Primary active transporters	cpd11580[e0]	Gly-Gln
rxn05548	Djenkolate transporter via ABC system	3.Primary active transporters	cpd05190[e0]	Djenkolate
rxn05549	monosaccharide-transporting ATPase	3.Primary active transporters	cpd01242[e0]	Thyminose
rxn05550	ecotine transport in via ABC system	3.Primary active transporters	cpd03727[e0]	Ectoine
rxn05551	ethanolamine transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd00162[e0]	Aminoethanol
rxn05552	ethanesulfonate transport via ABC system	3.Primary active transporters	cpd11579[e0]	ethanesulfonate
rxn05553	ethanol transport out via proton antiport	2.Electrochemical potential-driven transporters	cpd00363[e0]	Ethanol
rxn05554	Fructose-6-phosphate transport via phosphate antiport	2.Electrochemical potential-driven transporters	cpd00009[e0];cpd00072[e0]	Phosphate;D-fructose-6-phosphate
rxn05555	iron (II) transport via ABC system	3.Primary active transporters	cpd10515[e0]	Fe2+
rxn05557	iron (III) dicitrate transport via ABC system	3.Primary active transporters	cpd00137[e0];cpd10516[e0]	Citrate;fe3
rxn05558	Ferroxamine transport via ABC system	3.Primary active transporters	cpd04761[e0]	Ferroxamine
rxn05559	formate transport in via proton symport	2.Electrochemical potential-driven transporters	cpd00047[e0]	Formate
rxn05560	D-fructose transport via PEP:Pyr PTS	4.Group translocators	cpd00082[e0]	D-Fructose
rxn05561	Transport of dicarboxylates, extracellular	2.Electrochemical potential-driven transporters	cpd00106[e0]	Fumarate
rxn05562	Glucose-1-phosphate transport via phosphate antiport	2.Electrochemical potential-driven transporters	cpd00009[e0];cpd00089[e0]	Phosphate;Glucose-1-phosphate
rxn05563	Glucose-6-phosphate transport via phosphate antiport	2.Electrochemical potential-driven transporters	cpd00009[e0];cpd00079[e0]	Phosphate;D-glucose-6-phosphate
rxn05564	Proline-specific permease	2.Electrochemical potential-driven transporters	cpd00281[e0]	GABA
rxn05565	D-galactarte transport via proton symport, reversible	2.Electrochemical potential-driven transporters	cpd00652[e0]	D-Mucic acid
rxn05566	D-galactose transport in via proton symport	2.Electrochemical potential-driven transporters	cpd00108[e0]	Galactose
rxn05567	Galactitol transport via PEP:Pyr PTS	4.Group translocators	cpd01171[e0]	Dulcose
rxn05568	Transport of D-glucosamine 6-phosphate, extracellular	Diffusion	cpd00288[e0]	D-Glucosamine phosphate
rxn05569	D-glucosamine transport via PEP:Pyr PTS	4.Group translocators	cpd00276[e0]	GLUM
rxn05570	gamma-butyrobetaine transport in via ABC system	3.Primary active transporters	cpd00870[e0]	gamma-butyrobetaine
rxn05571	D-gluconate transport via proton symport, reversible	2.Electrochemical potential-driven transporters	cpd00222[e0]	GLCN
rxn05572	D-glucarate transport via proton symport, reversible	2.Electrochemical potential-driven transporters	cpd00609[e0]	D-Glucarate
rxn05573	D-glucose transport in via proton symport	2.Electrochemical potential-driven transporters	cpd00027[e0]	D-Glucose
rxn05574	D-glucuronate transport via proton symport, reversible	2.Electrochemical potential-driven transporters	cpd00164[e0]	Glucuronate
rxn05577	glyoxylate transport in via proton symport	2.Electrochemical potential-driven transporters	cpd00040[e0]	Glyoxalate
rxn05578	TRANS-RXNBWI-115531.ce	2.Electrochemical potential-driven transporters	cpd00080[e0]	Glycerol-3-phosphate
rxn05579	Glycine betaine transport via proton symport, reversible	2.Electrochemical potential-driven transporters	cpd00540[e0]	BET
rxn05580	Glycogen transport in	Diffusion	cpd00155[e0]	Glycogen
rxn05581	RXN0-1683.ce.maizeexp.GLYCEROL_GLYCEROL	Diffusion	cpd00100[e0]	Glycerol
rxn05582	TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY	2.Electrochemical potential-driven transporters	cpd00033[e0]	Glycine
rxn05585	hexanesulfonate transport via ABC system	3.Primary active transporters	cpd11578[e0]	hexanesulfonate
rxn05586	TRANS-RXNAVI-27772.ce	Diffusion	cpd00531[e0]	Hg2+
rxn05589	isocitrate transport in via Mg complex	2.Electrochemical potential-driven transporters	cpd00254[e0];cpd00260[e0]	Mg;Isocitrate
rxn05590	isocitrate transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd00260[e0]	Isocitrate
rxn05593	Myo-inositol transporter 1	2.Electrochemical potential-driven transporters	cpd00121[e0]	L-Inositol
rxn05594	Isethionate transport via ABC system	3.Primary active transporters	cpd03048[e0]	Isethionate
rxn05595	TRANS-RXN-3.ce	2.Electrochemical potential-driven transporters	cpd00205[e0]	K+
rxn05596	TRANS-RXNBWI-115525.ce.maizeexp.K+_K+	2.Electrochemical potential-driven transporters	cpd00205[e0]	K+
rxn05597	lanthionine transport via ABC system	3.Primary active transporters	cpd11577[e0]	Lanthionine
rxn05598	ATP phosphohydrolase (disaccharide-importing)	3.Primary active transporters	cpd00208[e0]	LACT
rxn05599	cysteate transport via ABC system	3.Primary active transporters	cpd00395[e0]	L-Cysteate
rxn05601	lipoic acid transport via ABC system	3.Primary active transporters	cpd00541[e0]	Lipoate
rxn05602	L-lactate reversible transport via proton symport	2.Electrochemical potential-driven transporters	cpd00159[e0]	L-Lactate
rxn05603	D-malate transport in via proton symport	2.Electrochemical potential-driven transporters	cpd00386[e0]	D-Malate
rxn05604	malate-H+/Na+-lactate antiporter	2.Electrochemical potential-driven transporters	cpd00130[e0];cpd00159[e0]	L-Malate;L-Lactate
rxn05605	Maltose permease MAL31	2.Electrochemical potential-driven transporters	cpd00130[e0]	L-Malate
rxn05607	maltose transport via PEP:Pyr PTS	4.Group translocators	cpd00179[e0]	Maltose
rxn05608	ATP phosphohydrolase (disaccharide-importing)	3.Primary active transporters	cpd01262[e0]	Amylotriose
rxn05609	MAN1P transport in/out via proton symport	2.Electrochemical potential-driven transporters	cpd00485[e0]	D-Mannose1-phosphate
rxn05610	D-mannose transport via PEP:Pyr PTS	4.Group translocators	cpd00138[e0]	D-Mannose
rxn05611	D-mannose transport in via proton symport	2.Electrochemical potential-driven transporters	cpd00138[e0]	D-Mannose
rxn05612	TRANS-RXNAVI-26524.ce.brachyexp.MELIBIOSE_MELIBIOSE	2.Electrochemical potential-driven transporters	cpd03198[e0]	Melibiose
rxn05613	L-methionine S-oxide transport via ABC system	3.Primary active transporters	cpd01914[e0]	L-Methionine S-oxide
rxn05614	L-methionine R-oxide transport via ABC system	3.Primary active transporters	cpd11576[e0]	L-methionine R-oxide
rxn05615	L-methionine transport out via proton antiport	2.Electrochemical potential-driven transporters	cpd00060[e0]	L-Methionine
rxn05616	TRANS-RXN-141.ce	Diffusion	cpd00254[e0]	Mg
rxn05617	mannitol transport via PEP:Pyr PTS	4.Group translocators	cpd00314[e0]	D-Mannitol
rxn05618	manganese transport in via proton symport	2.Electrochemical potential-driven transporters	cpd00030[e0]	Mn2+
rxn05619	ATP phosphohydrolase (molybdate-importing)	3.Primary active transporters	cpd11574[e0]	Molybdate
rxn05620	MOPS transport via ABC system	3.Primary active transporters	cpd11575[e0]	MOPS
rxn05621	methanesulfonate transport via ABC system	3.Primary active transporters	cpd08023[e0]	methanesulfonate
rxn05622	Na(+)-transporting ATPase	3.Primary active transporters	cpd00971[e0]	Na+
rxn05623	Nicotinic acid uptake	Diffusion	cpd08325[e0]	NAC
rxn05625	nitrite transport in via proton symport, reversible	2.Electrochemical potential-driven transporters	cpd00075[e0]	Nitrite
rxn05626	nitrite transport out via proton antiport	2.Electrochemical potential-driven transporters	cpd00075[e0]	Nitrite
rxn05627	nitrate transport in via proton symport	2.Electrochemical potential-driven transporters	cpd00209[e0]	Nitrate
