tax	superkingdom	group
3633	Eukaryota	Gossypium
629714	Eukaryota	Hypericaceae
28889	Archaea	Thermoproteota
4577	Eukaryota	Zea mays
16714	Eukaryota	Juglandaceae
55962	Eukaryota	Hypericum
4143	Eukaryota	Lamiales
171552	Bacteria	Prevotellaceae
85023	Bacteria	Microbacteriaceae
22118	Eukaryota	Erythroxylaceae
13444	Eukaryota	Colchicum
169619	Eukaryota	Cinchonoideae
724	Bacteria	Haemophilus
40958	Eukaryota	Pimpinella
3387	Eukaryota	Ephedra
3998	Eukaryota	Simmondsia
6544	Eukaryota	Bivalvia
6448	Eukaryota	Gastropoda
6562	Eukaryota	Ostreida
6341	Eukaryota	Polychaeta
6231	Eukaryota	Nematoda
815	Bacteria	Bacteroidaceae
91061	Bacteria	Bacilli
1890424	Bacteria	Synechococcales
1118	Bacteria	Chroococcales
38820	Eukaryota	Poales
2063	Bacteria	Kitasatospora
1763	Bacteria	Mycobacterium
29	Bacteria	Myxococcales
2062	Bacteria	Streptomycetaceae
23513	Eukaryota	Rutaceae
1437183	Eukaryota	Mesangiospermae
188708	Bacteria	Thermotogae
28221	Bacteria	Deltaproteobacteria
4557	Eukaryota	Sorghum
29828	Eukaryota	Lipomyces
50557	Eukaryota	Insecta
721805	Eukaryota	Amygdaleae
4071	Eukaryota	Capsicum
4163	Eukaryota	Digitalis
6127	Eukaryota	Acropora
28211	Bacteria	Alphaproteobacteria
13819	Eukaryota	Pteridaceae
38880	Eukaryota	Botryococcus
40029	Eukaryota	Rhizophoraceae
1762	Bacteria	Mycobacteriaceae
4895	Eukaryota	Schizosaccharomyces
112	Bacteria	Planctomycetales
119045	Bacteria	Methylobacteriaceae
135623	Bacteria	Vibrionales
4642	Eukaryota	Zingiberaceae
160061	Eukaryota	Ricinus
25641	Eukaryota	Aloe
23216	Eukaryota	Rubus
3569	Eukaryota	Dianthus
4321	Eukaryota	Icacinaceae
4289	Eukaryota	Nyssaceae
33083	Eukaryota	Dictyostelia
22	Bacteria	Shewanella
506	Bacteria	Alcaligenaceae
8782	Eukaryota	Aves
629	Bacteria	Yersinia
286	Bacteria	Pseudomonas
4053	Eukaryota	Panax
3038	Eukaryota	Euglena
5820	Eukaryota	Plasmodium
3536	Eukaryota	Nyctaginaceae
99568	Eukaryota	Curcuma
4637	Eukaryota	Musaceae
16367	Eukaryota	Pontederiaceae
54924	Eukaryota	Haemodoraceae
4512	Eukaryota	Hordeum
1279	Bacteria	Staphylococcus
186826	Bacteria	Lactobacillales
191410	Bacteria	Chlorobiia
451871	Eukaryota	Eurotiomycetidae
34397	Eukaryota	Clavicipitaceae
5782	Eukaryota	Dictyostelium
10239	Viruses	Viruses
3640	Eukaryota	Theobroma
4441	Eukaryota	Camellia
13442	Eukaryota	Coffea
641	Bacteria	Vibrionaceae
7147	Eukaryota	Diptera
6993	Eukaryota	Orthoptera
6970	Eukaryota	Dictyoptera
4610	Eukaryota	Cyperus
186801	Bacteria	Clostridia
4107	Eukaryota	Solanum
5993	Eukaryota	Enchelys
4058	Eukaryota	Catharanthus roseus
3617	Eukaryota	Fagopyrum esculentum
4097	Eukaryota	Nicotiana tabacum
35883	Eukaryota	Ipomoea nil
7711	Eukaryota	Chordata
2191	Archaea	Methanomicrobiales
69451	Eukaryota	Cistus
7088	Eukaryota	Lepidoptera
3214	Eukaryota	Bryopsida
72276	Bacteria	Ectothiorhodospiraceae
135617	Bacteria	Thiotrichaceae
1090	Bacteria	Chlorobiota
40685	Eukaryota	Salix
3689	Eukaryota	Populus
3257	Eukaryota	Equisetum
35973	Eukaryota	Santalum
4891	Eukaryota	Saccharomycetes
3896	Eukaryota	Sophora
6447	Eukaryota	Mollusca
6073	Eukaryota	Cnidaria
6040	Eukaryota	Porifera
5758	Eukaryota	Entamoeba
2206	Archaea	Methanosarcinaceae
194	Bacteria	Campylobacter
482	Bacteria	Neisseria
5042	Eukaryota	Eurotiales
914	Bacteria	Nitrosomonas
1227	Bacteria	Nitrosococcus
35798	Bacteria	Nitrosospira
3482	Eukaryota	Cannabis
4930	Eukaryota	Saccharomyces
91888	Eukaryota	lamiids
1760	Bacteria	Actinomycetes
241806	Eukaryota	Polypodiopsida
33317	Eukaryota	Protostomia
7735	Eukaryota	Cephalochordata
7586	Eukaryota	Echinodermata
32011	Bacteria	Methylophilaceae
40222	Bacteria	Methylophaga
429	Bacteria	Methylobacter
39773	Bacteria	Methylomicrobium
55158	Bacteria	Streptomyces peucetius subsp. caesius
6433	Eukaryota	Sipuncula
6340	Eukaryota	Annelida
44249	Bacteria	Paenibacillus
7215	Eukaryota	Drosophila
4496	Eukaryota	Avena
5073	Eukaryota	Penicillium
1131492	Eukaryota	Aspergillaceae
810	Bacteria	Chlamydia
5052	Eukaryota	Aspergillus
2731619	Viruses	Caudoviricetes
816	Bacteria	Bacteroides
147538	Eukaryota	Pezizomycotina
5654	Eukaryota	Trypanosomatidae
1463139	Eukaryota	Adonideae
31468	Eukaryota	Gracilariales
267890	Bacteria	Shewanellaceae
85011	Bacteria	Kitasatosporales
85008	Bacteria	Micromonosporales
171637	Eukaryota	Amygdaloideae
85025	Bacteria	Nocardiaceae
4668	Eukaryota	Amaryllidaceae
57723	Bacteria	Acidobacteriota
183968	Archaea	Thermococci
7049	Eukaryota	Lampyridae
71950	Eukaryota	Psilocybe
5338	Eukaryota	Agaricales
317	Bacteria	Pseudomonas syringae
1892263	Bacteria	Hapalosiphonaceae
1639119	Eukaryota	Plasmodiidae
2279	Archaea	Staphylothermus
2273	Archaea	Desulfurococcus
2260	Archaea	Pyrococcus
2263	Archaea	Thermococcus
135618	Bacteria	Methylococcales
7705	Eukaryota	Holothuroidea
5752	Eukaryota	Heterolobosea
62100	Bacteria	Endobugula
39172	Eukaryota	Nepeta
3853	Eukaryota	Lathyrus
135621	Bacteria	Pseudomonadaceae
41953	Eukaryota	Pseudo-nitzschia
4346	Eukaryota	Rhododendron
13215	Eukaryota	Piper
562	Bacteria	Escherichia coli
1218	Bacteria	Prochlorococcus
68525	Bacteria	delta/epsilon subdivisions
556282	Eukaryota	Jakobida
26496	Eukaryota	Strychnos
171549	Bacteria	Bacteroidales
837	Bacteria	Porphyromonas gingivalis
6605	Eukaryota	Cephalopoda
2611341	Eukaryota	Metamonada
1802340	Bacteria	Nitrospinae/Tectomicrobia group
53433	Bacteria	Halanaerobiales
909932	Bacteria	Negativicutes
2698788	Bacteria	Candidatus Krumholzibacteriota
2323	Bacteria	Bacteria incertae sedis
2498710	Bacteria	Caldisericota/Cryosericota group
1930617	Bacteria	Calditrichota
2716431	Bacteria	Coleospermum
2138240	Bacteria	Coprothermobacterota
1798711	Bacteria	Cyanobacteriota/Melainabacteria group
9443	Eukaryota	Primates
1783272	Bacteria	Terrabacteria group
147547	Eukaryota	Lecanoromycetes
157822	Eukaryota	Lecanorineae
8457	Eukaryota	Sauropsida
84998	Bacteria	Coriobacteriia
716545	Eukaryota	saccharomyceta
5268	Eukaryota	Ustilaginaceae
213115	Bacteria	Desulfovibrionales
119060	Bacteria	Burkholderiaceae
80864	Bacteria	Comamonadaceae
544	Bacteria	Citrobacter
90371	Bacteria	Salmonella enterica subsp. enterica serovar Typhimurium
836	Bacteria	Porphyromonas
187857	Bacteria	Aquificae
163487	Eukaryota	Mimoseae
31	Bacteria	Myxococcaceae
1644061	Archaea	Natrialbaceae
33381	Eukaryota	Coccoidea
227290	Bacteria	Rhizobium/Agrobacterium group
2281	Archaea	Sulfolobales
5653	Eukaryota	Kinetoplastea
