id	name	altname	hierarchy	taxrange	reaId	reaEc	keyRea	reaName
AGMA-TRANSP	Agmatine Transport		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Transport|		rxn1			Agmatine Transporter
AGMA-PROD	Agmatine extracellular biosynthesis		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Agmatine-Synthesis|		rxn1			Agmatine extracellular biosynthesis
NADP-RED-FD-NADH	Coupled NADP reduction via ferredoxin and NADH		|THINGS|,|FRAMES|,|Pathways|,|Biosynthesis|,|Cofactor-Biosynthesis|,|NAD-Metabolism|	|TAX-2|	rxn90018	1.6.1.4		coupled NADP reduction via ferredoxin and NADH
FD-NADH-OXIDO	Ferredoxin:NAD+ oxidoreductase		|THINGS|,|FRAMES|,|Pathways|,|Biosynthesis|,|Cofactor-Biosynthesis|,|NAD-Metabolism|	|TAX-2|	FERREDOXIN-NAD+-REDUCTASE-RXN	1.18.1.3		Ferredoxin:NADP+ oxidoreductase
MQL6-NADH-OXIDO	NADH:menaquinone6 oxidoreductase		|THINGS|,|FRAMES|,|Pathways|,|Biosynthesis|,|Cofactor-Biosynthesis|,|NAD-Metabolism|	|TAX-2|	NQOR-RXN	1.6.5.2		NADH:quinone oxidoreductase
TRPSYN-PWY2	L-tryptophan biosynthesis (complex)		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|TRYPTOPHAN-BIOSYNTHESIS|	|TAX-4751|,|TAX-2157|,|TAX-2|,|TAX-3193|	IGPSYN-RXN,PRAISOM-RXN,PRTRANS-RXN,ANTHRANSYN-RXN,TRYPSYN-RXN	4.1.1.48,5.3.1.24,2.4.2.18,4.1.3.27,4.2.1.20	TRYPSYN-RXN	indole-3-glycerol phosphate synthase;phosphoribosylanthranilate isomerase;anthranilate phosphoribosyltransferase;anthranilate synthase;tryptophan synthase
BACTERIOFERRITIN-PWY	ferroxidase		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Noncarbon-Nutrients|,|Iron-Metabolism|	|TAX-2|	RXN0-1483	1.16.3.1		bacterioferritin
SO4ASSIM-PWY2	sulfate reduction I (assimilatory)		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Noncarbon-Nutrients|,|Sulfur-Metabolism|,|Sulfate-Reduction|	|TAX-4751|,|TAX-2|	SULFITE-REDUCT-RXN,1.8.4.8-RXN,SULFATE-ADENYLYLTRANS-RXN,ADENYLYLSULFKIN-RXN,325-BISPHOSPHATE-NUCLEOTIDASE-RXN	1.8.1.2,1.8.4.8,2.7.7.4,2.7.1.25,3.1.3.7	ADENYLYLSULFKIN-RXN	assimilatory sulfite reductase (NADPH);phosphoadenosine phosphosulfate reductase;sulfate adenylyltransferase;adenylyl-sulfate kinase;3-2-5-bisphosphate nucleotidase
PWY-6151-GS	S-adenosyl-L-methionine cycle I		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|METHIONINE-SYN|,|Methionine-Salvage|,|S-adenosyl-L-methionine-cycle|	|TAX-2157|,|TAX-2|	ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN,RIBOSYLHOMOCYSTEINASE-RXN,S-ADENMETSYN-RXN,RXN-7605,HOMOCYSMET-RXN	3.2.2.9,4.4.1.21,2.5.1.6,2.1.1,2.1.1.14	RIBOSYLHOMOCYSTEINASE-RXN,ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	S-adenosylhomocysteine nucleosidase;S-ribosylhomocysteine lyase;S-adenosylmethionine synthetase;RXN-7605;cobalamin-independent homocysteine transmethylase
PEPTIDOGLYCANSYN-PWY2	peptidoglycan biosynthesis I (meso-diaminopimelate containing)		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Cell-Structure-Biosynthesis|,|Cell-Wall-Biosynthesis|,|Peptidoglycan-Biosynthesis|	|TAX-2|	NACGLCTRANS-RXN,PHOSNACMURPENTATRANS-RXN,UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,UDPNACETYLMURAMATEDEHYDROG-RXN,UDP-NACMURALGLDAPAALIG-RXN,UDP-NACMUR-ALA-LIG-RXN,UDP-NACMURALA-GLU-LIG-RXN,GLUTRACE-RXN,UDP-NACMURALGLDAPLIG-RXN,DALADALALIG-RXN	2.4.1.227,2.7.8.13,2.5.1.7,1.3.1.98,6.3.2.10,6.3.2.8,6.3.2.9,5.1.1.3,6.3.2.13,6.3.2.4	UDP-NACMURALGLDAPLIG-RXN,GLUTRACE-RXN	UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase;UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase;UDP-N-acetylglucosamine 1-carboxyvinyltransferase;UDP-N-acetylenolpyruvoylglucosamine reductase;UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate ligase;UDP-N-acetylmuramate-L-alanine ligase;UDP-N-acetylmuramoyl-L-alanine-D-glutamate ligase;glutamate racemase;UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-2,6-diaminopimelate ligase;D-alanine-D-alanine ligase
IMPSYN-HIGH-HCO3	inosine-5'-phosphate biosynthesis at high carbonate levels		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Nucleotide-Biosynthesis|,|PUR-NUC-SYN|,|Purine-Nucleotide-De-Novo-Biosynthesis|,|Purine-Ribonuc-De-Novo-Biosynthesis|,|IMP-Biosynthesis|	|TAX-2|	AIR-CARBOXYL-SYN-RXN,SAICARSYN-RXN,AICARSYN-RXN,AICARTRANSFORM-RXN,IMPCYCLOHYDROLASE-RXN	,6.3.2.6,4.3.2.2,2.1.2.3,3.5.4.10	AIR-CARBOXYL-SYN-RXN	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase;5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole lyase;adenylosuccinate lyase;aminoimidazole carboxamide ribonucleotide formyltransferase;IMP cyclohydrolase
PWY-6559-2	spermidine biosynthesis II (only one key enzyme)	spermidine biosynthesis II	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Polyamine-Biosynthesis|,|Spermidine-Biosynthesis|	|TAX-2|	ASPARTATEKIN-RXN,ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,RXN-11566,RXN-11564	2.7.2.4,1.2.1.11,1.5.1.43,4.1.1	RXN-11564	ASPARTATEKIN-RXN;aspartate-beta-semialdehyde dehydrogenase;carboxyspermidine synthase;carboxyspermidine decarboxylase
MQL-OXIDASE-PWY	menaquinol oxidase (cytochrom aa3-600)	menaquinol:O2 oxidoreductase (H+-transporting) 	|Electron-Transfer|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Respiration|,|AEROBIC-RESPIRATION|	|TAX-2|,|TAX-2157|	RXN-12164	7.1.1.5	RXN-12164	menaquinol oxidase (H+-transporting)
PI-ABC-TRANS	Phosphate ABC transporter		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Transport|	|TAX-2|	ABC-27-RXN	7.3.2.1		ABC-type phosphate transporter
|NADPHOS-DEPHOS-PWY|	NAD phosphorylation and dephosphorylation	NAD phosphorylation and dephosphorylation	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Cofactor-Biosynthesis|,|NAD-Metabolism|	|TAX-33208|,|TAX-2|	NAD-KIN-RXN,TRANS-RXN0-277,RXN-5822	2.7.1.23,7.1.1.1,3.1.3.2/3.1.3.1	RXN-5822,RXN-5822	NAD kinase;pyridine nucleotide transhydrogenase;RXN-5822
PYR-TO-BUT-NADPH	3-hydroxybutyryl-CoA dehydrogenase		|Pyruvate-Degradation|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Fermentation|,|Fermentation-to-Acids|,|Acetyl-CoA-Butyrate|	|TAX-2|	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN	1.1.1.157		3-hydroxybutyryl-CoA dehydrogenase
MUC-GLYCAN_DEG	Mucus glycans degradation		|Polymer-Degradation|,|Degradation|,|Carbohydrates-Degradation|,|POLYSACCHARIDES-DEG|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Glycan-Pathways|,|Glycan-Degradation|		3.2.1.18-RXN,RXN-12088,3.2.1.23-RXN,3.2.1.49-RXN,3.2.1.50-RXN,ALPHA-L-FUCOSIDASE-RXN,3.2.1.52-RXN,3.2.1.97-RXN,3.2.1.24-RXN,3.2.1.96-RXN	3.2.1.18,3.2.1.22,3.2.1.23,3.2.1.49,3.2.1.50,3.2.1.51,3.2.1.52,3.2.1.97,3.2.1.24,3.2.1.96		Neuraminidase;alpha-galactosidase;beta-galactosidase;alpha-N-acetylgalactosaminidase;alpha-N-acetylglucosaminidase;alpha-L-fucosidase;beta-N-hexosaminidase;Endo-alpha-N-acetylgalactosaminidase;alpha-Mannosidase;Endo-beta-N-acetylglucosaminidase
AC-BUT-COATRANS	acetyl-CoA fermentation to butanoate clostridia		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Fermentation|,|Fermentation-to-Acids|,|Acetyl-CoA-Butyrate|	|TAX-1239|,|TAX-2|	R11-RXN		RXN-11564	Butyryl-CoA:acetate CoA-transferase
EXC-STARCH-N27	Extracellular starch(27n) degradation		|Polymer-Degradation|,|Degradation|,|Carbohydrates-Degradation|,|POLYSACCHARIDES-DEG|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Glycan-Pathways|,|Glycan-Degradation|	|TAX-2|	alpha-amylase,beta-amylase,gamma-amylase,pullulanase,ABC-malt-transporter	3.2.1.1,3.2.1.2,3.2.1.3,3.2.1.41,7.5.2.1		Alpha-amylase;beta-amylase;gamma-amylase;pullulanase;ABC-type maltose transporter
EXO-GALACTAN_DEG	Extracellular galactan(2n) degradation		|Polymer-Degradation|,|Degradation|,|Carbohydrates-Degradation|,|POLYSACCHARIDES-DEG|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Glycan-Pathways|,|Glycan-Degradation|		galactanase	3.2.1.145		galactanase
FOLATE-SYN-GS1	Folate biosynthesis from GTP and 4-aminobenzoate via dihydropterin-3-triphosphate		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Cofactor-Biosynthesis|,|Vitamin-Biosynthesis|,|Folate-Biosynthesis|	|TAX-2759|,|TAX-2|,|TAX-2157|	GTP-CYCLOHYDRO-I-RXN,ALKAPHOSPHA-RXN,H2NEOPTERINALDOL-RXN,H2PTEROATESYNTH-RXN,DIHYDROFOLATESYNTH-RXN,DHFR	3.5.4.16,3.1.3.1,4.1.2.25,2.5.1.15,6.3.2.12,1.5.1.3	H2PTEROATESYNTH-RXN	GTP cyclohydrolase;alkaline phosphatase;dihydroneopterin aldolase;dihydropteroate synthase;dihydrofolate synthase;dihydrofolate reductase
THIAZOLE-SYN-GS1	thiazole biosynthesis I (facultative anaerobic bacteria) with tautomerase	thiazole biosynthesis I (facultative anaerobic bacteria) with tautomerase	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Cofactor-Biosynthesis|,|Vitamin-Biosynthesis|,|Thiamine-Biosynthesis|,|Thiazole-Biosynthesis|	|TAX-2|	RXN-12609,THIAZOLSYN2-RXN,DXS-RXN,RXN-9788,RXN-9789,RXN-11319,RXN-14382,RXN0-308	5.3.99.10,2.8.1.10,2.2.1.7,2.8.1,2.7.7.73,4.1.99.19,2.8.1.7,		thiazole tautomerase;1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase;1-deoxy-D-xylulose-5-phosphate synthase;carboxy-adenylated-[ThiS sulfur-carrier-protein] sulfurtransferase;ThiS adenylyltransferase;2-iminoacetate synthase;cysteine :[Thil sulfur-protein cysteine] sulfurtransferase;L-cysteine:[protein cysteine] sulfurtransferase
F420-3-BIOSYN-ARCHAEA	F420 Biosynthesis until 3 glutamine residues		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Cofactor-Biosynthesis|	|TAX-2157|	RXN-21088,RXN-19229,RXN-19230,RXN-21089,1.5.99.9-RXN,RXN-8080,RXN-8081,RXN-8087	2.7.7.68,2.5.1.147,4.3.1.32,2.7.2.28,1.5.98.1,6.3.2.31,6.3.2.34,6.3.2.32	RXN-21089	2-phospho-L-lactate guanylyltransferase;5-amino-6-(D-ribitylamino)uracil-L-tyrosine 4-hydroxyphenyl transferase;7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase;2-phospho-L-lactate transferase;methylenetetrahydromethanopterin dehydrogenase;coenzyme F420-0:L-glutamate ligase;coenzyme F420-1:gamma-L-glutamate ligase;coenzyme gamma-F420-2:alpha-L-glutamate ligase
LDH-ETF-PWY	Electron bifurcating LDH/Etf complex		|Pyruvate-Degradation|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Fermentation|,|Fermentation-to-Acids|,|Acetyl-CoA-Butyrate|	|TAX-2|	LDH-ETF	1.3.1.110		Electron bifurcating lactate dehydrogenase
H4SPT-SYN	H4SPT-SYN	Biosynthesis of tetrahydrosarcinapterin from tetrahydromethanopterin	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Cofactor-Biosynthesis|	|TAX-2157|	RXN-11103	6.3.2.33		tetrahydrosarcinapterin synthase
NA-TRANSLOCATING-RNF	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Transport|	|TAX-2157|,|TAX-2|	NA-TRANSLOCATING-RNF			Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex
NA-F0F1ATPSYN	Na(+)-translocating ATPase		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Transport|	|TAX-2759|,|TAX-2|,|TAX-2157|	NA-F0F1ATPSYNTHASE	7.2.2.1		Na(+)-translocating ATPase
INULIN-DEGRADATION-EXO	Inulin degradation(11xFru,1xGlc) (extracellular)		|Polymer-Degradation|,|Degradation|,|Carbohydrates-Degradation|,|POLYSACCHARIDES-DEG|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Glycan-Pathways|,|Glycan-Degradation|		3.2.1.153-RXN,1-KESTOTRIOSE-ABC-TRANSPORT,RXN-1841	3.2.1.153,,3.2.1.80	3.2.1.153	fructan beta-(2,1)-fructosidase;1-Kestotriose ABC-Transporter;fructan beta-fructosidase 
TYR-DEG-4HPAC	L-Tyrosine degradation to 4-hydroxyphenylacetate via tyramine		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|	|TAX-2|	TYROSINE-DECARBOXYLASE-RXN,RXN-5821,1.2.1.53-RXN	4.1.1.25,1.4.3.4,1.2.1.53		tyrosine decarboxylase;monoamine oxidase;4-hydroxyphenylacetaldehyde dehydrogenase
PYR-ACCOA-FROX	Pyruvate-ferredoxin oxidorectase to acetyl-CoA		|Pyruvate-Degradation|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Fermentation|,|Fermentation-to-Acids|,|Acetyl-CoA-Butyrate|	|TAX-2|	pyr.ferredoxin-OXIDO			pyruvate:ferredoxin oxidoreductase
LWP-GS	Ljungdahl-Wood pathway (gapseq)	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria),Wood pathway,acetate synthesis,acetyl-CoA pathway,carbon monoxide dehydrogenase pathway,carbon fixation,CO<SUB>2</SUB> fixation,Ljungdahl-Wood pathway,Wood-Ljungdahl pathway,reductive acetyl CoA pathway	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|C1-COMPOUNDS|,|CO2-Fixation|,|Autotrophic-CO2-Fixation|	|TAX-2157|,|TAX-2|	FORMATE-DEHYDROGENASE-FRDX,METHCOCLTH-RXN,ACETYLSYNCLTH-RXN,RXN-5061,1.5.1.20-RXN,METHENYLTHFCYCLOHYDRO-RXN,FORMATETHFLIG-RXN,METHYLENETHFDEHYDROG-NADP-RXN,1.2.7.4-RXN,RXN-21797	1.17.99.7,2.1.1.258,2.3.1.169,1.5.7.1,1.5.1.20,3.5.4.9,6.3.4.3,1.5.1.5,1.2.7.4,1.5.1.M4	1.2.7.4-RXN,FORMATE-DEHYDROGENASE-FRDX	formate dehydrogenase (ferredoxin);methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase;CO-methylating acetyl-CoA synthase;methylenetetrahydrofolate reductase;5,10-methylenetetrahydrofolate reductase;methenyltetrahydrofolate cyclohydrolase;formyltetrahydrofolate synthetase;NADP+-dependent methylenetetrahydrofolate dehydrogenase;carbon monoxide dehydrogenase (ferredoxin);methylene tetrahydrofolate reductase (bifurcating)
BAI-PWY	Bile acid 7alpha-dehydroxylation	secondary bile acid biosynthesis, bile acids degradation	|Fatty-Acid-and-Lipid-Degradation|,|Steroids-Degradation|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CARBOXYLATES-DEG|,|Bile-Acids-Degradation|	|TAX-2|	RXN-Bai1,RXN-Bai2,RXN-Bai3,RXN-Bai4,RXN-Bai5,RXN-Bai6,RXN-Bai7,RXN-Bai8	6.2.1.7,1.1.1.395,1.3.1.115,4.2.1.106,2.8.3.25,1.3.1.116,1.3.1.114,1.1.1.52	RXN-Bai3,RXN-Bai6	BaiB;BaiA2;BaiCD;BaiE;BaiF;BaiH;BaiCD;BaiA2
QUERCETIN-ANAERO-DEG	Anaerobe quercetin degradation	Anaerobe quercetin degradation	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|	|TAX-2|	GS-QUC-RED,GS-TXF-ISO,GS-ALPH-OX-DECARBOXY	,5.5.1.6,	GS-TXF-ISO	Quercetin reductase;Taxofolin isomerase;Alphitonine decarboxylase (oxidative)
PHLOROGLUCINOL-DEG-PWY	phloroglucinol degradation (anaerobic)	phloroglucinol degradation (anaerobic)	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|	|TAX-1239|	R5-RXN,R6-RXN,R8-RXN,R7-RXN	1.3.1.57,3.7.1,2.8.3.8,2.3.1	R5-RXN	phloroglucinol reductase;dihydrophloroglucinol hydrolase;acetate CoA-transferase;3-hydroxy-5-oxohexanoyl-CoA thiolase
PWY-8086-GS	(S)-lactate fermentation to propanoate	(<i>S</i>)-lactate fermentation to propanoate	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Fermentation|,|Fermentation-to-Acids|,|Fermentation-to-propanoate|	|TAX-2|	FUMHYDR-RXN,R601-RXN,RXN0-268,METHYLMALONYL-COA-EPIM-RXN,METHYLMALONYL-COA-MUT-RXN,MALATE-DEH-RXN,RXN-19738,PYRUVATE-CARBOXYLASE-RXN,L-LACTATE-DEHYDROGENASE-RXN	4.2.1.2,1.3.5.4,2.8.3.M4,5.1.99.1,5.4.99.2,1.1.1.37,7.2.4.3,6.4.1.1,1.1.1.27	RXN-19738	FUMHYDR-RXN;R601-RXN;RXN0-268;METHYLMALONYL-COA-EPIM-RXN;METHYLMALONYL-COA-MUT-RXN;MALATE-DEH-RXN;(S)-methylmalonyl-CoA decarboxylase;PYRUVATE-CARBOXYLASE-RXN;L-LACTATE-DEHYDROGENASE-RXN
THRBIOSYN-GS	Threonine biosynthis from aspartate via homoserine (gapseq)	L-threonine biosynthesis from aspartate (gapseq)	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Amino-Acid-Biosynthesis|,|IND-AMINO-ACID-SYN|,|THREONINE-BIOSYNTHESIS|	|TAX-2157|,|TAX-33090|,|TAX-4751|,|TAX-2|	HOMOSERKIN-RXN,THRESYN-RXN,ASPARTATEKIN-RXN,ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,HOMOSERDEHYDROG-RXN	2.7.1.39,4.2.3.1,2.7.2.4,1.2.1.11,1.1.1.3		homoserine kinase;threonine synthase;aspartate kinase;aspartate-semialdehyde dehydrogenase;homoserine dehydrogenase
