id	name	altname	hierarchy	taxrange	reaId	reaEc	keyRea	reaName	reaNr	ecNr	superpathway	status
seed.pwy14	Arginine Biosynthesis		Amino Acids and Derivatives;Arginine; urea cycle, polyamines		rxn01917,rxn01637,rxn00469,rxn00802,rxn01434,rxn01636,rxn02465,rxn00192,rxn01019	2.7.2.8,2.6.1.11,3.5.1.16,4.3.2.1,6.3.4.5,2.3.1.35,1.2.1.38,2.3.1.1,2.1.3.3		Acetylglutamate kinase;Acetylornithine aminotransferase;Acetylornithine deacetylase;Argininosuccinate lyase;Argininosuccinate synthase;Glutamate N-acetyltransferase;N-acetyl-gamma-glutamyl-phosphate reductase;N-acetylglutamate synthase;Ornithine carbamoyltransferase	9	9	False	True
seed.pwy15	Arginine Biosynthesis extended		Amino Acids and Derivatives;Arginine; urea cycle, polyamines		rxn01917,rxn01637,rxn01637,rxn00469,rxn00802,rxn01434,rxn01636,rxn02465,rxn00192,rxn05012,rxn01973,rxn01019	2.7.2.8,2.6.1.11,2.6.1.11,3.5.1.16,4.3.2.1,6.3.4.5,2.3.1.35,1.2.1.38,2.3.1.1,2.1.3.9,3.5.1.18,2.1.3.3		Acetylglutamate kinase;Acetylornithine aminotransferase;Acetylornithine aminotransferase 1;Acetylornithine deacetylase;Argininosuccinate lyase;Argininosuccinate synthase;Glutamate N-acetyltransferase;N-acetyl-gamma-glutamyl-phosphate reductase;N-acetylglutamate synthase;N-acetylornithine carbamoyltransferase;N-succinyl-L,L-diaminopimelate desuccinylase;Ornithine carbamoyltransferase	12	12	False	True
seed.pwy16	Arginine Deiminase Pathway		Amino Acids and Derivatives;Arginine; urea cycle, polyamines		rxn00395,rxn10131,rxn00114,rxn01019	3.5.3.6,,2.7.2.2,2.1.3.3		Arginine deiminase;Arginine/ornithine antiporter ArcD;Carbamate kinase;Ornithine carbamoyltransferase	4	3	False	True
seed.pwy17	Arginine and Ornithine Degradation		Amino Acids and Derivatives;Arginine; urea cycle, polyamines		rxn00858,rxn01029,rxn00394,rxn05154,rxn05154,rxn05154,rxn05154,rxn00601,rxn00322,rxn00405,rxn00395,rxn05303,rxn10131,rxn00405,rxn00114,rxn00183,rxn05164,rxn05164,rxn05164,rxn05164,rxn05151,rxn00853,rxn00184,rxn00467,rxn01019,rxn00471,rxn00470,rxn00856,rxn02927,rxn00291,rxn03422,rxn02944	3.5.3.11,3.5.3.12,3.5.3.1,,,,,2.3.1.109,4.1.1.19,4.1.1.19,3.5.3.6,,,4.1.1.19,2.7.2.2,1.5.1.12,,,,,,,1.4.1.4,2.6.1.13,2.1.3.3,4.3.1.12,4.1.1.17,2.6.1.82,3.5.3.23,3.5.1.96,1.2.1.71,2.6.1.81		Agmatinase;Agmatine deiminase;Arginase;Arginine ABC transporter, ATP-binding protein ArtP;Arginine ABC transporter, periplasmic arginine-binding protein ArtJ;Arginine ABC transporter, permease protein ArtM;Arginine ABC transporter, permease protein ArtQ;Arginine N-succinyltransferase;Arginine decarboxylase;Arginine decarboxylase, catabolic;Arginine deiminase;Arginine permease RocE;Arginine/ornithine antiporter ArcD;Biosynthetic arginine decarboxylase;Carbamate kinase;Delta-1-pyrroline-5-carboxylate dehydrogenase;Histidine ABC transporter, ATP-binding protein HisP (TC 3.A.1.3.1);Histidine ABC transporter, histidine-binding periplasmic protein precursor HisJ (TC 3.A.1.3.1);Histidine ABC transporter, permease protein HisM (TC 3.A.1.3.1);Histidine ABC transporter, permease protein HisQ (TC 3.A.1.3.1);Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1);N-carbamoylputrescine amidase (3.5.1.53);NADP-specific glutamate dehydrogenase;Ornithine aminotransferase;Ornithine carbamoyltransferase;Ornithine cyclodeaminase;Ornithine decarboxylase;Putrescine aminotransferase;Succinylarginine dihydrolase;Succinylglutamate desuccinylase;Succinylglutamic semialdehyde dehydrogenase;Succinylornithine transaminase	32	20	False	True
seed.pwy18	Cyanophycin Metabolism		Amino Acids and Derivatives;Arginine; urea cycle, polyamines		rxn00416,rxn00646	6.3.5.4,6.3.2.2		Asparagine synthetase [glutamine-hydrolyzing];Glutamate--cysteine ligase	2	2	False	True
seed.pwy19	Polyamine Metabolism		Amino Acids and Derivatives;Arginine; urea cycle, polyamines		rxn01851,rxn00143,rxn00858,rxn01029,rxn00322,rxn00405,rxn10131,rxn00405,rxn00114,rxn00853,rxn00470,rxn05163,rxn05163,rxn05163,rxn05687,rxn00127,rxn00127,rxn00127,rxn09264,rxn05163,rxn01406,rxn02061	1.2.1.19,3.2.2.16,3.5.3.11,3.5.3.12,4.1.1.19,4.1.1.19,,4.1.1.19,2.7.2.2,,4.1.1.17,,,,,4.1.1.50,4.1.1.50,4.1.1.50,2.3.1.57,,2.5.1.16,2.5.1.22		4-aminobutyraldehyde dehydrogenase;5'-methylthioadenosine nucleosidase;Agmatinase;Agmatine deiminase;Arginine decarboxylase;Arginine decarboxylase, catabolic;Arginine/ornithine antiporter ArcD;Biosynthetic arginine decarboxylase;Carbamate kinase;N-carbamoylputrescine amidase (3.5.1.53);Ornithine decarboxylase;Putrescine transport ATP-binding protein potG (TC 3.A.1.11.2);Putrescine transport system permease protein potH (TC 3.A.1.11.2);Putrescine transport system permease protein potI (TC 3.A.1.11.2);Putrescine/proton symporter, putrescine/ornithine antiporter PotE;S-adenosylmethionine decarboxylase proenzyme, eukaryotic;S-adenosylmethionine decarboxylase proenzyme, prokaryotic class 1A;S-adenosylmethionine decarboxylase proenzyme, prokaryotic class 1B;Spermidine N1-acetyltransferase;Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1);Spermidine synthase;Spermine synthase	22	15	False	True
seed.pwy20	Putrescine utilization pathways		Amino Acids and Derivatives;Arginine; urea cycle, polyamines		rxn01851,rxn01204,rxn05126,rxn00856	1.2.1.19,2.6.1.19,1.2.1.-,2.6.1.82		4-aminobutyraldehyde dehydrogenase;Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase;Gamma-glutamyl-aminobutyraldehyde dehydrogenase;Putrescine aminotransferase	4	4	False	True
seed.pwy21	Urea decomposition		Amino Acids and Derivatives;Arginine; urea cycle, polyamines		rxn05667,rxn05667,rxn00101,rxn00101,rxn00101,rxn00101,rxn00101,rxn00101,rxn00101	,,,,,,3.5.1.5,3.5.1.5,3.5.1.5		Eukaryotic-type low-affinity urea transporter;Urea channel UreI;Urease accessory protein UreD;Urease accessory protein UreE;Urease accessory protein UreF;Urease accessory protein UreG;Urease alpha subunit;Urease beta subunit;Urease gamma subunit	9	3	False	True
seed.pwy22	Aminotransferases:Aromatic Pathway and More, A work in progress		Amino Acids and Derivatives;Aromatic amino acids and derivatives		rxn00493,rxn00260,rxn00493,rxn00493,rxn00806,rxn00849,rxn00493,rxn00493,rxn02914	2.6.1.57,2.6.1.1,2.6.1.57,2.6.1.57,2.6.1.42,2.6.1.21,2.6.1.9,2.6.1.57,2.6.1.52		Aromatic-amino-acid aminotransferase;Aspartate aminotransferase;Biosynthetic Aromatic amino acid aminotransferase alpha;Biosynthetic Aromatic amino acid aminotransferase beta;Branched-chain amino acid aminotransferase;D-alanine aminotransferase;Histidinol-phosphate aminotransferase;Periplasmic aromatic amino acid aminotransferase beta precursor;Phosphoserine aminotransferase	9	9	False	True
seed.pwy23	Aromatic amino acid degradation		Amino Acids and Derivatives;Aromatic amino acids and derivatives		rxn01203,rxn02885,rxn02883,rxn02366,rxn00999,rxn03040,rxn03055,rxn03041,rxn05301,rxn00484,rxn02222,rxn01437,rxn01315,rxn05306,rxn00478,rxn00479,rxn00473	4.1.2.-,5.3.3.-,4.2.-.-,1.13.11.15,1.13.11.27,5.3.3.10,1.2.1.60,4.1.1.68,,4.1.1.28,3.5.1.-,3.5.1.9,1.14.16.1,,1.13.11.11,1.13.12.3,4.1.99.1		2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase;2-hydroxyhepta-2,4-diene-1,7-dioate isomerase;2-oxo-hepta-3-ene-1,7-dioic acid hydratase;3,4-dihydroxyphenylacetate 2,3-dioxygenase;4-hydroxyphenylpyruvate dioxygenase;5-carboxymethyl-2-hydroxymuconate delta-isomerase;5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase;5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase;Aromatic amino acid transport protein aroP;Aromatic-L-amino-acid decarboxylase;Indoleacetamide hydrolase;Kynurenine formamidase, bacterial;Phenylalanine-4-hydroxylase;Phenylalanine-specific permease;Tryptophan 2,3-dioxygenase;Tryptophan 2-monooxygenase;Tryptophanase	17	15	False	True
seed.pwy24	Chorismate: Intermediate for synthesis of PAPA antibiotics, PABA, anthranilate, 3-hydroxyanthranilate and more.		Amino Acids and Derivatives;Aromatic amino acids and derivatives		rxn03841,rxn00726,rxn00726,rxn02177,rxn02177,rxn01258,rxn01258,rxn01257,rxn01257	4.1.3.38,4.1.3.27,4.1.3.27,3.3.2.1,3.3.2.1,5.4.4.2,5.4.4.2,2.6.1.85,2.6.1.85		Aminodeoxychorismate lyase;Anthranilate synthase, amidotransferase component;Anthranilate synthase, aminase component;Isochorismatase;Isochorismatase [enterobactin] siderophore;Isochorismate synthase;Isochorismate synthase of siderophore biosynthesis;Para-aminobenzoate synthase, amidotransferase component;Para-aminobenzoate synthase, aminase component	9	9	False	True
seed.pwy25	Chorismate Synthesis		Amino Acids and Derivatives;Aromatic amino acids and derivatives		rxn02331,rxn01332,rxn01332,rxn01332,rxn02212,rxn02213,rxn02213,rxn02212,rxn02476,rxn00525,rxn01256,rxn01256,rxn01256,rxn01255,rxn01268,rxn01256,rxn01268,rxn01000,rxn01268,rxn01740,rxn01364,rxn01740,rxn01740,rxn01739,rxn01739,rxn01739,rxn01740	2.5.1.55,2.5.1.54,2.5.1.54,2.5.1.54,4.2.3.-,4.2.1.10,4.2.1.10,4.2.3.4,2.5.1.19,1.3.1.43,5.4.99.5,5.4.99.5,5.4.99.5,4.2.3.5,1.3.1.12,5.4.99.5,1.3.1.12,4.2.1.51,1.3.1.12,1.1.1.25,1.1.99.25,1.1.1.25,1.1.1.25,2.7.1.71,2.7.1.71,2.7.1.71,1.1.1.282		2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase;2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha;2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta;2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II;3,7-dideoxy-D-threo-hepto-2, 6-diulosonate synthase;3-dehydroquinate dehydratase I;3-dehydroquinate dehydratase II;3-dehydroquinate synthase;5-Enolpyruvylshikimate-3-phosphate synthase;Arogenate dehydrogenase;Chorismate mutase;Chorismate mutase II;Chorismate mutase III;Chorismate synthase;Cyclohexadienyl dehydrogenase;Periplasmic chorismate mutase I precursor;Prephenate and/or arogenate dehydrogenase (unknown specificity);Prephenate dehydratase;Prephenate dehydrogenase;Quinate/shikimate 5-dehydrogenase I delta;Quinate/shikimate dehydrogenase [Pyrroloquinoline-quinone];Shikimate 5-dehydrogenase I alpha;Shikimate 5-dehydrogenase I gamma;Shikimate kinase I;Shikimate kinase II;Shikimate kinase III;Shikimate/quinate 5-dehydrogenase I beta	27	27	False	True
seed.pwy26	Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)		Amino Acids and Derivatives;Aromatic amino acids and derivatives		rxn02331,rxn01332,rxn01332,rxn01332,rxn02212,rxn02213,rxn02213,rxn02212,rxn02476,rxn01255,rxn01740,rxn01740,rxn01740,rxn01739,rxn01739,rxn01740	2.5.1.55,2.5.1.54,2.5.1.54,2.5.1.54,4.2.3.-,4.2.1.10,4.2.1.10,4.2.3.4,2.5.1.19,4.2.3.5,1.1.1.25,1.1.1.25,1.1.1.25,2.7.1.71,2.7.1.71,1.1.1.282		2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase;2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha;2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta;2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II;3,7-dideoxy-D-threo-hepto-2, 6-diulosonate synthase;3-dehydroquinate dehydratase I;3-dehydroquinate dehydratase II;3-dehydroquinate synthase;5-Enolpyruvylshikimate-3-phosphate synthase;Chorismate synthase;Quinate/shikimate 5-dehydrogenase I delta;Shikimate 5-dehydrogenase I alpha;Shikimate 5-dehydrogenase I gamma;Shikimate kinase I;Shikimate kinase II;Shikimate/quinate 5-dehydrogenase I beta	16	16	False	True
seed.pwy27	Phenylalanine and Tyrosine Branches from Chorismate		Amino Acids and Derivatives;Aromatic amino acids and derivatives		rxn00490,rxn00525,rxn00493,rxn00493,rxn00493,rxn01256,rxn01256,rxn01000,rxn01268,rxn00493,rxn01256,rxn01268,rxn01000,rxn01268	4.2.1.91,1.3.1.43,2.6.1.57,2.6.1.57,2.6.1.57,5.4.99.5,5.4.99.5,4.2.1.51,1.3.1.12,2.6.1.57,5.4.99.5,1.3.1.12,4.2.1.51,1.3.1.12		Arogenate dehydratase;Arogenate dehydrogenase;Aromatic amino acid aminotransferase gamma;Biosynthetic Aromatic amino acid aminotransferase alpha;Biosynthetic Aromatic amino acid aminotransferase beta;Chorismate mutase II;Chorismate mutase III;Cyclohexadienyl dehydratase;Cyclohexadienyl dehydrogenase;Periplasmic aromatic amino acid aminotransferase beta precursor;Periplasmic chorismate mutase I precursor;Prephenate and/or arogenate dehydrogenase (unknown specificity);Prephenate dehydratase;Prephenate dehydrogenase	14	14	False	True
seed.pwy28	Phenylalanine synthesis		Amino Acids and Derivatives;Aromatic amino acids and derivatives		rxn00493,rxn00260,rxn01256,rxn01000	2.6.1.57,2.6.1.1,5.4.99.5,4.2.1.51		Aromatic-amino-acid aminotransferase;Aspartate aminotransferase;Chorismate mutase;Prephenate dehydratase	4	4	False	True
seed.pwy29	Tryptophan catabolism		Amino Acids and Derivatives;Aromatic amino acids and derivatives		rxn01893,rxn01927,rxn00540,rxn00171,rxn01930,rxn01438,rxn01437,rxn01437,rxn00478	4.2.1.-,1.13.11.6,4.1.3.-,1.2.1.10,3.7.1.3,1.14.13.9,3.5.1.9,3.5.1.9,1.13.11.11		2-keto-4-pentenoate hydratase;3-hydroxyanthranilate 3,4-dioxygenase;4-hydroxy-2-oxovalerate aldolase;Acetaldehyde dehydrogenase;Kynureninase;Kynurenine 3-monooxygenase;Kynurenine formamidase;Kynurenine formamidase, bacterial;Tryptophan 2,3-dioxygenase	9	9	False	True
seed.pwy30	Tryptophan synthesis		Amino Acids and Derivatives;Aromatic amino acids and derivatives		rxn03841,rxn00791,rxn00726,rxn00726,rxn02507,rxn01257,rxn01257,rxn02508,rxn03175,rxn00474,rxn00474	4.1.3.38,2.4.2.18,4.1.3.27,4.1.3.27,4.1.1.48,2.6.1.85,2.6.1.85,5.3.1.24,5.3.1.16,4.2.1.20,4.2.1.20		Aminodeoxychorismate lyase;Anthranilate phosphoribosyltransferase;Anthranilate synthase, amidotransferase component;Anthranilate synthase, aminase component;Indole-3-glycerol phosphate synthase;Para-aminobenzoate synthase, amidotransferase component;Para-aminobenzoate synthase, aminase component;Phosphoribosylanthranilate isomerase;Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase;Tryptophan synthase alpha chain;Tryptophan synthase beta chain	11	11	False	True
seed.pwy31	Branched-Chain Amino Acid Biosynthesis		Amino Acids and Derivatives;Branched-chain amino acids		rxn00902,rxn02789,rxn02789,rxn03062,rxn00011,rxn00011,rxn00011,rxn00011,rxn00011,rxn00011,rxn00806,rxn00898,rxn01790,rxn00804,rxn00737,rxn00737,rxn00737,rxn00904	2.3.3.13,4.2.1.33,4.2.1.33,1.1.1.85,2.2.1.6,2.2.1.6,2.2.1.6,2.2.1.6,2.2.1.6,2.2.1.6,2.6.1.42,4.2.1.9,1.1.1.86,1.4.1.9,4.3.1.19,4.3.1.19,4.3.1.19,2.6.1.66		2-isopropylmalate synthase;3-isopropylmalate dehydratase large subunit;3-isopropylmalate dehydratase small subunit;3-isopropylmalate dehydrogenase;Acetolactate synthase large subunit;Acetolactate synthase small subunit;Acetolactate synthase small subunit, Xanthomonadales type;Acetolactate synthase small subunit, predicted;Acetolactate synthase small subunit, predicted, Archaeal type;Acetolactate synthase small subunit, predicted, Archaeal type 2;Branched-chain amino acid aminotransferase;Dihydroxy-acid dehydratase;Ketol-acid reductoisomerase;Leucine dehydrogenase;Threonine dehydratase;Threonine dehydratase biosynthetic;Threonine dehydratase, catabolic;Valine--pyruvate aminotransferase	18	18	False	True
seed.pwy32	Branched chain amino acid degradation regulons		Amino Acids and Derivatives;Branched-chain amino acids		rxn01480,rxn03433,rxn00178,rxn00988,rxn01924,rxn07430,rxn07430,rxn00806,rxn01925,rxn01451,rxn02949,rxn00991,rxn00872,rxn00804,rxn02889,rxn02889,rxn01504,rxn00501,rxn00290,rxn00290	1.1.1.31,3.1.2.4,2.3.1.16,6.2.1.16,1.3.99.12,1.2.4.4,1.2.4.4,2.6.1.42,2.3.1.168,4.2.1.17,4.2.1.17,4.1.3.4,1.3.99.10,1.4.1.9,6.4.1.4,6.4.1.4,4.2.1.18,1.2.1.27,2.8.3.5,2.8.3.5		3-hydroxyisobutyrate dehydrogenase;3-hydroxyisobutyryl-CoA hydrolase;3-ketoacyl-CoA thiolase [isoleucine degradation];Acetoacetyl-CoA synthetase;Branched-chain acyl-CoA dehydrogenase;Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit;Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit;Branched-chain amino acid aminotransferase;Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex;Enoyl-CoA hydratase [isoleucine degradation];Enoyl-CoA hydratase [valine degradation];Hydroxymethylglutaryl-CoA lyase;Isovaleryl-CoA dehydrogenase;Leucine dehydrogenase;Methylcrotonyl-CoA carboxylase biotin-containing subunit;Methylcrotonyl-CoA carboxylase carboxyl transferase subunit;Methylglutaconyl-CoA hydratase;Methylmalonate-semialdehyde dehydrogenase;Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A;Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B	20	20	False	True
seed.pwy33	HMG CoA Synthesis		Amino Acids and Derivatives;Branched-chain amino acids		rxn00988,rxn00947,rxn02889,rxn00991,rxn00872,rxn02889,rxn02889,rxn01504	6.2.1.16,6.2.1.16,6.3.4.14,4.1.3.4,1.3.99.10,6.4.1.4,6.4.1.4,4.2.1.18		Acetoacetyl-CoA synthetase;Acetoacetyl-CoA synthetase [leucine];Biotin carboxylase of methylcrotonyl-CoA carboxylase;Hydroxymethylglutaryl-CoA lyase;Isovaleryl-CoA dehydrogenase;Methylcrotonyl-CoA carboxylase biotin-containing subunit;Methylcrotonyl-CoA carboxylase carboxyl transferase subunit;Methylglutaconyl-CoA hydratase	8	8	False	True
seed.pwy34	Isoleucine degradation		Amino Acids and Derivatives;Branched-chain amino acids		rxn01451,rxn00178,rxn00178,rxn00868,rxn01924,rxn07430,rxn07430,rxn00806,rxn01236,rxn00868,rxn01925,rxn01241,rxn02167,rxn01451,rxn01925,rxn01924,rxn00871	1.1.1.35,2.3.1.16,2.3.1.16,1.3.99.2,1.3.99.12,1.2.4.4,1.2.4.4,2.6.1.42,2.7.2.7,1.3.99.2,2.3.1.168,1.8.1.4,4.2.1.17,4.2.1.17,2.3.1.-,1.3.99.3,2.3.1.19		3-hydroxyacyl-CoA dehydrogenase;3-ketoacyl-CoA thiolase;3-ketoacyl-CoA thiolase [isoleucine degradation];Acyl-CoA dehydrogenase, short-chain specific;Branched-chain acyl-CoA dehydrogenase;Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit;Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit;Branched-chain amino acid aminotransferase;Butyrate kinase;Butyryl-CoA dehydrogenase;Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex;Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase;Enoyl-CoA hydratase;Enoyl-CoA hydratase [isoleucine degradation];Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex;Probable acyl-CoA dehydrogenase;phosphotransbutyrylase	17	17	False	True
seed.pwy35	Ketoisovalerate oxidoreductase		Amino Acids and Derivatives;Branched-chain amino acids		rxn00175,rxn01454,rxn05938	6.2.1.1,2.3.3.10,1.2.7.1		Acetyl-coenzyme A synthetase;Hydroxymethylglutaryl-CoA synthase;Pyruvate:ferredoxin oxidoreductase, gamma subunit	3	3	False	True
seed.pwy36	Leucine Biosynthesis		Amino Acids and Derivatives;Branched-chain amino acids		rxn00902,rxn02789,rxn02789,rxn03062,rxn00806	2.3.3.13,4.2.1.33,4.2.1.33,1.1.1.85,2.6.1.42		2-isopropylmalate synthase;3-isopropylmalate dehydratase large subunit;3-isopropylmalate dehydratase small subunit;3-isopropylmalate dehydrogenase;Branched-chain amino acid aminotransferase	5	5	False	True
