abbreviation	description	formula	subsystem	ecnumber	keggId	keggorthology	cog	seed	metanetx
35CGMPtn	35CGMP Nuclear Transport	35cgmp[c] <=> 35cgmp[n] 	Transport, nuclear						MNXR94849
3AIBTm	L-3-Aminoisobutyrate Transaminase, Mitochondrial	2mop[m] + glu_L[m] <=> 3aib[m] + akg[m] 	Valine, leucine, and isoleucine metabolism						MNXR94853
3AIBtmi	3-Amino-Isobutyrate Transport, Mitochondrial	3aib[m] -> 3aib[c] 	Transport, mitochondrial	2.6.19.4					
3DPHBH1	Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH)	3dphb[m] + h[m] + nadh[m] + o2[m] -> 3dpdhb[m] + h2o[m] + nad[m] 	Ubiquinone synthesis						MNXR94864
3DPHBH2	Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADPH)	3dphb[m] + h[m] + nadph[m] + o2[m] -> 3dpdhb[m] + h2o[m] + nadp[m] 	Ubiquinone synthesis						MNXR94865
3DSPHR	3-Dehydrosphinganine Reductase	3dsphgn[c] + h[c] + nadph[c] -> nadp[c] + sphgn[c] 	Sphingolipid metabolism	1.1.1.102	R02978				MNXR94866
3HAO	3-Hydroxyanthranilate 3, 4-Dioxygenase	3hanthrn[c] + o2[c] -> cmusa[c] + h[c] 	Tryptophan metabolism	1.13.11.6	R02665			rxn01927	MNXR94889
3HBCDm	3-Hydroxybutyryl Coenzyme A Dehydratase, Mitochondrial	b2coa[m] + h2o[m] <=> 3hbcoa_R[m] 	Butanoate metabolism	4.2.1.55					MNXR94890
3HBCOAHLm	3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial	3hibutcoa[m] + h2o[m] -> 3hmp[m] + coa[m] + h[m] 	Valine, leucine, and isoleucine metabolism	3.1.2.4					MNXR94891
3HKYNAKGAT	3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase	akg[c] + hLkynr[c] -> 42A3HP24DB[c] + glu_L[c] 	Tryptophan metabolism	2.6.1.7					MNXR94895
3HLYTCL	3-Hydroxy-L-Tyrosine Carboxy-Lyase	34dhphe[c] + h[c] -> co2[c] + dopa[c] 	Tyrosine metabolism	4.1.1.28				rxn01499	MNXR94896
3HPCOAHYD	3-Hydroxyisobutyryl-Coenzyme A Hydrolase	3hpcoa[c] + h2o[c] -> 3hpp[c] + coa[c] + h[c] 	Beta-Alanine metabolism	3.1.2.4				rxn02261	MNXR160
3HPPD	3-Hydroxypropionate Dehydrogenase	3hpp[c] + nad[c] <=> h[c] + msa[c] + nadh[c] 	Propanoate metabolism	1.1.1.59				rxn01174	MNXR161
3HXKYNDCL	3-Hydroxykynurenamine Decarboxy-Lyase	h[c] + hLkynr[c] -> 3hxkynam[c] + co2[c] 	Tryptophan metabolism	1.1.1.59					
3HXKYNOXDA	3-Hydroxykynurenamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	3hxkynam[c] + o2[c] -> 48dhoxquin[c] + h2o2[c] + nh4[c] 	Tryptophan metabolism	1.4.3.4					
3M4HDXPAC	3-Methoxy-4-Hydroxyphenylacetaldehyde:NAD+ Oxidoreductase	3mox4hpac[c] + h2o[c] + nad[c] <=> 2.0 h[c] + homoval[c] + nadh[c] 	Tyrosine metabolism	1.2.1.5					MNXR94912
3MLDAt	3Mlda Extracellular Transport via Diffusion	3mlda[c] <=> 3mlda[e] 	Transport, extracellular						MNXR94920
3MOBt2im	3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport	3mob[c] + h[c] -> 3mob[m] + h[m] 	Transport, mitochondrial						MNXR94923
3MOPt2im	3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport	3mop[c] + h[c] -> 3mop[m] + h[m] 	Transport, mitochondrial						MNXR94927
3MOX4HOXPGALDOX	3-Methoxy-4-Hydroxyphenylglycolaldehyde:NAD+ Oxidoreductase	3m4hpga[c] + h2o[c] + nad[c] -> 3mox4hoxm[c] + 2.0 h[c] + nadh[c] 	Tyrosine metabolism	1.2.1.5					MNXR94928
3MOX4HOXPGALDOX_NADP_	3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase	3m4hpga[c] + h2o[c] + nadp[c] <=> 3mox4hoxm[c] + 2.0 h[c] + nadph[c] 	Tyrosine metabolism	1.2.1.5					
3MOXTYROX	3-Methoxytyramine:Oxygen Oxidoreductase (Deaminating)	3moxtyr[c] + h2o[c] + o2[c] -> 3mox4hpac[c] + h2o2[c] + nh4[c] 	Tyrosine metabolism	1.4.3.4	R04890				MNXR94931
3NTD7l	3'-Nucleotidase (AMP), Lysosomal	3amp[l] + h2o[l] -> adn[l] + pi[l] 	Purine catabolism	3.1.3.2					
3SALAASPm	Cysteinesulfinate-Aspartate Mitochondrial Shuttle	3sala[m] + asp_L[c] <=> 3sala[c] + asp_L[m] 	Transport, mitochondrial						MNXR94977
3SALACBOXL	3-Sulfino-L-Alanine Carboxy-Lyase	3sala[c] + 2.0 h[c] -> co2[c] + hyptaur[c] 	Taurine and hypotaurine metabolism	4.1.1.15					
3SALAOX	Cysteinesulfinic Acid Oxidase	2.0 3sala[c] + 2.0 h[c] + o2[c] -> 2.0 Lcyst[c] 	Taurine and hypotaurine metabolism						MNXR94979
3SALATAi	3-Sulfino-Alanine Transaminase (Irreversible)	3sala[c] + akg[c] + h[c] -> 3snpyr[c] + glu_L[c] 	Methionine and cysteine metabolism	2.6.1.1					MNXR94980
3SALATAim	3-Sulfino-Alanine Transaminase (Irreversible), Mitochondrial	3sala[m] + akg[m] + h[m] -> 3snpyr[m] + glu_L[m] 	Methionine and cysteine metabolism	2.6.1.1					MNXR94980
3SPYRSP	3-Sulfinopyruvate Hydrolase (Spotaneous Reaction)	3snpyr[c] + h2o[c] -> h[c] + pyr[c] + so3[c] 	Methionine and cysteine metabolism	3.13.1.-					MNXR94981
3SPYRSPm	3-Sulfinopyruvate Hydrolase (Spotaneous Reaction), Mitochondrial	3snpyr[m] + h2o[m] -> h[m] + pyr[m] + so3[m] 	Methionine and cysteine metabolism	3.13.1.-					MNXR94981
41R1H2MAE12BOOX	4-[ (1R)-1-Hydroxy-2- (Methylamino)Ethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	adrnl[c] + h2o[c] + o2[c] -> 34dhmald[c] + h2o2[c] + mma[c] 	Tyrosine metabolism	1.4.3.4					MNXR94987
41R2A1H12BOOX	4-[ (1R)-2-Amino-1-Hydroxyethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	h2o[c] + nrpphr[c] + o2[c] -> 34dhmald[c] + h2o2[c] + nh4[c] 	Tyrosine metabolism	1.4.3.4	R02532				MNXR94988
42A12BOOX	4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	dopa[c] + h2o[c] + o2[c] -> 34dhpac[c] + h2o2[c] + nh4[c] 	Tyrosine metabolism	1.4.3.21, 1.4.3.4, 1.4.9.2, 1.4.99.4	R04300			rxn02993	MNXR94989
4ABUTtm	4-Aminobutanoate Mitochondrial Transport via Diffusion	4abut[c] <=> 4abut[m] 	Transport, mitochondrial						MNXR94993
4HBZCOAFm	4-Hydroxybenzoyl Coenzyme A Formation	coa[m] + coucoa[m] + h2o[m] + nad[m] -> 4hbzcoa[m] + accoa[m] + h[m] + nadh[m] 	Ubiquinone synthesis		R08767				MNXR95010
4HBZFm	4-Hydroxybenzoate Formation	4hbzcoa[m] + h2o[m] -> 4hbz[m] + coa[m] + h[m] 	Ubiquinone synthesis	3.1.2.23	R01301				MNXR95011
4HDEBRISOQUINEte	Transport of Xenobiotic	4hdebrisoquine[e] <=> 4hdebrisoquine[c] 	Transport, extracellular						MNXR95014
4HGLSDm	L-4-Hydroxyglutamate Semialdehyde Dehydrogenase, Mitochondrial	4hglusa[m] + h2o[m] + nad[m] -> e4hglu[m] + 2.0 h[m] + nadh[m] 	Arginine and proline metabolism	1.2.1.-, 1.2.1.88	R05051				MNXR95015
4HOXPACDOX_NADP_	4-Hydroxyphenylacetaldehyde:NADP+ Oxidoreductase	4hoxpacd[c] + h2o[c] + nadp[c] <=> 4hphac[c] + 2.0 h[c] + nadph[c] 	Tyrosine metabolism	1.2.1.5					
4MOPt2im	4-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport	4mop[c] + h[c] -> 4mop[m] + h[m] 	Transport, mitochondrial						MNXR95034
4MPTNLte	4-Methylpentanal Transport	4mptnl[c] <=> 4mptnl[e] 	Transport, extracellular						MNXR95036
4MPTNLtm	4-Methylpentanal Transport, Mitochondrial	4mptnl[c] <=> 4mptnl[m] 	Transport, mitochondrial						MNXR95036
4MPTNLtr	4-Methylpentanal Transport, Endoplasmatic Reticulum	4mptnl[c] <=> 4mptnl[r] 	Transport, endoplasmic reticular						
4MTOLBUTAMIDEte	Transport of Xenobiotic	4mtolbutamide[e] <=> 4mtolbutamide[c] 	Transport, extracellular						MNXR95037
4NPHSFte	Transport of Xenobiotic	4nphsf[e] <=> 4nphsf[c] 	Transport, extracellular						MNXR95041
4NPHSULT	4-Nitrophenol Sulfotransferase	4nph[c] + paps[c] -> 4nphsf[c] + h[c] + pap[c] 	Cytochrome metabolism						MNXR95042
4NPHte	Transport of Xenobiotic	4nph[e] <=> 4nph[c] 	Transport, extracellular						MNXR95043
4PYRDX	4-Pyridoxal Secretion	4pyrdx[c] + atp[c] + h2o[c] -> 4pyrdx[e] + adp[c] + h[c] + pi[c] 	Transport, extracellular						MNXR95053
5ADTSTSTERONEGLCte	Glucuronidated Compound Transport	5adtststeroneglc[c] + atp[c] + h2o[c] -> 5adtststeroneglc[e] + adp[c] + h[c] + pi[c] 	Transport, extracellular						MNXR95056
5ADTSTSTERONEGLCtr	Glucuronidated Compound Transport	5adtststeroneglc[c] <=> 5adtststeroneglc[r] 	Transport, endoplasmic reticular						MNXR95057
5ADTSTSTERONESte	Sulfonated Testosterone Transport	5adtststerones[c] <=> 5adtststerones[e] 	Transport, extracellular						MNXR95059
5ADTSTSTERONESULT	5Alpha-Dihydrotestosterone Sulfotransferase	5adtststerone[c] + paps[c] -> 5adtststerones[c] + h[c] + pap[c] 	Steroid metabolism						MNXR95058
5ADTSTSTERONEte	5 Alpha Dihydrotesterone Transport	5adtststerone[e] <=> 5adtststerone[c] 	Transport, extracellular						MNXR95060
5ADTSTSTERONEtr	5 Alpha Dihydrotesterone Intracellular Transport	5adtststerone[r] <=> 5adtststerone[c] 	Transport, endoplasmic reticular						MNXR95060
5AOPtm	5-Aminolevulinate Mitochondrial Transport	5aop[c] <=> 5aop[m] 	Heme synthesis						MNXR95062
5DHFtl	5-Glutamyl-Dhf Transport, Lysosomal	5dhf[c] -> 5dhf[l] 	Transport, lysosomal						MNXR95068
5FTHFt2	5-Formyltetrahydrofolate Transport via Anion Exchange	5fthf[e] + h2o[c] <=> 5fthf[c] + h2o[e] 	Transport, extracellular						
5HLTDL	5-Hydroxy-L-Tryptophan Decarboxy-Lyase	5htrp[c] + h[c] -> co2[c] + srtn[c] 	Tryptophan metabolism	4.1.1.28				rxn01948	MNXR95078
5HOMEPRAZOLEte	Transport of Xenobiotic	5homeprazole[e] <=> 5homeprazole[c] 	Transport, extracellular						MNXR95079
5HOXINDACTO2OX	5-Hydroxyindoleacetaldehyde:Oxygen Oxidoreductase	5hoxindact[c] + h2o[c] + o2[c] -> 5hoxindoa[c] + h[c] + h2o2[c] 	Tryptophan metabolism	1.2.3.1					MNXR95080
5HOXINDACTOXm	5-Hydroxyindoleacetaldehyde:NAD+ Oxidoreductase, Mitochondrial	5hoxindact[m] + h2o[m] + nad[m] -> 5hoxindoa[m] + 2.0 h[m] + nadh[m] 	Tryptophan metabolism	1.5.1.12					
5HOXINOXDA	5-Hydroxytryptamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	h2o[c] + o2[c] + srtn[c] -> 5hoxindact[c] + h2o2[c] + nh4[c] 	Tryptophan metabolism	1.4.3.4	R02908				MNXR95082
5HTRPDOX	5-Hydroxy-L-Tryptophan:Oxygen 2, 3-Dioxygenase (Indole-Decyclizing)	5htrp[c] + o2[c] -> 5hoxnfkyn[c] 	Tryptophan metabolism	1.13.11.52					
5HTRPVESSEC	5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven)	5htrp[c] + atp[c] + h2o[c] -> 5htrp[e] + adp[c] + h[c] + pi[c] 	Transport, extracellular	1.13.11.52					
5HXKYNDCL	5-Hydroxykynurenamine Decarboxy-Lyase	5hxkyn[c] + h[c] -> 5hxkynam[c] + co2[c] 	Tryptophan metabolism	4.1.1.28				rxn03360	MNXR279
5HXKYNOXDA	5-Hydroxykynurenamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	5hxkynam[c] + o2[c] -> 46dhoxquin[c] + h2o2[c] + nh4[c] 	Tryptophan metabolism	1.4.3.4					
5MTHFt	5-Methyltetrahydrofolate Transport via Receptor Binding And Protolysis	5mthf[e] <=> 5mthf[c] 	Transport, extracellular						MNXR95088
5MTHFt2	5-Methyltetrahydrofolate Transport via Anion Exchange	5mthf[e] + h2o[c] <=> 5mthf[c] + h2o[e] 	Transport, extracellular						MNXR95089
5THFtl	5-Glutamyl-Thf Transport, Lysosomal	5thf[c] -> 5thf[l] 	Transport, lysosomal						MNXR95093
5THFtm	5-Glutamyl-Thf Transport, M Mitochondrial	5thf[m] -> 5thf[c] 	Transport, mitochondrial						MNXR95093
6DHFtl	6-Glutamyl-Dhf Transport, Lysosomal	6dhf[c] -> 6dhf[l] 	Transport, lysosomal						MNXR95096
6DHFtm	6-Glutamyl-Dhf Transport, M Mitochondrial	6dhf[m] -> 6dhf[c] 	Transport, mitochondrial						MNXR95096
6HTSTSTERONEte	Hydroxylated Testosterone Transport	6htststerone[c] <=> 6htststerone[e] 	Transport, extracellular						MNXR95098
6HTSTSTERONEtr	Hydroxylated Testosterone Transport	6htststerone[c] <=> 6htststerone[r] 	Transport, endoplasmic reticular						MNXR95098
6THFtl	6-Glutamyl-Thf Transport, Lysosomal	6thf[c] -> 6thf[l] 	Transport, lysosomal						MNXR95105
6THFtm	6-Glutamyl-Thf Transport, M Mitochondrial	6thf[m] -> 6thf[c] 	Transport, mitochondrial						MNXR95105
7DHCHSTEROLtr	Cholesterol Precursor Intracellular Transport	7dhchsterol[r] <=> 7dhchsterol[c] 	Transport, endoplasmic reticular						MNXR95108
7DHFtl	7-Glutamyl-Dhf Transport, Lysosomal	7dhf[c] -> 7dhf[l] 	Transport, lysosomal						MNXR95109
7DHFtm	7-Glutamyl-Dhf Transport, M Mitochondrial	7dhf[m] -> 7dhf[c] 	Transport, mitochondrial						MNXR95109
7THFtl	7-Glutamyl-Thf Transport, Lysosomal	7thf[c] -> 7thf[l] 	Transport, lysosomal						MNXR95112
7THFtm	7-Glutamyl-Thf Transport, M Mitochondrial	7thf[m] -> 7thf[c] 	Transport, mitochondrial						MNXR95112
A_MANASE	Alpha-Mannosidase	2.0 h2o[c] + m2mn[c] -> 2.0 man[c] + mn[c] 	N-glycan degradation	3.2.1.24					
A_MANASEly	Alpha-Mannosidase, Lysosomal	2.0 h2o[l] + m2mn[l] -> 2.0 man[l] + mn[l] 	N-glycan degradation						MNXR96148
A4GALTc	Lactosylceramide 4-Alpha-Galactosyltransferase	galgluside_hs[c] + udpgal[c] -> h[c] + thcrm_hs[c] + udp[c] 	Sphingolipid metabolism						MNXR95128
A4GALTg	Lactosylceramide 4-Alpha-Galactosyltransferase	galgluside_hs[g] + udpgal[g] -> h[g] + thcrm_hs[g] + udp[g] 	Sphingolipid metabolism						MNXR95128
A4GNT1g	Alpha 1, 4-N-Acetylglucosaminyltransferase, Golgi Apparatus	T_antigen[g] + uacgam[g] -> gncore1[g] + h[g] + udp[g] 	O-glycan metabolism						MNXR95130
A4GNT2g	Alpha 1, 4-N-Acetylglucosaminyltransferase, Golgi Apparatus	core2[g] + uacgam[g] -> gncore2[g] + h[g] + udp[g] 	O-glycan metabolism						MNXR95131
AACTOOR	Aminoacetone:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	aact[c] + h2o[c] + o2[c] -> h2o2[c] + mthgxl[c] + nh4[c] 	Glycine, serine, alanine, and threonine metabolism	1.4.3.21, 1.4.3.4, 1.4.3.6	R02529	K00276	COG1231 COG3733	rxn01833	MNXR95149
AACTtm	Aminoacetone Transport, Mitochondrial	aact[m] -> aact[c] 	Transport, mitochondrial						MNXR95150
AASAD3m	L-Aminoadipate-Semialdehyde Dehydrogenase (NADH), Mitochondrial	h2o[m] + L2aadp6sa[m] + nad[m] -> 2.0 h[m] + L2aadp[m] + nadh[m] 	Lysine metabolism	1.2.1.31	R03102				MNXR95158
AATAi	2-Aminoadipate Transaminase, Irreversible	akg[c] + L2aadp[c] <=> 2oxoadp[c] + glu_L[c] 	Lysine metabolism	2.6.1.39				rxn01423	MNXR30562
ABO1g	Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase	fucgalacglcgalgluside_hs[g] + udpacgal[g] -> acgalfucgalacglcgalgluside_hs[g] + h[g] + udp[g] 	Blood group synthesis						MNXR95168
ABO2g	Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase	fucgalacglcgalgluside_hs[g] + udpgal[g] -> galfucgalacglcgalgluside_hs[g] + h[g] + udp[g] 	Blood group synthesis						MNXR95170
