abbreviation,addedBy,biggId,charge,chargedFormula,cheBlId,cheBlId2,description,ehmnId,fullName,hepatonetId,hmdb,inchiString,keggId,lastModified,lmId,met_id,miriam,modifiedBy,neutralFormula,pdmapName,pubChemId,reconMap,smile,synonyms,url
h2o2,,,0,H2O2,CHEBI:16240,,"Human Metabolome Database (HMDB): Hydrogen peroxide (H2O2) is a very pale blue liquid which appears colourless in a dilute solution, slightly more viscous than water. It is a weak acid. It has strong oxidizing properties and is therefore a powerful bleaching agent that is mostly used for bleaching paper, but has also found use as a disinfectant and as an oxidizer. Hydrogen peroxide in the form of carbamide peroxide is widely used for tooth whitening (bleaching), both in professionally- and in self-administered products. Hydrogen peroxide (H2O2) is a well-documented component of living cells. It plays important roles in host defense and oxidative biosynthetic reactions. In addition there is growing evidence that at low levels, H2O2 also functions as a signaling agent, particularly in higher organisms. H2O2 has increasingly been viewed as an important cellular signaling agent in its own right, capable of modulating both contractile and growth-promoting pathways with more far-reaching effects. Due to the accumulation of hydrogen peroxide in the skin of patients with the depigmentation disorder vitiligo, the human epidermis cannot have the normal capacity for autocrine synthesis, transport and degradation of acetylcholine as well as the muscarinic (m1-m5) and nicotinic signal transduction in keratinocytes and melanocytes. Accumulating evidence suggests that hydrogen peroxide (H(2)O(2)) plays an important role in cancer development. Experimental data have shown that cancer cells produce high amounts of H(2)O(2). An increase in the cellular levels of H(2)O(2) has been linked to several key alterations in cancer, including DNA alterations, cell proliferation, apoptosis resistance, metastasis, angiogenesis and hypoxia-inducible factor 1 (HIF-1) activation. (PMID: 17150302, 17335854, 16677071, 16607324, 16514169).",,Hydrogen peroxide,,HMDB03125,InChI=1S/H2O2/c1-2/h1-2H,C00027,2016-12-05T15:48:03Z,,11,,,,hydrogen peroxide,784,h2o2,,"Adeka Super EL, Albone, Albone 35, Albone DS, Anti-Keim 50, Asepticper, Baquashock, CIX, Clarigel Gold, Crestal Whitestrips, Crystacide, Dentasept, Deslime LP, Hioxyl, Hipox, Hybrite, Hydrogen dioxide, Hydrogen peroxide, Inhibine, Lase Peroxide, Lensan A, Magic Bleaching, Metrokur, Mirasept, Nite White Excel 2, Odosat D, Opalescence Xtra, Oxigenal, Oxydol, Oxyfull, Oxysept, Oxysept I, Pegasyl, Perhydrol, Perone, Peroxaan, Peroxclean, Quasar Brite, Select Bleach, Superoxol, T-Stuff, Whiteness HP, Whitespeed, Xtra White",http://vmh.uni.lu/_api/metabolites/11/?format=pcsv
nh4,,,1,H4N,CHEBI:16134,,"Human Metabolome Database (HMDB): Ammonia is a colorless alkaline gas with a characteristic sharp smell. Ammonia is one of the most abundant nitrogen-containing compounds in the atmosphere. It is an irritant with a characteristic pungent odor, which is widely used in industry. Inasmuch as ammonia is highly soluble in water and, upon inhalation, is deposited in the upper airways, occupational exposures to ammonia have commonly been associated with sinusitis, upper airway irritation, and eye irritation. Acute exposures to high levels of ammonia have also been associated with diseases of the lower airways and interstitial lung. Ammonia has been shown to be a neurotoxin that predominantly affects astrocytes. Disturbed mitochondrial function and oxidative stress, factors implicated in the induction of the mitochondrial permeability transition, appear to be involved in the mechanism of ammonia neurotoxicity. Ammonia is formed in nearly all tissues and organs of the vertebrate organism; it is the most common endogenous neurotoxic compounds. Ammonia can affect the glutamatergic and GABAergic neuronal systems, the two prevailing neuronal systems of the cortical structures. Ammonia is well recognized to be central in the pathogenesis of hepatic encephalopathy and has been of importance to generations dating back to the early Egyptians. The gut produces ammonia which is metabolized in the liver and almost all organ systems are involved in ammonia metabolism. Colonic bacteria produce ammonia by splitting urea and other amino acids, however this does not explain hyperammonemia and hepatic encephalopathy. The alternative explanation is that hyperammonemia is the result of intestinal breakdown of amino acids, especially glutamine. The intestines have significant glutaminase activity, predominantly located in the enterocytes. On the other hand, this organ has only a little glutamine synthetase activity, making it a major glutamine-consuming organ. In addition to the intestine, the kidney is an important source of blood ammonia in patients with liver disease. Ammonia is also taken up by the muscle and brain in hepatic coma, and there is confirmation that ammonia is metabolized in muscle. The excessive formation of ammonia in the brains of Alzheimer's disease patients has been demonstrated, and it has been shown that some Alzheimer's disease patients exhibit elevated blood ammonia concentrations. Ammonia is the most important natural modulator of lysosomal protein processing: there is evidence for the involvement of aberrant lysosomal processing of beta-amyloid precursor protein (beta-APP) in the formation of amyloid deposits. Inflammatory processes and activation of microglia are widely believed to be implicated in the pathology of Alzheimer's disease. Ammonia is able to affect the characteristic functions of microglia, such as endocytosis, and cytokine production. Based on these facts, an ammonia-based hypothesis for Alzheimer's disease has been suggested. (PMID: 17006913, 16167195, 15377862, 15369278, 12020619).",,Ammonium,,HMDB00051,InChI=1S/H3N/h1H3/p+1,C00014,2016-12-05T15:48:03Z,,12,,,,ammonia,223,nh4,," Ammonia anhydrous,  Ammonia inhalant,  Ammonia solution strong [usan],  Ammonia water,  Ammoniak,  Liquid ammonia, Am-fol, Ammonia, Ammonia (conc 20% or greater), Ammonia gas, Ammonia solution, Ammonia solution strong (NF), Ammonia water (JP15), Ammoniac [french], Ammoniaca [italian], Ammoniacum gummi, Ammoniak kconzentrierter, Ammoniak [german], Ammoniakgas, Ammonium ion, Amoniak [polish], Anhydrous ammonia, Aromatic ammonia vaporole, Azane, NH(3), NH3, Nitro-sil, Primaeres amin, Sekundaeres amin, Spirit of hartshorn, Tertiaeres amin",http://vmh.uni.lu/_api/metabolites/12/?format=pcsv
2425dhvitd2,,,0,C28H44O3,,,"24R,25-Dihyoxyvitamin D2",,"24R,25-Dihyoxyvitamin D2",,,,,2016-11-22T15:11:43Z,,13,,,,,,2425dhvitd2,,,http://vmh.uni.lu/_api/metabolites/13/?format=pcsv
h,,,1,H,CHEBI:24636,,proton,,proton,,,InChI=1S/p+1/i/hH,C00282,2016-11-22T15:11:43Z,,14,,,,,1038,h,,,http://vmh.uni.lu/_api/metabolites/14/?format=pcsv
nadph,,,-4,C21H26N7O17P3,CHEBI:16474,,"Human Metabolome Database (HMDB): Nicotinamide adenine dinucleotide phosphate. A coenzyme composed of ribosylnicotinamide 5'-phosphate (NMN) coupled by pyrophosphate linkage to the 5'-phosphate adenosine 2',5'-bisphosphate. It serves as an electron carrier in a number of reactions, being alternately oxidized (NADP+) and reduced (NADPH). (Dorland, 27th ed.).",,Nicotinamide adenine dinucleotide phosphate - reduced,,HMDB00221,"InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/p-4/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",C00005,2016-12-05T15:48:03Z,,15,,,,NADPH,22833512,nadph,,"2'-(Dihydrogen phosphate) 5'-(trihydrogen pyrophosphate) Adenosine 5'-ester with 1,4-dihydro-1-b-D-ribofuranosylnicotinamide, 2'-(Dihydrogen phosphate) 5'-(trihydrogen pyrophosphate) Adenosine 5'-ester with 1,4-dihydro-1-beta-delta-ribofuranosylnicotinamide, Adenosine 5'-(trihydrogen diphosphate) 2'-(dihydrogen phosphate) P'-5'-ester with 1,4-dihydro-1-beta-D-ribofuranosyl-3-pyridinecarboxamide, Adenosine 5'-(trihydrogen diphosphate) 2'-(dihydrogen phosphate) P'-5'-ester with 1,4-dihydro-1-beta-delta-ribofuranosyl-3-pyridinecarboxamide, b-NADPH, b-Nicotinamide-adenine-dinucleotide-phosphorate, b-Nicotinamide-adenine-dinucleotide-phosphoric acid, beta-NADPH, beta-Nicotinamide-adenine-dinucleotide-phosphorate, beta-Nicotinamide-adenine-dinucleotide-phosphoric acid, Dihydrocodehydrogenase II, Dihydronicotinamide adenine dinucleotide phosphate, Dihydronicotinamide adenine dinucleotide-P, Dihydrotriphosphopyridine nucleotide reduced, NADP-reduced, NADPH, Nicotinamide adenine dinucleotide phosphate - reduced, Nicotinamide-adenine-dinucleotide-phosphorate, Nicotinamide-adenine-dinucleotide-phosphoric acid, Reduced Codehydrase II, Reduced Coenzyme II, Reduced Cozymase II, Reduced triphosphopyridine nucleotide, Triphosphopyridine nucleotide reduced",http://vmh.uni.lu/_api/metabolites/15/?format=pcsv
1a2425thvitd2,,,0,C28H44O4,,,"Human Metabolome Database (HMDB): 1-alpha,24R,25-Trihydroxyvitamin D2 is a metabolite of vitamin D2 produced in vitro by perfusing isolated rat kidneys with 1,25-dihydroxyvitamin D2. It has been well established that 1,25-dihydroxyvitamin D3 is converted into various further metabolites in the kidney as a result of chemical reactions such as C-23, C-24, and C-26 hydroxylations, C-24 ketonization, and C-23:C-26 lactonization. (PMID: 3490274).",,"1-alpha,24R,25-Trihydroxyvitamin D2",,HMDB06227,"InChI=1/C28H44O4/c1-18(13-15-28(6,32)26(3,4)31)23-11-12-24-20(8-7-14-27(23,24)5)9-10-21-16-22(29)17-25(30)19(21)2/h9-10,13,15,18,22-25,29-32H,2,7-8,11-12,14,16-17H2,1,3-6H3/b15-13+,20-9+,21-10-/t18-,22-,23-,24+,25+,27-,28-/m1/s1",,2016-12-05T15:48:03Z,,16,,,,,,1a2425thvitd2,,"(24R)-1alpha,24,25-trihydroxyergocalciferol, (24R)-1alpha,24,25-trihydroxyvitamin D2, (5Z,7E,22E)-(1S,3R,24R)-9,10-seco-5,7,10(19),22-ergostatetraene-1,3,24,25-tetrol, 1-alpha,24R,25-Trihydroxyvitamin D2",http://vmh.uni.lu/_api/metabolites/16/?format=pcsv
nadp,,,-3,C21H25N7O17P3,CHEBI:18009,,"Human Metabolome Database (HMDB): Nicotinamide adenine dinucleotide phosphate. A coenzyme composed of ribosylnicotinamide 5-phosphate (NMN) coupled by pyrophosphate linkage to the 5-phosphate adenosine 2,5-bisphosphate. It serves as an electron carrier in a number of reactions, being alternately oxidized (NADP+) and reduced (NADPH). (Dorland, 27th ed.) Hydrogen carrier in biochemical redox systems. In the hexose monophosphoric acid system it is reduced to Dihydrocoenzyme II and reoxidation in the presence of flavoproteins (Dictionary of Organic Compounds).",,Nicotinamide adenine dinucleotide phosphate,,HMDB00217,"InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/p-3/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",C00006,2016-12-05T15:48:03Z,,17,,,,NADP(+);NADP+,5886,nadp,,"Adenine-nicotinamide dinucleotide phosphate, b-NADP, b-Nicotinamide adenine dinucleotide phosphate, b-TPN, beta-NADP, beta-Nicotinamide adenine dinucleotide phosphate, beta-TPN, Codehydrase II, Codehydrogenase II, Coenzyme II, Cozymase II, NAD phosphate, NADP, NADP+, Nicotinamide adenine dinucleotide phosphate, Nicotinamide-adenine dinucleotide phosphate, TPN, Triphosphopyridine nucleotide",http://vmh.uni.lu/_api/metabolites/17/?format=pcsv
2425dhvitd3,,,0,C27H44O3,CHEBI:28818,,"(24R)-24,25-dihydroxycalciol",,"(24R)-24,25-dihydroxycalciol",,,"InChI=1S/C27H44O3/c1-18-8-12-22(28)17-21(18)11-10-20-7-6-16-27(5)23(13-14-24(20)27)19(2)9-15-25(29)26(3,4)30/h10-11,19,22-25,28-30H,1,6-9,12-17H2,2-5H3/b20-10+,21-11-/t19-,22+,23-,24+,25-,27-/m1/s1",,2016-11-22T15:11:43Z,,18,,,,,,2425dhvitd3,,,http://vmh.uni.lu/_api/metabolites/18/?format=pcsv
1a2425thvitd3,,,0,C27H44O4,,,calcitetrol,,calcitetrol,,,"InChI=1S/C27H44O4/c1-17(8-13-25(30)26(3,4)31)22-11-12-23-19(7-6-14-27(22,23)5)9-10-20-15-21(28)16-24(29)18(20)2/h9-10,17,21-25,28-31H,2,6-8,11-16H2,1,3-5H3/b19-9+,20-10-/t17-,21-,22-,23+,24+,25-,27-/m1/s1",C18231,2016-11-22T15:11:43Z,,19,,,,,,1a2425thvitd3,,,http://vmh.uni.lu/_api/metabolites/19/?format=pcsv
1a25dhvitd2,,,0,C28H44O3,,,"Human Metabolome Database (HMDB): Ercalcitriol is the active circulating metabolite of vitamin D2. Vitamin D2 is modified by 25-hydroxylase in the liver and 25-hydroxyvitamin D *-hydroxylase in the kidney to form the active metabolite, ercalcitriol, which is then metabolized by 25-hydroxyvitamin D-24-hydroxylase (24-OHase, CYP24A1, EC 1.14.13.13). The binding of ercalcitriol or their analogs to Vitamin D receptor (VDR), a nuclear receptor, activates VDR to interact with retinoid X receptor (RXR) and forms the VDR/RXR/cofactor complex, which binds to Vitamin D response elements in the promoter region of target genes to regulate gene transcription. The kidney is the major site of 25-hydroxyvitamin D*-hydroxylase (CYP27B1, EC 1.14.13.13), which is responsible for the activation of 25-hydroxyvitamin D. Of all the steroid hormones, ercalcitriol represents the most difficult challenge to the analytical biochemist with respect to quantization. Ercalcitriol circulates at pmol concentrations, is highly lipophilic and its precursor, 25-hydroxyvitamin D2, circulates at nmol levels. (PMID: 16242929, 17867378, 17197173).",,"1-alpha,25-Dihydroxyvitamin D2",,HMDB06225,"InChI=1/C28H44O3/c1-18(9-10-19(2)27(4,5)31)24-13-14-25-21(8-7-15-28(24,25)6)11-12-22-16-23(29)17-26(30)20(22)3/h9-12,18-19,23-26,29-31H,3,7-8,13-17H2,1-2,4-6H3/b10-9+,21-11+,22-12-/t18-,19+,23-,24-,25+,26+,28-/m1/s1",,2016-12-05T15:48:03Z,,20,,,,,,1a25dhvitd2,,"1,25-Dihydroxycalciferol, 1,25-Dihydroxyergocalciferol, 1,25-Dihydroxyvitamin D2, 1a,25-Dihydroxycalciferol, 1a,25-Dihydroxyergocalciferol, 1a,25-Dihydroxyvitamin D2, Ro 17-6218",http://vmh.uni.lu/_api/metabolites/20/?format=pcsv
1a25dhvitd3,,,0,C27H44O3,,,"Human Metabolome Database (HMDB): The physiologically active form of vitamin D. It is formed primarily in the kidney by enzymatic hydroxylation of 25-hydroxycholecalciferol (calcifediol). Its production is stimulated by low blood calcium levels and parathyroid hormone. Calcitriol increases intestinal absorption of calcium and phosphorus, and in concert with parathyroid hormone increases bone resorption.--PubChem.",,calcitriol,,HMDB01903,"InChI=1S/C27H44O3/c1-18(8-6-14-26(3,4)30)23-12-13-24-20(9-7-15-27(23,24)5)10-11-21-16-22(28)17-25(29)19(21)2/h10-11,18,22-25,28-30H,2,6-9,12-17H2,1,3-5H3/b20-10+,21-11-/t18-,22-,23-,24+,25+,27-/m1/s1",C01673,2016-12-05T15:48:03Z,,21,,,,,5280453,1a25dhvitd3,,"(3b,5Z,7E)-9,10-Secocholesta-5,7,10(19)-trienetriol, 1,25 Dihydroxycholecalciferol, 1,25-Dihydroxycholecalciferol, 1,25-Dihydroxyvitamin D, 1,25-Dihydroxyvitamin D3, 1-alpha,25-Dihydroxyvitamin D3, 1a,25-(OH)2D3, 1a,25-Dihydroxycholecalciferol, 1a,25-Dihydroxyvitamin D3, 25-Dihydroxycholecalciferol, Calcijex, Calcitriol, Dihydroxyvitamin D3, Ro 21-5535, Rocaltrol, Silkis, Soltriol, Topitriol, Toptriol",http://vmh.uni.lu/_api/metabolites/21/?format=pcsv
1mncam,,,1,C7H9N2O,CHEBI:16797,,Human Metabolome Database (HMDB): 1-Methylnicotinamide is a metabolite of nicotinamide and is produced primarily in the liver. It has anti-inflammatory properties (PMID 16197374). It is a product of nicotinamide N-methyltransferase [EC 2.1.1.1] in the pathway of nicotinate and nicotinamide metabolism (KEGG). 1-Methylnicotinamide may be an endogenous activator of prostacyclin production and thus may regulate thrombotic as well as inflammatory processes in the cardiovascular system (PMID: 17641676).,,1-methylnicotinamide,,HMDB00699,"InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1",C02918,2016-12-05T15:48:03Z,,22,,,,,457,1mncam,,"1-Methyl-3-carbamoylpyridinium, 1-Methyl-3-carbamoylpyridinium cation, 1-Methylnicotinamide, 3-Amido-N-methylpyridinium: 1-methyl-3-Pyridinecarboxamide, 3-Carbamoyl-1-methyl-Pyridinium, I-Methyl nicotinamide, N'-Methylnicotinamide, N'Methylnicotinamide, N-1-Methylnicotinamide, N-Methyl-3-carbamidopyridinium, N-Methyl-3-carbamoylpyridinium ion, N1-Methylnicotinamide, Trigonellinamide",http://vmh.uni.lu/_api/metabolites/22/?format=pcsv
