rnx.id	new.rev	rm.rxn	new.stoichiometry	comment	Reference 	note	abbreviation	name	forced.approval
rxn00567	<		-1:cpd00001:1:0:"H2O";-1:cpd00109:0:0:"Cytochrome c3+";-1:cpd00418:1:0:"NO";2:cpd00067:0:0:"H+";1:cpd00075:1:0:"Nitrite";1:cpd00110:0:0:"Cytochrome c2+"	[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=NITRITE-REDUCTASE-CYTOCHROME-RXN				
rxn03585	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=ARYL-ALDEHYDE-OXIDASE-RXN				
rxn03969	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=1.2.1.67-RXN				
rxn06106	>			[SW] never reported reversible according to BRENDA, and irreversible according to MetaCyc	https://www.brenda-enzymes.org/enzyme.php?ecno=1.10.2.2#NATURAL%20SUBSTRATES # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-15816				
rxn06109	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN				
rxn08430	>			[SW] Phosphatases usually not reversible. Reported irreversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.10#SUBSTRATE				
rxn01952	<			[SW] Phosphatases usually not reversible. Reported irreversible.					
rxn08046	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn30248		TRUE		Stoichiometry incomplete. Missing PEP and Pyr (PTS permease)					
rxn05226	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn05485	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn05501	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn05518	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn05560	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn05567	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn05569	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn05607	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn05610	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn05617	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn05647	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn05655	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn08048	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn08535	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn09242	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn10865	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn08948	>			[SW] Phosphatases usually not reversible.					
rxn02373	<			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=GLUTSEMIALDEHYDROG-RXN				
rxn09487	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-14116				
rxn08971	>			[SW] Reaction can only ybe reversed if coupled with proton import via complex.	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC1/6/5/3.html				
rxn00207		TRUE		[SW] Reaction cannot be found in any other database. Maybe CO2 was confused with Co2+? This reaction exists.	http://www.brenda-enzymes.org/enzyme.php?ecno=1.11.1.13				
rxn08188	>			[SW] Transporter is used to expell Calcium from the cell.	10.1016/0014-5793(93)80870-Z				
rxn10055	>			[SW] Reaction never reported to be reversible. Kinases are rarely rev. .	https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.73#SUBSTRATE				
rxn09010	>			[SW] Reaction never reported to be reversible. Phasphatases are rarely rev. .	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.5#NATURAL%20SUBSTRATES				
rxn10558	>			[SW] ATPase that exports H+ (1ATP ??' 1H+(out)) works with this stoichiometry not in the other direction.					
rxn10058	>			[SW] NAD kinase ist irreversible	https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.23#NATURAL%20SUBSTRATES				
rxn10057	>			[SW] NAD kinase ist irreversible	https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.23#NATURAL%20SUBSTRATES				
rxn10056	>			[SW] NAD kinase ist irreversible	https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.23#NATURAL%20SUBSTRATES				
rxn10059	>			[SW] NAD kinase ist irreversible	https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.23#NATURAL%20SUBSTRATES				
rxn10060	>			[SW] NAD kinase ist irreversible	https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.23#NATURAL%20SUBSTRATES				
rxn00088	>			[SW] Phosphatases usually not reversible.					
rxn09967	>			[SW] irrev. According to reference.	Tamaki, N.; Hama, T.; Methods Enzymol. 89, 469-473 (1982)				
rxn00626	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.2.2#SUBSTRATE				
rxn05115	=			[SW] Enzyme reported reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=5.4.99.18#NATURAL%20SUBSTRATES				
rxn10090	>			[SW] Reaction never reported to be reversible. Would otherwise build high-energy P-bonds	https://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.17#NATURAL%20SUBSTRATES				
rxn08110	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=1.2.1.26#NATURAL%20SUBSTRATES				
rxn00146	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN				
rxn10091	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.17#NATURAL%20SUBSTRATES				
rxn01382	>			[SW] Reaction never reported to be reversible. Strongly exergonic reactions					
rxn10848	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=1.6.5.2#NATURAL%20SUBSTRATES				
rxn10844	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=1.6.5.2#NATURAL%20SUBSTRATES				
rxn00145	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN				
rxn00123	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.74#NATURAL%20SUBSTRATES				
rxn08458	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=1.5.1.37#NATURAL%20SUBSTRATES				
rxn15029	>			[SW] Reaction irreversible.	Kuang, Y.; Schomisch, S.J.; Chandramouli, V.; Lee, Z.; Comp. Biochem. Physiol. C 143, 225-231 (2006)				
rxn00703	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=2.4.1.139#NATURAL%20SUBSTRATES				
rxn01807	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.35#NATURAL%20SUBSTRATES				
rxn01396	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.35#NATURAL%20SUBSTRATES				
rxn09942		TRUE		[SW] Reaction cannot be found in any other database.					
rxn06060	>			[SW] Reaction irreversible.	https://metacyc.org/META/substring-search?type=NIL&object=2.8.1.3 # https://www.brenda-enzymes.org/enzyme.php?ecno=2.8.1.3#NATURAL%20SUBSTRATES				
rxn01671	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.22#NATURAL%20SUBSTRATES				
rxn10010	>			[SW] Reaction irreversible.	Hu, K.; Zhao, M.; Zhang, T.; Zha, M.; Zhong, C.; Jiang, Y.; Ding, J.; Biochem. J. 449, 79-89 (2013)				
rxn03031	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=TETHYDPICSUCC-RXN				
rxn01973	>			[SW] Reaction never reported to be reversible. Irrev. According to MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=3.5.1.18#NATURAL%20SUBSTRATES				
rxn11167		TRUE		[SW] Reaction unbalanced?					
rxn11339		TRUE		[SW] Reaction unbalanced?					
rxn10062	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN0-7230				
rxn08972	=		-1:cpd00004:0:0:"NADH";-5:cpd00067:0:0:"H+";-1:cpd15560:0:0:"Ubiquinone-8";1:cpd00003:0:0:"NAD";4:cpd00067:1:0:"H+";1:cpd15561:0:0:"Ubiquinol-8"	[SW] Reaction never reported to be reversible. [SW] Reverted back to original direction.	http://www.brenda-enzymes.org/enzyme.php?ecno=1.6.5.3#NATURAL%20SUBSTRATES				
rxn03978	<			[SW] Reaction never reported to be reversible. Irrev. According to MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=1.7.2.2#NATURAL%20SUBSTRATES # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=1.7.2.2-RXN				
rxn11933	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN0-7229				
rxn01053	>			[SW] Reaction never reported to be reversible. Irrev. According to MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=1.2.1.22#NATURAL%20SUBSTRATES # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=LACTALDDEHYDROG-RXN				
rxn10126	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-14971				
rxn08521	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=NADPH-DEHYDROGENASE-FLAVIN-RXN				
rxn01618	<			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=1.1.1.283-RXN				
rxn08249		TRUE		[SW] Coprogen does not participate in any other reaction.					
rxn08247		TRUE		[SW] Coprogen does not participate in any other reaction.					
rxn08659	>			[SW] Reaction irreversible.	Misra, K.; Banerjee, A.B.; Ray, S.; Ray, M.; Biochem. J. 305, 999-1003 (1995)				
rxn10619	>			[SW] UNSURE. Changing stoichiometries. And its irreversible	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-14970				
rxn01972	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN				
rxn00149	>			[SW] Reaction never reported to be reversible. Irrev. According to MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=1.2.1.22#SUBSTRATE #3https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=METHYL-GLYOXAL-DEHYDROG-RXN				
rxn11342	>			[SW] PEP:PYR PTS is most likely irreversible.					
rxn01228	>			[SW] Phosphatases usually not reversible.					
rxn00150	>			[SW] Reaction never reported to be reversible. Irrev. According to MetaCyc	https://www.brenda-enzymes.org/enzyme.php?ecno=1.2.1.49#NATURAL%20SUBSTRATES # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=2-OXOALDEHYDE-DEHYDROGENASE-NADP%2b-RXN				
rxn01273	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=LACTALDDEHYDROG-RXN				
rxn00011	<			[SW] Reaction is irreversible but in the other direction according to BRENDA and MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=1.2.4.1#NATURAL%20SUBSTRATES				
									
rxn08291	>			[SW] Reaction mainly irreversible according to BRENDA and MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=1.4.99.6#NATURAL%20SUBSTRATES # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-7563				
rxn00265	>			[SW] Reaction mainly irreversible according to BRENDA and MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=4.1.3.6#SUBSTRATE # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=CITLY-RXN				
rxn00910	<			[SW] Reaction mainly irreversible according to BRENDA and MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=1.5.1.20#SUBSTRATE # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=1.5.1.20-RXN				
rxn04954	<			[SW] Reaction mainly irreversible according to BRENDA and MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=1.5.1.20#SUBSTRATE # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=1.5.1.20-RXN				
rxn01874	>			[SW] Reaction irreversible according to BRENDA and MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=2.1.1.96#SUBSTRATE # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=THIOETHER-S-METHYLTRANSFERASE-RXN				
rxn00421	>			[SW] Reaction irreversible according to BRENDA	https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.80#SUBSTRATE				
rxn02708	>			[SW] Strongly exergonic reaction. Most likely irreversible.	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=DTDP-GALACTOSE-6-DEHYDROGENASE-RXN				
rxn01243	>			[SW] Reaction reported irreversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=1.2.4.2#SUBSTRATE				
rxn11355	>			[SW] New direction according to Metacyc. Kinases are most commonly irreversible.	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-8443				
rxn00018	>			[SW] irrev.	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN # https://www.brenda-enzymes.org/enzyme.php?ecno=4.1.1.39#NATURAL%20SUBSTRATES				
rxn13403	>			[SW] ABC transportes usually cannot synthesize ATP.					
rxn13728	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=1.6.99.3#SUBSTRATE				
rxn00023	>			[SW] Reaction never reported to be reversible. Irrev. According to MetaCyc	https://metacyc.org/META/substring-search?type=NIL&object=1.8.2.2&quickSearch=Quick+Search				
rxn13770	>			[SW] Reaction irreversible according to BRENDA and MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=1.6.3.1 # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-10745				
rxn13720	>			[SW] Reaction never reported to be reversible. Irrev. According to MetaCyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN				
rxn13709	>			[SW] Reaction irreversible according to BRENDA and MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.5.3#NATURAL%20SUBSTRATES # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-15745				
rxn13691	>			[SW] Reaction irreversible according to BRENDA and MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=1.3.5.2#NATURAL%20SUBSTRATES # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN0-6554				
rxn13718	>			[SW] Reaction irreversible according to BRENDA and MetaCyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN # http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.2.4#NATURAL%20SUBSTRATES				
rxn13753	>			[SW] Reaction irreversible according to BRENDA	http://www.brenda-enzymes.org/enzyme.php?ecno=1.6.5.8#NATURAL%20SUBSTRATES				
rxn13732	>			[SW] Reaction irreversible according to BRENDA	http://www.brenda-enzymes.org/enzyme.php?ecno=1.7.5.1#NATURAL%20SUBSTRATES				
rxn12293	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=D-2-HYDROXY-ACID-DEHYDROGENASE-RXN				
rxn13700	>			[SW] Reaction irreversible according to BRENDA	http://www.brenda-enzymes.org/enzyme.php?ecno=1.2.2.3#SUBSTRATE				
rxn12295	>			[SW] Reaction irreversible according to BRENDA and MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=1.13.12.16 # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=2-NITROPROPANE-DIOXYGENASE-RXN				
rxn12706	>			[SW] Reaction irreversible according to BRENDA	http://www.brenda-enzymes.org/enzyme.php?ecno=1.13.11.8#NATURAL%20SUBSTRATES				
rxn12740	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.99.3#SUBSTRATE				
rxn00568		TRUE		[SW] Reactions seems very odd & cannot be found in any Database.					
rxn12220	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN0-1461				
rxn13518	>			[SW] Reaction never reported to be reversible. Irrev. According to MetaCyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=PHOSPHOLIPASE-C-RXN # http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.4.3#NATURAL%20SUBSTRATES				
rxn13735	>			[SW] Reaction irreversible according to BRENDA and MetaCyc	http://www.brenda-enzymes.org/enzyme.php?ecno=1.7.2.2#SUBSTRATE # https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-16564				
rxn13640	>			[SW] Reaction irreversible according to BRENDA	http://www.brenda-enzymes.org/enzyme.php?ecno=1.2.2.3#SUBSTRATE				
rxn13895	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-14903				
rxn02149	>			[SW] Reaction irreversible according to BRENDA	http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.42#NATURAL%20SUBSTRATES				
rxn13927	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.org/enzyme.php?ecno=1.6.5.11#NATURAL%20SUBSTRATES				
rxn01107	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=GLUCONOLACT-RXN				
rxn10990	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-14107				
rxn12750	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-14107				
rxn12369		TRUE		[SW] "extraorganism-cytosol" compartment not needed.					
rxn12422		TRUE		[SW] "extraorganism-cytosol" compartment not needed.					
