ID	Name	Completness	VagueReactions	KeyReactions	KeyReactionsFound
|PWY-5963|	thio-molybdenum cofactor biosynthesis	100	0	0	0
|PWY-7517|	brassicicene C biosynthesis	50	5	0	0
|PWY-5964|	guanylyl molybdenum cofactor biosynthesis	100	0	0	0
|PWY-6012|	acyl carrier protein metabolism	50	0	0	0
|ALANINE-SYN2-PWY|	L-alanine biosynthesis II	100	0	0	0
|PWY0-1061|	superpathway of L-alanine biosynthesis	0	1	0	0
|PWY-5910|	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0	1	0	0
|PWY-6012-1|	acyl carrier protein activation	100	0	0	0
|PWY0-1021|	L-alanine biosynthesis III	100	0	0	0
|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	100	0	0	0
|PWY-5373|	calendate biosynthesis	0	1	0	0
|PWY-6148|	tetrahydromethanopterin biosynthesis	33	7	0	0
|PWY-7590|	(7Z,10Z,13Z)-hexadecatrienoate biosynthesis	0	3	0	0
|PWY-5368|	dimorphecolate biosynthesis	0	3	0	0
|PWY-7721|	methyl phomopsenoate biosynthesis	100	1	0	0
|PWY-6420|	pyrroloquinoline quinone biosynthesis	0	2	0	0
|PWY-5375|	&alpha;-eleostearate biosynthesis	0	1	0	0
|PWY-5374|	punicate biosynthesis	0	1	0	0
|PWY-6476|	cytidylyl molybdenum cofactor biosynthesis	100	0	0	0
|PWY-6659|	fusicoccin A biosynthesis	50	4	0	0
|PWY-7064|	3-amino-3-phenylpropanoyl-CoA biosynthesis	0	2	0	0
|PWY-7170|	phytochromobilin biosynthesis	0	3	1	0
|PWY-7065|	2&alpha;,7&beta;-dihydroxylation of taxusin	0	4	0	0
|PWY-7250|	[2Fe-2S] iron-sulfur cluster biosynthesis	100	1	0	0
|PWY-7578|	phycoviolobilin biosynthesis	0	3	1	0
|PWY-7392|	taxadiene biosynthesis (engineered)	0	1	0	0
|PWY-7579|	phycourobilin biosynthesis	0	3	1	0
|PWY-7580|	phycoerythrobilin biosynthesis II	0	3	0	0
|PWY-2981|	diterpene phytoalexins precursors biosynthesis	11	7	0	0
|PWY-7639|	bis(guanylyl molybdenum cofactor) biosynthesis	100	0	0	0
|PWY-7710|	FeMo cofactor biosynthesis	100	0	0	0
|PWY-6577|	farnesylcysteine salvage pathway	25	2	0	0
|PWY-7484|	phytocassanes biosynthesis, shared reactions	0	3	0	0
|PWY-7928|	nickel cofactor biosynthesis	0	2	0	0
|PWY-7382|	lipoate biosynthesis and incorporation (yeast)	100	3	0	0
|PWY-7546|	diphthamide biosynthesis (eukaryotes)	0	4	0	0
|PWY0-522|	lipoate salvage I	0	1	0	0
|PWY0-1433|	tetrahydromonapterin biosynthesis	33	2	0	0
|PWY-6987|	lipoate biosynthesis and incorporation III (Bacillus)	66	0	0	0
|PWY0-501|	lipoate biosynthesis and incorporation I	100	0	0	0
|PWY-5660|	taxol biosynthesis	12	10	0	0
|SAM-PWY|	S-adenosyl-L-methionine biosynthesis	100	0	0	0
|PWY-6984|	lipoate salvage II	0	1	0	0
|PWY-6482|	diphthamide biosynthesis (archaea)	0	3	0	0
|PWY0-1275|	lipoate biosynthesis and incorporation II	100	0	1	1
|PWY-7680|	carnosate bioynthesis	0	5	0	0
|PWY-5905|	hypusine biosynthesis	0	0	0	0
|PWY-6645|	labdane-type diterpenes biosynthesis	0	2	0	0
|PWY-6887|	kauralexin biosynthesis	0	7	0	0
|PWY-7071|	steviol glucoside biosynthesis (rebaudioside A biosynthesis)	0	10	0	0
|PWY-7781|	&omega;-sulfo-II-dihydromenaquinone-9 biosynthesis	0	2	0	0
|PWY-5517|	L-arabinose degradation III	100	1	0	0
|PWY-7436|	vitamin E biosynthesis (tocotrienols)	33	3	0	0
|PWY-5515|	L-arabinose degradation II	100	0	0	0
|PWY-1422|	vitamin E biosynthesis (tocopherols)	42	2	0	0
|ARABCAT-PWY|	L-arabinose degradation I	66	0	0	0
|PWY-7295|	L-arabinose degradation IV	83	2	0	0
|PWY-7864|	8-methylmenaquinone biosynthesis	0	1	0	0
|PWY-7374|	1,4-dihydroxy-6-naphthoate biosynthesis I	0	0	1	0
|PWY-7371|	1,4-dihydroxy-6-naphthoate biosynthesis II	0	0	1	0
|PWY-5523|	5,6-dimethylbenzimidazole biosynthesis I (aerobic)	100	0	1	1
|PWY-7729|	5,6-dimethylbenzimidazole biosynthesis II (anaerobic)	0	3	0	0
|PWY-5815|	rubber biosynthesis	0	2	0	0
|PWY-6390|	(<i>S,S</i>)-butanediol biosynthesis	100	0	0	0
|PWY-6396|	superpathway of 2,3-butanediol biosynthesis	0	1	0	0
|PWY-5951|	(<i>R,R</i>)-butanediol biosynthesis	100	0	0	0
|PWY-6392|	<i>meso</i>-butanediol biosynthesis II	0	1	0	0
|P125-PWY|	superpathway of (<i>R,R</i>)-butanediol biosynthesis	0	1	0	0
|PWY-6391|	<i>meso</i>-butanediol biosynthesis I	0	1	0	0
|PWY66-409|	superpathway of purine nucleotide salvage	0	1	0	0
|PWY-7224|	purine deoxyribonucleosides salvage	41	1	0	0
|SALVPURINE2-PWY|	xanthine and xanthosine salvage	50	0	0	0
|P121-PWY|	adenine and adenosine salvage I	50	0	0	0
|PWY-6610|	adenine salvage	100	0	1	1
|PWY-6609|	adenine and adenosine salvage III	25	0	2	0
|CITRULBIO-PWY|	L-citrulline biosynthesis	100	0	0	0
|PWY-6619|	adenine and adenosine salvage VI	100	0	0	0
|PWY-6605|	adenine and adenosine salvage II	50	1	0	0
|PWY-6611|	adenine and adenosine salvage V	33	0	2	1
|PWY-5004|	superpathway of L-citrulline metabolism	0	1	3	0
|PWY-4921|	protein citrullination	100	0	0	0
|PWY-7410|	ipsdienol biosynthesis	25	3	0	0
|PWY-6650|	juvenile hormone III biosynthesis II	20	3	0	0
|PWY-6575|	juvenile hormone III biosynthesis I	20	5	0	0
|PWY-6125|	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II	0	1	0	0
|PWY-7229|	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I	0	1	0	0
|DENOVOPURINE2-PWY|	superpathway of purine nucleotides <i>de novo</i> biosynthesis II	0	1	0	0
|PWY-7228|	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I	0	1	0	0
|PWY-6126|	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II	0	1	0	0
|PWY-841|	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	0	1	0	0
|PWY-7662|	glycogen degradation III (via anhydrofructose)	0	3	0	0
|PWY-5941|	glycogen degradation II	16	0	2	0
|GLYCOCAT-PWY|	glycogen degradation I	22	0	1	0
|PWY-7220|	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	75	0	2	1
|PWY-7013|	L-1,2-propanediol degradation	40	0	1	0
|PWY-6576|	dermatan sulfate degradation (metazoa)	0	1	0	0
|PWY-7227|	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	100	0	0	0
|PWY-6791|	xyloglucan degradation I (endoglucanase)	0	1	0	0
|PWY-7586|	&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine degradation	66	0	0	0
|PWY-6258|	patchoulol biosynthesis	0	5	0	0
|PWY-6573|	chondroitin sulfate degradation (metazoa)	0	1	0	0
|PWY-6275|	&beta;-caryophyllene biosynthesis	0	2	0	0
|PWY-6790|	L-arabinan degradation	0	1	0	0
|PWY-2961|	sesquiterpenoid phytoalexins biosynthesis	0	3	0	0
|PWY-7243|	pectin degradation I	0	0	0	0
|PWY-6291|	valencene and 7-epi-&alpha;-selinene biosynthesis	0	2	0	0
|PWY-6717|	(1,4)-&beta;-xylan degradation	0	1	0	0
|PWY-6836|	santalene biosynthesis II	0	4	0	0
|PWY-842|	starch degradation I	0	1	0	0
|PWY-5950|	geosmin biosynthesis	0	0	0	0
|PWY-7712|	deoxynivalenol biosynthesis	0	3	0	0
|PWY-6257|	curcumene biosynthesis	0	2	0	0
|PWY-7730|	T-2 toxin biosynthesis	0	5	0	0
|PWY-6271|	eudesmol biosynthesis	0	3	0	0
|PWY-7598|	&alpha;-linolenate biosynthesis II (cyanobacteria)	0	1	0	0
|PWY-2921|	capsidiol biosynthesis	0	1	0	0
|PWY-5997|	&alpha;-linolenate biosynthesis I (plants and red algae)	0	2	0	0
|PWY-6290|	&beta;-cubebene biosynthesis	0	1	0	0
|PWY-5434|	(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis	0	4	0	0
|PWY-6669|	&delta;-guaiene biosynthesis	0	1	0	0
|PWY-5773|	gossypol biosynthesis	0	3	0	0
|PWY-7711|	calonectrin biosynthesis	0	8	0	0
|PWY-6254|	santalene biosynthesis I	0	2	0	0
|PWY-7714|	harzianum A and trichodermin biosynthesis	0	3	0	0
|PWY-6265|	zerumbone biosynthesis	0	3	0	0
|PWY-6278|	botrydial biosynthesis	0	1	0	0
|PWY-5425|	oleoresin sesquiterpene volatiles biosynthesis	0	5	0	0
|PWY-6294|	selinene biosynthesis	0	2	0	0
|PWY-5733|	germacrene biosynthesis	0	4	0	0
|PWY-6888|	zealexin biosynthesis	0	5	0	0
|PWY-6128|	cis-calamenene related sesquiterpenoids biosynthesis	0	2	0	0
|PWY-7713|	nivalenol biosynthesis	0	5	0	0
|PWY4FS-17|	abscisic acid biosynthesis shunt	0	4	0	0
|PWY-695|	abscisic acid biosynthesis	50	3	0	0
|COBALSYN-PWY|	adenosylcobalamin salvage from cobinamide I	100	0	1	1
|PWY-7646|	dermatan sulfate degradation I (bacterial)	0	1	0	0
|PWY-7645|	hyaluronan degradation	0	0	0	0
|PWY-6269|	adenosylcobalamin salvage from cobinamide II	100	0	1	1
|PWY-6572|	chondroitin sulfate degradation I (bacterial)	0	2	0	0
|PWY-6268|	adenosylcobalamin salvage from cobalamin	100	0	0	0
|PWY-7644|	heparin degradation	60	2	0	0
|PWY-7651|	heparan sulfate degradation	66	1	0	0
|PWY-5509|	adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide I	100	0	2	2
|PWY-5508|	adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide II	100	0	2	2
|PWY-2221|	Entner-Doudoroff pathway III (semi-phosphorylative)	69	3	0	0
|NPGLUCAT-PWY|	Entner-Doudoroff pathway II (non-phosphorylative)	72	2	0	0
|PWY-5942|	<i>trans</i>-lycopene biosynthesis I	0	1	0	0
|ENTNER-DOUDOROFF-PWY|	Entner-Doudoroff pathway I	66	1	0	0
|PWY-6475|	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	50	0	1	1
|PWY-3341|	L-proline biosynthesis III	100	0	0	0
|PROSYN-PWY|	L-proline biosynthesis I	100	0	0	0
|PWY-3841|	folate transformations II	88	0	0	0
|PWY-4981|	L-proline biosynthesis II (from arginine)	60	1	0	0
|PWY-2201|	folate transformations I	72	1	0	0
|PWY-4281|	L-proline biosynthesis IV	66	1	0	0
|PWY-7941|	isorenieratene biosynthesis II (Chlorobiaceae)	0	2	0	0
|PWY-7938|	isorenieratene biosynthesis I (actinobacteria)	0	2	0	0
|PWY-6913|	methylbutenol biosynthesis	0	1	0	0
|PWY-6270|	isoprene biosynthesis I	0	1	0	0
|PWY-7391|	isoprene biosynthesis II (engineered)	37	1	2	2
|NONMEVIPP-PWY|	methylerythritol phosphate pathway I	77	0	1	1
|PWY-7560|	methylerythritol phosphate pathway II	77	0	1	1
|PWY-7524|	mevalonate pathway III (archaea)	28	2	2	0
|PWY-6174|	mevalonate pathway II (archaea)	28	1	2	0
|PWY-922|	mevalonate pathway I	42	0	2	2
|PHOTOALL-PWY|	oxygenic photosynthesis	0	1	0	0
|PWY-241|	C4 photosynthetic carbon assimilation cycle, NADP-ME type	80	0	0	0
|PWY-181|	photorespiration	71	2	1	0
|PWY-6599|	guanine and guanosine salvage II	100	0	0	0
|PWY-7117|	C4 photosynthetic carbon assimilation cycle, PEPCK type	90	0	0	0
|PWY-6579|	superpathway of guanine and guanosine salvage	0	1	0	0
|PWY-6620|	guanine and guanosine salvage	33	0	0	0
|PWY-7115|	C4 photosynthetic carbon assimilation cycle, NAD-ME type	90	0	0	0
|PWY-6618|	guanine and guanosine salvage III	100	0	0	0
|PWY-7274|	D-cycloserine biosynthesis	80	1	0	0
|PWY66-399|	gluconeogenesis III	92	0	0	0
|PWY-6142|	gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>)	61	0	0	0
|GLUCONEO-PWY|	gluconeogenesis I	92	0	0	0
|PWY-3385|	choline biosynthesis I	60	1	0	0
|AMMOXID-PWY|	ammonia oxidation I (aerobic)	0	0	0	0
|PWY-5670|	epoxysqualene biosynthesis	50	0	0	0
|PWY-3561|	choline biosynthesis III	66	0	0	0
|PWY-7222|	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	75	0	2	1
|PWY-5971|	palmitate biosynthesis II (bacteria and plants)	77	0	0	0
|PWY-7226|	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I	100	0	0	0
|PWY-7082|	ammonia oxidation IV (autotrophic ammonia oxidizers)	100	0	0	0
|PWY-5851|	demethylmenaquinol-9 biosynthesis	0	0	0	0
|PWY-5994|	palmitate biosynthesis I (animals and fungi)	70	1	0	0
|PWY-3542|	choline biosynthesis II	0	3	0	0
|PWY-5862|	superpathway of demethylmenaquinol-9 biosynthesis	0	1	0	0
|PWY-6282|	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	100	0	2	2
|PWY-5366|	palmitoleate biosynthesis II (plants and bacteria)	50	0	0	0
|PWY-7589|	palmitoleate biosynthesis III (cyanobacteria)	0	1	0	0
|PWY-7587|	oleate biosynthesis III (cyanobacteria)	33	1	0	0
|PWY-7856|	heme <i>a</i> biosynthesis	0	1	0	0
|PWY-7554|	heme <i>d</i><sub>1</sub> biosynthesis	0	3	0	0
|PWY-5996|	oleate biosynthesis II (animals and fungi)	50	0	0	0
|PWY-6823|	molybdenum cofactor biosynthesis	100	0	0	0
|GLNSYN-PWY|	L-glutamine biosynthesis I	100	0	0	0
|PWY-5147|	oleate biosynthesis I (plants)	66	0	0	0
|PWY-7664|	oleate biosynthesis IV (anaerobic)	94	0	1	1
|PWY-5497|	purine nucleobases degradation II (anaerobic)	71	4	0	0
|PWY-7401|	crotonate fermentation (to acetate and cyclohexane carboxylate)	88	4	2	2
|PWY-3961|	phosphopantothenate biosynthesis II	25	4	0	0
|P164-PWY|	purine nucleobases degradation I (anaerobic)	63	4	0	0
|PWY-7596|	superpathway of stearidonate biosynthesis (cyanobacteria)	0	1	1	0
|PWY-7389|	superpathway of anaerobic energy metabolism (invertebrates)	0	1	0	0
|PANTO-PWY|	phosphopantothenate biosynthesis I	75	0	0	0
|PWY-7383|	anaerobic energy metabolism (invertebrates, cytosol)	71	0	2	1
|PWY-7541|	1,2-propanediol biosynthesis from lactate (engineered)	50	2	0	0
|PWY-7402|	benzoate fermentation (to acetate and cyclohexane carboxylate)	100	1	2	2
|PWY-7003|	glycerol degradation to butanol	83	0	0	0
|PWY-6654|	phosphopantothenate biosynthesis III (archaebacteria)	25	2	0	0
|PWY-7396|	butanol and isobutanol biosynthesis (engineered)	60	4	0	0
|PWY-6285|	superpathway of fatty acids biosynthesis (<i>E. coli</i>)	0	1	0	0
|PWY-7728|	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	33	4	1	0
|PWY-6583|	pyruvate fermentation to butanol I	66	3	0	0
|PWY-7036|	very long chain fatty acid biosynthesis II	25	12	0	0
|PWY-6886|	1-butanol autotrophic biosynthesis (engineered)	75	1	0	0
|PWY0-881|	superpathway of fatty acid biosynthesis I (E. coli)	0	1	0	0
|PWY-5109|	fermentation to 2-methylbutanoate	80	2	0	0
|PWY-5029|	imidazole-lactate degradation	50	1	0	0
|PWY-7385|	1,3-propanediol biosynthesis (engineered)	75	1	0	0
|PWY-4381|	fatty acid biosynthesis initiation I	75	1	1	1
|FERMENTATION-PWY|	mixed acid fermentation	85	0	0	0
|PWY-6130|	glycerol degradation III	50	0	1	0
|HISTSYN-PWY|	L-histidine biosynthesis	100	1	0	0
|PWY-5965|	fatty acid biosynthesis initiation III	75	1	1	0
|PWY-6598|	sciadonate biosynthesis	20	4	0	0
|PWY-804|	glycolate degradation II	0	1	0	0
|PWY-6883|	pyruvate fermentation to butanol II (engineered)	60	2	0	0
|PWY-6113|	superpathway of mycolate biosynthesis	100	0	0	0
|PWY-7384|	anaerobic energy metabolism (invertebrates, mitochondrial)	100	2	2	2
|PWY-5421|	dehydroabietic acid biosynthesis	0	5	0	0
|PWY-5412|	levopimaric acid biosynthesis	0	5	0	0
|PWY-6799|	fatty acid biosynthesis (plant mitochondria)	66	3	0	0
|PWY-5416|	superpathway of diterpene resin acids biosynthesis	0	1	0	0
|PWY-7388|	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	75	0	0	0
|PWY-5411|	abietic acid biosynthesis	0	5	0	0
|P162-PWY|	L-glutamate degradation V (via hydroxyglutarate)	91	0	0	0
|PWY-5414|	palustric acid biosynthesis	0	5	0	0
|PWY-5422|	isopimaric acid biosynthesis	0	5	0	0
|FASYN-INITIAL-PWY|	superpathway of fatty acid biosynthesis initiation (E. coli)	57	0	0	0
|PROPFERM-PWY|	L-alanine fermentation to propanoate and acetate	0	1	1	0
|PWY-7595|	stearidonate biosynthesis (cyanobacteria)	0	1	0	0
|PWY-5413|	neoabietic acid biosynthesis	0	5	0	0
|PWY-6895|	superpathway of thiamine diphosphate biosynthesis II	0	1	0	0
|PWY-5156|	superpathway of fatty acid biosynthesis II (plant)	0	1	0	0
|PWY0-1312|	acetate formation from acetyl-CoA I	100	0	0	0
|THISYN-PWY|	superpathway of thiamine diphosphate biosynthesis I	0	1	0	0
|PWY-5970|	fatty acids biosynthesis (yeast)	0	0	0	0
|PWY-6262|	demethylmenaquinol-8 biosynthesis II	0	1	0	0
|P161-PWY|	acetylene degradation	100	0	1	1
|PWY-7369|	thiamine triphosphate metabolism	0	1	0	0
|PWY-6429|	ricinoleate biosynthesis	0	2	0	0
|P461-PWY|	hexitol fermentation to lactate, formate, ethanol and acetate	0	1	0	0
|PWY-7357|	thiamine formation from pyrithiamine and oxythiamine (yeast)	75	2	0	0
|PWY-7094|	fatty acid salvage	83	0	1	1
|PWY-5861|	superpathway of demethylmenaquinol-8 biosynthesis	0	1	0	0
|PWY-7726|	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	50	7	1	0
|PWY-5536|	acetate formation from acetyl-CoA III (succinate)	100	0	0	0
|THISYNARA-PWY|	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	0	1	0	0
|PWYG-321|	mycolate biosynthesis	96	143	0	0
|P124-PWY|	Bifidobacterium shunt	87	0	2	2
|PWY-7282|	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)	100	1	0	0
|FASYN-ELONG-PWY|	fatty acid elongation -- saturated	75	0	0	0
|PWY-5852|	demethylmenaquinol-8 biosynthesis I	0	0	0	0
|P163-PWY|	L-lysine fermentation to acetate and butanoate	60	0	1	0
|PWY-6890|	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	50	0	0	0
|PWY-5080|	very long chain fatty acid biosynthesis I	25	3	0	0
|PWY-7248|	pectin degradation III	0	1	0	0
|PWY-5535|	acetate formation from acetyl-CoA II	100	0	0	0
|PWY-5966|	fatty acid biosynthesis initiation II	57	0	1	1
|PWY-6793|	demethylmenaquinol-8 biosynthesis III	0	1	0	0
|PWY-7152|	pinolenate and coniferonate biosynthesis	0	2	0	0
|PWY-7246|	pectin degradation II	0	1	0	0
|PWY-1081|	homogalacturonan degradation	0	0	0	0
|PWY-7619|	juniperonate biosynthesis	20	4	0	0
|PWY-5853|	demethylmenaquinol-6 biosynthesis I	0	0	0	0
|PWY-6771|	rhamnogalacturonan type I degradation II (bacteria)	0	0	0	0
|PWY-6769|	rhamnogalacturonan type I degradation I (fungi)	0	3	0	0
|PWY-7373|	superpathway of demethylmenaquinol-6 biosynthesis II	0	1	0	0
|PWY-7592|	arachidonate biosynthesis III (6-desaturase, mammals)	25	4	2	0
|PWY-5362|	sapienate biosynthesis	0	1	0	0
|PWY-7372|	demethylmenaquinol-6 biosynthesis II	0	1	0	0
|PWY-6284|	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)	0	1	0	0
|PWY-7691|	10,13-epoxy-11-methyl-octadecadienoate biosynthesis	0	1	0	0
|PWY-5860|	superpathway of demethylmenaquinol-6 biosynthesis I	0	1	0	0
|PWY-7583|	arachidonate biosynthesis II (bacteria)	0	1	0	0
|PWY-5361|	(5<i>Z</i>)-icosenoate biosynthesis	0	1	0	0
|PWY-5973|	<i>cis</i>-vaccenate biosynthesis	100	0	2	2
|PWY-7663|	gondoate biosynthesis (anaerobic)	100	0	0	0
|PWY-5367|	petroselinate biosynthesis	75	3	0	0
|PWY-7725|	arachidonate biosynthesis V (8-detaturase, mammals)	20	5	2	0
|PWY-7618|	ricinoleate biosynthesis	0	3	0	0
|PWY0-862|	(5Z)-dodec-5-enoate biosynthesis I	88	0	2	2
|PWY-7858|	(5Z)-dodec-5-enoate biosynthesis II	100	0	2	2
|PWY-6118|	glycerol-3-phosphate shuttle	100	0	0	0
|PWY-5494|	pyruvate fermentation to propanoate II (acrylate pathway)	75	0	1	0
|P108-PWY|	pyruvate fermentation to propanoate I	100	1	1	1
|PWY-5888|	rhodoquinone-10 biosynthesis	0	1	0	0
|PWY-5353|	arachidonate biosynthesis I (6-desaturase, lower eukaryotes)	14	7	0	0
|PWY-5889|	rhodoquinone-9 biosynthesis	0	1	0	0
|PWY-5302|	sulfur disproportionation II (aerobic)	0	0	0	0
|PWY-5481|	pyruvate fermentation to lactate	100	0	0	0
|PWY-5100|	pyruvate fermentation to acetate and lactate II	0	1	0	0
|P41-PWY|	pyruvate fermentation to acetate and lactate I	0	1	0	0
|PWY-5194|	siroheme biosynthesis	100	0	0	0
|PWY-7378|	aminopropanol phosphate biosynthesis II	50	0	0	0
|PWY66-368|	ketolysis	100	0	0	0
|PWY-6587|	pyruvate fermentation to ethanol III	66	0	0	0
|PWY-5486|	pyruvate fermentation to ethanol II	100	0	1	1
|PWY-7601|	arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)	16	5	0	0
|PWY-5480|	pyruvate fermentation to ethanol I	66	0	0	0
|P203-PWY|	sulfur disproportionation I (anaerobic)	0	1	0	0
|PWY-5297|	siroheme amide biosynthesis	0	2	0	0
|PWY-5443|	aminopropanol phosphate biosynthesis I	100	0	1	1
|PWY66-367|	ketogenesis	60	0	0	0
|PWY-5768|	pyruvate fermentation to acetate VIII	100	0	0	0
|P142-PWY|	pyruvate fermentation to acetate I	0	0	0	0
|PWY-5485|	pyruvate fermentation to acetate IV	66	0	1	0
|PWY-5600|	pyruvate fermentation to acetate VII	0	0	2	0
|PWY-5096|	pyruvate fermentation to acetate and alanine	0	1	0	0
|PWY-5483|	pyruvate fermentation to acetate III	50	0	1	0
|PWY-5538|	pyruvate fermentation to acetate VI	50	0	2	1
|PWY-5482|	pyruvate fermentation to acetate II	100	1	1	1
|PWY-5537|	pyruvate fermentation to acetate V	100	1	0	0
|PWY-6603|	dicranin biosynthesis	0	4	0	0
|PWY-6013|	crepenynate biosynthesis	0	0	0	0
|PWY-5863|	superpathway of phylloquinol biosynthesis	0	1	0	0
|PWY-5526|	bacteriochlorophyll <i>a</i> biosynthesis	10	6	0	0
|PWY-6994|	L-pyrrolysine biosynthesis	0	1	0	0
|PWY-7641|	5-hexynoate biosynthesis	0	3	0	0
|PWY-7758|	bacteriochlorophyll <i>d</i> biosynthesis	10	13	1	0
|PWY-5005|	biotin biosynthesis II	0	1	0	0
|PWY-6281|	L-selenocysteine biosynthesis II (archaea and eukaryotes)	50	2	0	0
|BIOTIN-BIOSYNTHESIS-PWY|	biotin biosynthesis I	0	1	0	0
|PWY0-901|	L-selenocysteine biosynthesis I (bacteria)	100	0	2	2
|PWY0-1507|	biotin biosynthesis from 8-amino-7-oxononanoate I	100	0	1	1
|PWY-7380|	biotin biosynthesis from 8-amino-7-oxononanoate II	100	0	1	1
|PWY-7759|	bacteriochlorophyll <i>c</i> biosynthesis	7	17	1	0
|PWY-7760|	bacteriochlorophyll <i>e</i> biosynthesis	7	17	4	0
