# gapseq version: 1.5.0 d9387beb
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# genome_format=prot;taxonomy=Bacteria;ORF_coverage=23.07;gram=neg
ID	Name	Prediction	Completeness	Status	NrReaction	NrSpontaneous	NrVague	NrKeyReaction	NrReactionFound	NrKeyReactionFound	ReactionsFound	SpontaneousReactions	KeyReactions
EXO-GALACTAN_DEG	Extracellular galactan(2n) degradation	FALSE	0		1	0	0	0	0	0			
F420-3-BIOSYN-ARCHAEA	F420 Biosynthesis until 3 glutamine residues	FALSE	12.5		8	0	0	1	1	1	RXN-21089		RXN-21089
FD-NADH-OXIDO	Ferredoxin:NAD+ oxidoreductase	TRUE	100	full	1	0	0	0	1	0	FERREDOXIN-NAD+-REDUCTASE-RXN		
FOLATE-SYN-GS1	Folate biosynthesis from GTP and 4-aminobenzoate via dihydropterin-3-triphosphate	TRUE	66.6666666666667	keyenzyme	6	0	0	1	4	1	DHFR DIHYDROFOLATESYNTH-RXN GTP-CYCLOHYDRO-I-RXN H2PTEROATESYNTH-RXN		H2PTEROATESYNTH-RXN
FUCDEGRA-NP	L-Fucose degradation (non-phosphorylating)	FALSE	50		5	0	1	0	2	0	FUC-DEHYD FUCONATE-DEHYDR		
H4SPT-SYN	H4SPT-SYN	FALSE	0		1	0	0	0	0	0			
IMPSYN-HIGH-HCO3	inosine-5'-phosphate biosynthesis at high carbonate levels	FALSE	80		5	0	0	1	4	0	AICARSYN-RXN AICARTRANSFORM-RXN IMPCYCLOHYDROLASE-RXN SAICARSYN-RXN		AIR-CARBOXYL-SYN-RXN
INULIN-DEGRADATION	Inulin degradation(11xFru,1xGlc) (intracellular)	FALSE	50		2	0	0	1	1	0	INULIN-ABC-TRANSPORT		3.2.1.7-RXN
INULIN-DEGRADATION-EXO	Inulin degradation(11xFru,1xGlc) (extracellular)	FALSE	0		3	0	2	0	0	0			
ISOBILE-BIOSYN	iso-bile acids biosynthesis (NADH or NADPH dependent)	FALSE	0		2	0	0	0	0	0			
LDH-ETF-PWY	Electron bifurcating LDH/Etf complex	FALSE	0		1	0	0	0	0	0			
LNT-DEGRADATION	Lacto-N-tetraose degradation	FALSE	25		4	0	0	1	1	0	rxn2		rxn1
LWP-GS	Ljungdahl-Wood pathway (gapseq)	FALSE	20		10	0	0	2	2	0	METHENYLTHFCYCLOHYDRO-RXN METHYLENETHFDEHYDROG-NADP-RXN		1.2.7.4-RXN FORMATE-DEHYDROGENASE-FRDX
MASS-SYNTHESIS	massetolide A biosynthesis	FALSE	0		3	0	0	0	0	0			
MQL-OXIDASE-PWY	menaquinol oxidase (cytochrom aa3-600)	FALSE	0		1	0	0	1	0	0			RXN-12164
MQL6-NADH-OXIDO	NADH:menaquinone6 oxidoreductase	TRUE	100	full	1	0	0	0	1	0	NQOR-RXN		
MUC-GLYCAN_DEG	Mucus glycans degradation	FALSE	10		10	0	0	0	1	0	3.2.1.23-RXN		
NA-F0F1ATPSYN	Na(+)-translocating ATPase	TRUE	100	full	1	0	0	0	1	0	NA-F0F1ATPSYNTHASE		
NA-TRANSLOCATING-RNF	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex	FALSE	0		1	0	0	0	0	0			
NADP-RED-FD-NADH	Coupled NADP reduction via ferredoxin and NADH	FALSE	0		1	0	0	0	0	0			
PEPTIDOGLYCANSYN-PWY2	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	TRUE	100	full	10	0	0	2	10	2	DALADALALIG-RXN GLUTRACE-RXN NACGLCTRANS-RXN PHOSNACMURPENTATRANS-RXN UDP-NACMUR-ALA-LIG-RXN UDP-NACMURALA-GLU-LIG-RXN UDP-NACMURALGLDAPAALIG-RXN UDP-NACMURALGLDAPLIG-RXN UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN UDPNACETYLMURAMATEDEHYDROG-RXN		GLUTRACE-RXN UDP-NACMURALGLDAPLIG-RXN
PHLOROGLUCINOL-DEG-PWY	phloroglucinol degradation (anaerobic)	FALSE	33.3333333333333		4	0	1	1	1	0	R8-RXN		R5-RXN
PI-ABC-TRANS	Phosphate ABC transporter	TRUE	100	full	1	0	0	0	1	0	ABC-27-RXN		
PWY-6151-GS	S-adenosyl-L-methionine cycle I	FALSE	25		5	0	1	2	1	0	S-ADENMETSYN-RXN		ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN RIBOSYLHOMOCYSTEINASE-RXN
PWY-6559-2	spermidine biosynthesis II (only one key enzyme)	TRUE	100	full	4	0	0	1	4	1	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN ASPARTATEKIN-RXN RXN-11564 RXN-11566		RXN-11564
PWY-8086-GS	(S)-lactate fermentation to propanoate	FALSE	88.8888888888889		9	0	0	1	8	0	FUMHYDR-RXN L-LACTATE-DEHYDROGENASE-RXN MALATE-DEH-RXN METHYLMALONYL-COA-EPIM-RXN METHYLMALONYL-COA-MUT-RXN PYRUVATE-CARBOXYLASE-RXN R601-RXN RXN0-268		RXN-19738
PWY1	Oxidase test	TRUE	100	full	1	0	0	1	1	1	rxn1		rxn1
PWY2	Catalase test	TRUE	100	full	1	0	0	1	1	1	rxn1		rxn1
PWY3	leucyl aminopeptidase test	TRUE	100	full	1	0	0	1	1	1	rxn1		rxn1
PWY4	arginine deiminase test	FALSE	0		1	0	0	1	0	0			rxn1
PYR-ACCOA-FROX	Pyruvate-ferredoxin oxidorectase to acetyl-CoA	FALSE	0		1	0	0	0	0	0			
PYR-TO-BUT-NADPH	3-hydroxybutyryl-CoA dehydrogenase	TRUE	100	full	1	0	0	0	1	0	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN		
QUERCETIN-ANAERO-DEG	Anaerobe quercetin degradation	FALSE	0		3	0	1	1	0	0			GS-TXF-ISO
SO4ASSIM-PWY2	sulfate reduction I (assimilatory)	FALSE	40		5	0	0	1	2	1	ADENYLYLSULFKIN-RXN SULFATE-ADENYLYLTRANS-RXN		ADENYLYLSULFKIN-RXN
THIAZOLE-SYN-GS1	thiazole biosynthesis I (facultative anaerobic bacteria) with tautomerase	FALSE	50		8	0	0	0	4	0	DXS-RXN RXN-14382 RXN-9789 THIAZOLSYN2-RXN		
THRBIOSYN-GS	Threonine biosynthesis from aspartate via homoserine (gapseq)	TRUE	100	full	5	0	0	0	5	0	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN ASPARTATEKIN-RXN HOMOSERDEHYDROG-RXN HOMOSERKIN-RXN THRESYN-RXN		
TRPSYN-PWY2	L-tryptophan biosynthesis (complex)	TRUE	100	full	5	0	0	1	5	1	ANTHRANSYN-RXN IGPSYN-RXN PRAISOM-RXN PRTRANS-RXN TRYPSYN-RXN		TRYPSYN-RXN
TYR-DEG-4HPAC	L-Tyrosine degradation to 4-hydroxyphenylacetate via tyramine	FALSE	66.6666666666667		3	0	0	0	2	0	1.2.1.53-RXN RXN-5821		
VISC-SYNTHESIS	viscosin biosynthesis	FALSE	0		3	0	0	0	0	0			
|12DICHLORETHDEG-PWY|	1,2-dichloroethane degradation	FALSE	50		4	0	0	1	2	0	ALDXANAU-RXN DHLBXANAU-RXN		DHLAXANAU-RXN
|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	FALSE	14.2857142857143		9	2	0	2	1	0	MALEYLACETATE-REDUCTASE-RXN	RXN-18361 RXN-18362	CHLOROBENDDH-RXN DIOXYXANFL-RXN
|1CMET2-PWY|	folate transformations III (E. coli)	TRUE	88.8888888888889	threshold	9	0	0	0	8	0	DIHYDROFOLATEREDUCT-RXN GCVMULTI-RXN GLYOHMETRANS-RXN HOMOCYSMETB12-RXN METHENYLTHFCYCLOHYDRO-RXN METHYLENETHFDEHYDROG-NADP-RXN RXN-22438 THYMIDYLATESYN-RXN		
|2AMINOBENZDEG-PWY|	anthranilate degradation III (anaerobic)	FALSE	50		2	0	0	0	1	0	AMINOBENZCOALIG-RXN		
|2ASDEG-PWY|	orthanilate degradation	FALSE	0		5	1	1	0	0	0		3SC23OSPON-RXN	
|2OXOBUTYRATECAT-PWY|	2-oxobutanoate degradation II	FALSE	0		2	0	0	0	0	0			
|2PHENDEG-PWY|	phenylethylamine degradation I	FALSE	50		2	0	0	1	1	0	PHENDEHYD-RXN		RXN-10817
|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	FALSE	57.1428571428571		8	1	0	1	4	0	4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN CHMS-DEHYDROGENASE-RXN HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN SUCCSEMIALDDEHYDROG-RXN	5.3.3.10-RXN	RXN-8505
|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	TRUE	66.6666666666667	keyenzyme	6	0	0	1	4	1	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN 4-HYDROXYMANDELATE-OXY-RXN HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN		4-HYDROXYMANDELATE-OXY-RXN
|4TOLCARBDEG-PWY|	4-toluenecarboxylate degradation	FALSE	66.6666666666667		3	0	0	0	2	0	COLCYD-RXN CYDTER-RXN		
|6-HYDROXYCINEOLE-DEGRADATION-PWY|	1,8-cineole degradation	FALSE	0		4	1	3	0	0	0		C04718-C060066-AUTOTRANSFORMATION-RXN	
|ACETOACETATE-DEG-PWY|	acetoacetate degradation (to acetyl CoA)	FALSE	50		2	0	0	1	1	0	ACETYL-COA-ACETYLTRANSFER-RXN		ACETOACETYL-COA-TRANSFER-RXN
|ADENOSYLHOMOCYSCAT-PWY|	L-methionine salvage from L-homocysteine	FALSE	66.6666666666667		3	0	0	0	2	0	2.1.1.5-RXN HOMOCYSMETB12-RXN		
|AEROBACTINSYN-PWY|	aerobactin biosynthesis	FALSE	0		4	0	0	0	0	0			
|ALACAT2-PWY|	L-alanine degradation II (to D-lactate)	FALSE	66.6666666666667		3	0	0	0	2	0	ALANINE-AMINOTRANSFERASE-RXN GLUTAMATE-DEHYDROGENASE-RXN		
|ALADEG-PWY|	L-alanine degradation I	TRUE	100	full	2	0	0	1	2	1	ALARACECAT-RXN DALADEHYDROG-RXN		DALADEHYDROG-RXN
|ALANINE-DEG3-PWY|	L-alanine degradation III	TRUE	100	full	1	0	0	0	1	0	ALANINE-AMINOTRANSFERASE-RXN		
|ALANINE-SYN2-PWY|	L-alanine biosynthesis II	TRUE	100	full	1	0	0	0	1	0	ALANINE-AMINOTRANSFERASE-RXN		
|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	TRUE	100	full	2	0	0	0	2	0	BRANCHED-CHAINAMINOTRANSFERVAL-RXN VALINE-PYRUVATE-AMINOTRANSFER-RXN		
|ALKANEMONOX-PWY|	two-component alkanesulfonate monooxygenase	FALSE	0		2	0	0	1	0	0			RXN0-280
|AMMASSIM-PWY|	ammonia assimilation cycle III	TRUE	100	full	3	0	0	0	3	0	GLUTAMIN-RXN GLUTAMINESYN-RXN RXN-20084		
|AMMOXID-PWY|	ammonia oxidation I (aerobic)	FALSE	0		2	0	0	0	0	0			
|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	TRUE	81.8181818181818	threshold	11	0	0	1	9	1	2PGADEHYDRAT-RXN F16ALDOLASE-RXN GAPOXNPHOSPHN-RXN GLUCOKIN-RXN PEPDEPHOS-RXN PGLUCISOM-RXN PHOSGLYPHOS-RXN RXN-15513 TRIOSEPISOMERIZATION-RXN		GLUCOKIN-RXN
|ANAPHENOXI-PWY|	L-phenylalanine degradation II (anaerobic)	TRUE	100	full	3	0	0	0	3	0	PHENDEHYD-RXN PHENYLPYRUVATE-DECARBOXYLASE-RXN RXN-10814		
|ARABCAT-PWY|	L-arabinose degradation I	FALSE	0		4	1	0	0	0	0		RXN-14809	
|ARG-GLU-PWY|	L-arginine degradation VII (arginase 3 pathway)	TRUE	100	full	2	0	0	0	2	0	ARGINASE-RXN ORNITHINE-CYCLODEAMINASE-RXN		
|ARG-PRO-PWY|	L-arginine degradation VI (arginase 2 pathway)	FALSE	66.6666666666667		4	1	0	2	2	1	ARGINASE-RXN ORNITHINE-GLU-AMINOTRANSFERASE-RXN	SPONTPRO-RXN	ARGINASE-RXN PYRROLINECARBREDUCT-RXN
|ARGASEDEG-PWY|	L-arginine degradation I (arginase pathway)	TRUE	100	full	3	0	0	0	3	0	ARGINASE-RXN ORNITHINE-GLU-AMINOTRANSFERASE-RXN RXN-14116		
|ARGDEG-III-PWY|	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	FALSE	33.3333333333333		3	0	0	0	1	0	AGMATINE-DEIMINASE-RXN		
|ARGDEG-IV-PWY|	L-arginine degradation VIII (arginine oxidase pathway)	FALSE	25		4	0	0	1	1	0	1.2.1.54-RXN		ARG-OXIDATION-RXN
|ARGDEG-V-PWY|	L-arginine degradation X (arginine monooxygenase pathway)	FALSE	33.3333333333333		3	0	0	1	1	0	GUANIDINOBUTANAMIDE-NH3-RXN		ARGININE-2-MONOOXYGENASE-RXN
|ARGDEGRAD-PWY2|	L-arginine degradation V (arginine deiminase pathway)	FALSE	33.3333333333333		4	1	0	1	1	1	ORNCARBAMTRANSFER-RXN	RXN0-5222	ORNCARBAMTRANSFER-RXN
|ARGININE-SYN4-PWY|	L-ornithine biosynthesis II	TRUE	100	full	3	0	0	0	3	0	GLUTKIN-RXN GLUTSEMIALDEHYDROG-RXN ORNITHINE-GLU-AMINOTRANSFERASE-RXN		
|ARGSPECAT-PWY|	spermine biosynthesis	FALSE	0		2	0	0	1	0	0			SPERMINE-SYNTHASE-RXN
|ARGSYNBSUB-PWY|	L-arginine biosynthesis II (acetyl cycle)	TRUE	100	full	9	0	0	2	9	2	ACETYLGLUTKIN-RXN ACETYLORNTRANSAM-RXN ARGSUCCINLYA-RXN ARGSUCCINSYN-RXN CARBPSYN-RXN GLUTAMATE-N-ACETYLTRANSFERASE-RXN N-ACETYLGLUTPREDUCT-RXN N-ACETYLTRANSFER-RXN ORNCARBAMTRANSFER-RXN		GLUTAMATE-N-ACETYLTRANSFERASE-RXN N-ACETYLTRANSFER-RXN
|ASPARAGINE-BIOSYNTHESIS|	L-asparagine biosynthesis I	TRUE	100	full	1	0	0	0	1	0	ASNSYNB-RXN		
|ASPARAGINE-DEG1-PWY|	L-asparagine degradation I	FALSE	0		1	0	0	0	0	0			
|ASPARAGINESYN-PWY|	L-asparagine biosynthesis II	FALSE	0		1	0	0	0	0	0			
|ASPARTATE-DEG1-PWY|	L-aspartate degradation I	TRUE	100	full	1	0	0	0	1	0	ASPAMINOTRANS-RXN		
|ASPARTATESYN-PWY|	L-aspartate biosynthesis	TRUE	100	full	1	0	0	0	1	0	ASPAMINOTRANS-RXN		
|ASPSYNII-PWY|	cyanide detoxification I	TRUE	100	full	3	0	0	0	3	0	3-CYANOALANINE-HYDRATASE-RXN 3.5.5.4-RXN L-3-CYANOALANINE-SYNTHASE-RXN		
|AST-PWY|	L-arginine degradation II (AST pathway)	FALSE	40		5	0	0	0	2	0	SUCCGLUALDDEHYD-RXN SUCCORNTRANSAM-RXN		
|BETA-ALA-DEGRADATION-I-PWY|	&beta;-alanine degradation I	TRUE	100	full	2	0	0	0	2	0	RXN-2901 RXN-2902		
|BETSYN-PWY|	glycine betaine biosynthesis I (Gram-negative bacteria)	TRUE	100	full	2	0	0	0	2	0	BADH-RXN CHD-RXN		
|BGALACT-PWY|	lactose degradation III	FALSE	0		1	0	0	0	0	0			
|BSUBPOLYAMSYN-PWY|	spermidine biosynthesis I	FALSE	0		2	0	0	0	0	0			
|CALVIN-PWY|	Calvin-Benson-Bassham cycle	FALSE	84.6153846153846		13	0	0	1	11	0	1.2.1.13-RXN 1TRANSKETO-RXN 2TRANSKETO-RXN F16ALDOLASE-RXN F16BDEPHOS-RXN PHOSGLYPHOS-RXN RIB5PISOM-RXN RIBULP3EPIM-RXN SEDOBISALDOL-RXN SEDOHEPTULOSE-BISPHOSPHATASE-RXN TRIOSEPISOMERIZATION-RXN		RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN
|CAMALEXIN-SYN|	camalexin biosynthesis	FALSE	9.09090909090909		12	1	9	0	1	0	RXN-11663	RXN-12063	
|CARNMET-PWY|	L-carnitine degradation I	FALSE	20		5	0	0	0	1	0	CARNDETRU-RXN		
|CATECHOL-ORTHO-CLEAVAGE-PWY|	catechol degradation to &beta;-ketoadipate	FALSE	0		4	0	0	1	0	0			CATECHOL-12-DIOXYGENASE-RXN
|CENTBENZCOA-PWY|	benzoyl-CoA degradation II (anaerobic)	FALSE	16.6666666666667		7	0	1	1	1	0	RXN-8032		4.2.1.100-RXN
|CENTFERM-PWY|	pyruvate fermentation to butanoate	FALSE	42.8571428571429		7	0	0	0	3	0	ACETYL-COA-ACETYLTRANSFER-RXN RXN-11662 RXN-11667		
|CHLOROPHYLL-SYN|	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	FALSE	22.2222222222222		9	0	0	2	2	0	RXN0-1461 UROGENDECARBOX-RXN		RXN-5283 RXN-5285
|CHOLINE-BETAINE-ANA-PWY|	choline degradation I	TRUE	100	full	2	0	0	0	2	0	BADH-RXN CHD-RXN		
|CITRULBIO-PWY|	L-citrulline biosynthesis	TRUE	100	full	8	1	0	0	7	0	ARGINASE-RXN GLUTAMIN-RXN GLUTKIN-RXN GLUTSEMIALDEHYDROG-RXN ORNCARBAMTRANSFER-RXN ORNITHINE-GLU-AMINOTRANSFERASE-RXN RXN-14903	SPONTPRO-RXN	
|CITRULLINE-DEG-PWY|	L-citrulline degradation	FALSE	50		3	1	0	1	1	1	ORNCARBAMTRANSFER-RXN	RXN0-5222	ORNCARBAMTRANSFER-RXN
|CO2FORM-PWY|	methanogenesis from methanol	FALSE	0		2	0	0	0	0	0			
|COA-PWY|	coenzyme A biosynthesis I (bacteria)	TRUE	100	full	4	0	0	1	4	1	DEPHOSPHOCOAKIN-RXN P-PANTOCYSDECARB-RXN P-PANTOCYSLIG-RXN PANTEPADENYLYLTRAN-RXN		DEPHOSPHOCOAKIN-RXN
|CODH-PWY|	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	FALSE	30		10	0	0	2	3	0	METHENYLTHFCYCLOHYDRO-RXN METHYLENETHFDEHYDROG-NADP-RXN RXN-22438		1.2.7.4-RXN FORMATE-DEHYDROGENASE-NADP+-RXN
|CRNFORCAT-PWY|	creatinine degradation I	FALSE	25		4	0	0	0	1	0	SARCOSINE-DEHYDROGENASE-RXN		
|CYANCAT-PWY|	cyanate degradation	FALSE	0		3	1	0	1	0	0		RXN0-5222	R524-RXN
|CYCLOHEXANOL-OXIDATION-PWY|	cyclohexanol degradation	FALSE	20		5	0	0	1	1	0	6-OXOHEXANOATE-OXIDATION-RXN		CYCLOHEXANOL-DEHYDROGENASE-RXN
|CYSTEINE-DEG-PWY|	L-cysteine degradation I	FALSE	0		3	1	1	0	0	0		3-SULFINYL-PYRUVATE-SPON-RXN	
|CYSTSYN-PWY|	L-cysteine biosynthesis I	TRUE	100	full	2	0	0	0	2	0	ACSERLY-RXN SERINE-O-ACETTRAN-RXN		
|DAPLYSINESYN-PWY|	L-lysine biosynthesis I	TRUE	100	full	9	0	0	1	9	1	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN ASPARTATEKIN-RXN DIAMINOPIMDECARB-RXN DIAMINOPIMEPIM-RXN DIHYDRODIPICSYN-RXN RXN-14014 SUCCDIAMINOPIMDESUCC-RXN SUCCINYLDIAMINOPIMTRANS-RXN TETHYDPICSUCC-RXN		TETHYDPICSUCC-RXN
|DARABCAT-PWY|	D-arabinose degradation I	FALSE	0		2	0	0	2	0	0			D-RIBULOKIN-RXN DARABISOM-RXN
|DARABCATK12-PWY|	D-arabinose degradation II	FALSE	75		4	0	0	1	3	0	DARABALDOL-RXN DARABKIN-RXN GLYCOLALD-DEHYDROG-RXN		DARABISOM-RXN
|DARABITOLUTIL-PWY|	D-arabinitol degradation I	TRUE	100	full	2	0	0	0	2	0	D-ARABINITOL-4-DEHYDROGENASE-RXN XYLULOKIN-RXN		
|DENITRIFICATION-PWY|	nitrate reduction I (denitrification)	FALSE	75		5	0	1	2	3	1	RXN-11236 RXN-12130 RXN-15838		NITRIC-OXIDE-REDUCTASE-RXN RXN-12130
|DESULFONATION-PWY|	benzenesulfonate degradation	FALSE	0		1	0	1	0	0	0			
|DETOX1-PWY|	superoxide radicals degradation	TRUE	100	full	2	0	0	0	2	0	CATAL-RXN SUPEROX-DISMUT-RXN		
|DHGLUCONATE-PYR-CAT-PWY|	glucose degradation (oxidative)	TRUE	100	full	5	1	0	0	4	0	1.1.1.43-RXN DEHYDOGLUCONOKINASE-RXN GLUCONATE-2-DEHYDROGENASE-RXN RXN0-6373	GLUCONOLACT-RXN	
|DISSULFRED-PWY|	dissimilatory sulfate reduction I (to hydrogen sufide))	FALSE	20		5	0	0	0	1	0	SULFATE-ADENYLYLTRANS-RXN		
|DTDPRHAMSYN-PWY|	dTDP-&beta;-L-rhamnose biosynthesis	TRUE	80	threshold	5	0	0	0	4	0	DTDPDEHYRHAMREDUCT-RXN DTDPGLUCDEHYDRAT-RXN DTDPGLUCOSEPP-RXN PHOSPHOGLUCMUT-RXN		
|ECASYN-PWY|	enterobacterial common antigen biosynthesis	FALSE	0		5	0	2	0	0	0			
|ENTNER-DOUDOROFF-PWY|	Entner-Doudoroff shunt	TRUE	100	full	2	0	0	0	2	0	KDPGALDOL-RXN PGLUCONDEHYDRAT-RXN		
|ETHYL-PWY|	ethene biosynthesis I (plants)	FALSE	66.6666666666667		3	0	0	0	2	0	4.4.1.14-RXN S-ADENMETSYN-RXN		
|ETOH-ACETYLCOA-ANA-PWY|	ethanol degradation I	FALSE	50		2	0	0	1	1	0	ALCOHOL-DEHYDROG-RXN		ACETALD-DEHYDROG-RXN
|FAO-PWY|	fatty acid &beta;-oxidation I (generic)	TRUE	100	full	7	0	0	0	7	0	ACYLCOADEHYDROG-RXN ACYLCOASYN-RXN ENOYL-COA-DELTA-ISOM-RXN ENOYL-COA-HYDRAT-RXN KETOACYLCOATHIOL-RXN OHACYL-COA-DEHYDROG-RXN OHBUTYRYL-COA-EPIM-RXN		
|FASYN-ELONG-PWY|	fatty acid elongation -- saturated	TRUE	100	full	5	0	0	0	5	0	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN 3-OXOACYL-ACP-REDUCT-RXN 3-OXOACYL-ACP-SYNTH-RXN ENOYL-ACP-REDUCT-NADH-RXN ENOYL-ACP-REDUCT-NADPH-RXN		
|FESULFOX-PWY|	sulfur oxidation II (Fe+3-dependent)	FALSE	0		3	1	2	0	0	0		SULFUR-DIOXYGENASE-RXN	
|FLUORENE-DEG-9-ONE-PWY|	fluorene degradation I	FALSE	14.2857142857143		8	1	5	0	1	0	RXN-19492	RXN-7282	
|FORMASS-PWY|	formaldehyde oxidation IV (thiol-independent)	TRUE	100	full	1	0	0	0	1	0	FORMALDEHYDE-DEHYDROGENASE-RXN		
|FUCCAT-PWY|	L-fucose degradation I	FALSE	66.6666666666667		4	1	0	1	2	0	FUCPALDOL-RXN FUCULOKIN-RXN	RXN0-5298	FUCISOM-RXN
|GALACTARDEG-PWY|	D-galactarate degradation I	TRUE	100	full	4	0	0	0	4	0	GALACTARDEHYDRA-RXN GKI-RXN KDGALDOL-RXN TSA-REDUCT-RXN		
|GALACTCAT-PWY|	D-galactonate degradation	TRUE	100	full	3	0	0	0	3	0	DEHYDDEOXGALACTKIN-RXN DEHYDDEOXPHOSGALACT-ALDOL-RXN GALACTONDEHYDRAT-RXN		
|GALACTITOLCAT-PWY|	galactitol degradation	FALSE	25		5	1	0	1	1	0	TRANS-RXN-161	RXN-16992	1.1.1.251-RXN
|GALACTUROCAT-PWY|	D-galacturonate degradation I	FALSE	40		5	0	0	0	2	0	ALTRODEHYDRAT-RXN KDPGALDOL-RXN		
|GALDEG-PWY|	D-galactose degradation II	FALSE	50		2	0	0	1	1	1	GALACTODEHYDROG-RXN		GALACTODEHYDROG-RXN
|GALLATE-DEGRADATION-I-PWY|	gallate degradation II	FALSE	0		5	1	0	1	0	0		RXN-9983	RXN-11861
|GALLATE-DEGRADATION-II-PWY|	gallate degradation I	FALSE	0		4	1	0	1	0	0		RXN-9983	GALLATE-DIOXYGENASE-RXN
|GAMMAHEXCHLORDEG-PWY|	&gamma;-hexachlorocyclohexane degradation	FALSE	12.5		11	3	0	1	1	0	MALEYLACETATE-REDUCTASE-RXN	LINABSPON-RXN LINBBSPON-RXN RXN-10077	LINA2-RXN
|GDPRHAMSYN-PWY|	GDP-D-rhamnose biosynthesis	FALSE	50		2	0	0	1	1	0	GDPMANDEHYDRA-RXN		GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN
|GLNSYN-PWY|	L-glutamine biosynthesis I	TRUE	100	full	1	0	0	0	1	0	GLUTAMINESYN-RXN		
|GLUAMCAT-PWY|	N-acetylglucosamine degradation I	FALSE	50		2	0	0	0	1	0	NAG6PDEACET-RXN		
|GLUCARDEG-PWY|	D-glucarate degradation I	FALSE	75		4	0	0	0	3	0	GKI-RXN KDGALDOL-RXN TSA-REDUCT-RXN		
