# gapseq version: 1.2 4a12343
# Sequence DB md5sum: 17e92c9 (2023-12-12, Bacteria)
# Genome format: nucl
ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
|GLYSYN-PWY|	glycine biosynthesis I	true	100	0	0	0	GLYOHMETRANS-RXN 
|GLYSYN-THR-PWY|	glycine biosynthesis IV	true	100	0	0	0	THREONINE-ALDOLASE-RXN 
|HCAMHPDEG-PWY|	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	false	0	0	1	0	
|HEME-BIOSYNTHESIS-II-1|	heme b biosynthesis V (aerobic)	false	0	0	1	0	
|HEME-BIOSYNTHESIS-II|	heme b biosynthesis I (aerobic)	false	0	0	1	0	
|HEMESYN2-PWY|	heme b biosynthesis II (oxygen-independent)	false	0	0	1	0	
|HEXPPSYN-PWY|	hexaprenyl diphosphate biosynthesis	false	0	0	0	0	
|HISDEG-PWY|	L-histidine degradation I	false	0	0	0	0	
|HISTDEG-PWY|	L-histidine degradation IV	false	0	1	0	0	
|HISTSYN-PWY|	L-histidine biosynthesis	false	40	0	0	0	HISTIDPHOS-RXN HISTAMINOTRANS-RXN IMIDPHOSDEHYD-RXN PRIBFAICARPISOM-RXN 
|HOMOCYSDEGR-PWY|	L-cysteine biosynthesis III (from L-homocysteine)	false	0	0	0	0	
|HOMOSER-METSYN-PWY|	L-methionine biosynthesis I	false	40	0	2	1	HOMSUCTRAN-RXN CYSTATHIONINE-BETA-LYASE-RXN 
|HOMOSERSYN-PWY|	L-homoserine biosynthesis	false	66	0	0	0	ASPARTATEKIN-RXN ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN 
|HOMOSER-THRESYN-PWY|	L-threonine biosynthesis	true	100	0	0	0	HOMOSERKIN-RXN THRESYN-RXN 
|IDNCAT-PWY|	L-idonate degradation	false	0	0	0	0	
|ILEUDEG-PWY|	L-isoleucine degradation I	false	0	0	0	0	
|ILEUSYN-PWY|	L-isoleucine biosynthesis I (from threonine)	false	60	0	1	1	DIHYDROXYMETVALDEHYDRAT-RXN ACETOOHBUTREDUCTOISOM-RXN RXN-15122 
|KDO-LIPASYN-PWY|	(Kdo)2-lipid A biosynthesis (E. coli)	false	0	0	0	0	
|KDOSYN-PWY|	Kdo transfer to lipid IVA (E. coli)	false	0	0	0	0	
|LACTOSECAT-PWY|	lactose degradation I	false	60	0	0	0	TAGAKIN-RXN LACTOSE6P-HYDROXY-RXN RXN-15085 
|LACTOSEUTIL-PWY|	lactose degradation II	false	0	1	1	0	
|LARABITOLUTIL-PWY|	xylitol degradation I	false	0	0	1	0	
|LCYSDEG-PWY|	L-cysteine degradation II	true	100	0	1	1	RXN-15129 
|LEU-DEG2-PWY|	L-leucine degradation I	false	16	0	1	1	METHYLCROTONYL-COA-CARBOXYLASE-RXN 
|LEUSYN-PWY|	L-leucine biosynthesis	false	60	0	0	0	3-ISOPROPYLMALDEHYDROG-RXN 3-ISOPROPYLMALISOM-RXN RXN-8991 
|LIPA-CORESYN-PWY|	lipid A-core biosynthesis (E. coli K-12)	false	10	1	0	0	
|LIPAS-PWY|	triacylglycerol degradation	false	0	0	1	0	
|LIPASYN-PWY|	phospholipases	false	0	0	0	0	
|LYXMET-PWY|	L-lyxose degradation	false	0	0	1	0	
|MALTOSECAT-PWY|	maltose degradation	false	0	0	1	0	
|MANNCAT-PWY|	D-mannose degradation I	false	50	0	1	0	MANNPISOM-RXN 
|MANNIDEG-PWY|	mannitol degradation I	false	0	0	0	0	
|M-CRESOL-DEGRADATION-PWY|	m-cresol degradation	false	20	1	0	0	
|MENAQUINONESYN-PWY|	menaquinol-8 biosynthesis	false	0	0	0	0	
|METHIONINE-DEG1-PWY|	L-methionine degradation I (to L-homocysteine)	false	0	1	0	0	
|METHYLGALLATE-DEGRADATION-PWY|	methylgallate degradation	false	0	0	1	0	
|N2FIX-PWY|	nitrogen fixation I (ferredoxin)	false	0	0	0	0	
|NAD-BIOSYNTHESIS-III|	NAD biosynthesis from nicotinamide	false	0	0	1	0	
|NAD-BIOSYNTHESIS-II|	NAD salvage pathway III (to nicotinamide riboside)	false	0	0	2	0	
|NADPHOS-DEPHOS-PWY-1|	NAD phosphorylation and transhydrogenation	false	0	0	0	0	
|NAGLIPASYN-PWY|	lipid IVA biosynthesis (E. coli)	false	0	0	0	0	
|NONMEVIPP-PWY|	methylerythritol phosphate pathway I	false	22	0	1	0	DXS-RXN 2.7.1.148-RXN 
|NONOXIPENT-PWY|	pentose phosphate pathway (non-oxidative branch) I	false	0	0	1	0	
|NOPALINEDEG-PWY|	nopaline degradation	false	0	0	0	0	
|OCTOPINEDEG-PWY|	octopine degradation	false	0	0	0	0	
|ORN-AMINOPENTANOATE-CAT-PWY|	L-ornithine degradation I (L-proline biosynthesis)	false	0	0	0	0	
|OXIDATIVEPENT-PWY|	pentose phosphate pathway (oxidative branch) I	false	0	0	0	0	
|P101-PWY|	ectoine biosynthesis	false	40	0	1	0	ASPARTATEKIN-RXN ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN 
|P105-PWY|	TCA cycle IV (2-oxoglutarate decarboxylase)	false	33	0	2	0	ACONITATEDEHYDR-RXN ACONITATEHYDR-RXN ISOCITDEH-RXN 
|P108-PWY|	pyruvate fermentation to propanoate I	false	0	0	1	0	
|P121-PWY|	adenine and adenosine salvage I	false	50	0	0	0	ADENPHOSPHOR-RXN 
|P122-PWY|	heterolactic fermentation	false	44	0	0	0	GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN RXN-15513 2PGADEHYDRAT-RXN ALCOHOL-DEHYDROG-RXN DLACTDEHYDROGNAD-RXN FRUCTOKINASE-RXN PGLUCISOM-RXN 
|P124-PWY|	Bifidobacterium shunt	false	40	0	2	0	ACETATEKIN-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 3PGAREARR-RXN 2PGADEHYDRAT-RXN PGLUCISOM-RXN 
|P141-PWY|	atrazine degradation I (aerobic)	false	0	0	1	0	
|P161-PWY|	acetylene degradation (anaerobic)	false	40	0	1	0	ACETATEKIN-RXN ALCOHOL-DEHYDROG-RXN 
|P162-PWY|	L-glutamate degradation V (via hydroxyglutarate)	false	10	0	0	0	GLUTAMATE-DEHYDROGENASE-RXN 
|P163-PWY|	L-lysine fermentation to acetate and butanoate	false	10	0	1	0	ACETATEKIN-RXN 
|P164-PWY|	purine nucleobases degradation I (anaerobic)	false	21	6	0	0	RXN-7566 ACETATEKIN-RXN METHENYLTHFCYCLOHYDRO-RXN 
|P181-PWY|	nicotine degradation I (pyridine pathway)	false	7	1	0	0	
|P183-PWY|	catechol degradation to 2-hydroxypentadienoate I	false	0	0	0	0	
|P184-PWY|	protocatechuate degradation I (meta-cleavage pathway)	false	0	0	1	0	
|P201-PWY|	nitroglycerin degradation	false	0	3	0	0	
|P203-PWY|	sulfur disproportionation I (anaerobic)	false	0	1	0	0	
|P21-PWY|	pentose phosphate pathway (partial)	false	0	0	0	0	
|P221-PWY|	octane oxidation	false	0	0	1	0	
|P222-PWY|	sulfide oxidation I (to sulfur globules)	false	0	0	0	0	
|P23-PWY|	reductive TCA cycle I	false	27	0	1	0	ACONITATEHYDR-RXN ACONITATEDEHYDR-RXN ISOCITDEH-RXN 
|P241-PWY|	coenzyme B biosynthesis	false	33	8	0	0	R212-RXN R213-RXN R216-RXN R217-RXN RXN-7970 
|P261-PWY|	coenzyme M biosynthesis I	false	0	3	0	0	
|P282-PWY|	nitrite oxidation	false	0	0	0	0	
|P283-PWY|	hydrogen oxidation I (aerobic)	false	0	0	0	0	
|P2-PWY|	citrate lyase activation	false	0	2	0	0	
|P301-PWY|	galena oxidation	false	0	1	0	0	
|P302-PWY|	L-sorbose degradation	false	0	0	1	0	
|P303-PWY|	ammonia oxidation II (anaerobic)	false	0	0	0	0	
|P321-PWY|	benzoyl-CoA degradation III (anaerobic)	false	22	1	0	0	R267-RXN 
|P342-PWY|	orcinol degradation	false	0	4	0	0	
|P343-PWY|	resorcinol degradation	false	0	0	0	0	
|P345-PWY|	aldoxime degradation	false	0	0	1	0	
|P3-PWY|	gallate degradation III (anaerobic)	false	18	1	0	0	ACETATEKIN-RXN 
|P401-PWY|	cyanide degradation	true	100	0	0	0	L-3-CYANOALANINE-SYNTHASE-RXN 
|P421-PWY|	4-nitrotoluene degradation I	false	0	0	0	0	
|P42-PWY|	incomplete reductive TCA cycle	false	0	0	0	0	
|P481-PWY|	adamantanone degradation	false	0	0	0	0	
|P482-PWY|	arsonoacetate degradation	false	0	1	0	0	
|P483-PWY|	phosphonoacetate degradation	false	0	0	0	0	
|P541-PWY|	glycine betaine biosynthesis IV (from glycine)	false	0	0	0	0	
|P561-PWY|	proline betaine degradation I	false	33	0	0	0	R502-RXN 
|P562-PWY|	myo-inositol degradation I	false	14	0	1	0	4.1.2.29-RXN 
|P581-PWY|	thiocyanate degradation I	false	0	0	0	0	
|P601-PWY|	(R)-camphor degradation	false	0	2	1	0	
|P621-PWY|	nylon-6 oligomer degradation	false	16	1	0	0	
|P641-PWY|	phenylmercury acetate degradation	false	0	0	1	0	
|P661-PWY|	dibenzo-p-dioxin degradation	false	0	2	0	0	
|P662-PWY|	dibenzofuran degradation	false	0	0	0	0	
|PANTO-PWY|	phosphopantothenate biosynthesis I	false	0	0	0	0	
|PARATHION-DEGRADATION-PWY|	parathion degradation	false	0	1	1	0	
|PCEDEG-PWY|	tetrachloroethene degradation	false	25	1	0	0	
|PCPDEG-PWY|	pentachlorophenol degradation	false	0	0	1	0	
|PHENOLDEG-PWY|	phenol degradation II (anaerobic)	false	0	0	1	0	
|PHENYLALANINE-DEG1-PWY|	L-phenylalanine degradation I (aerobic)	false	0	0	0	0	
|PHESYN|	L-phenylalanine biosynthesis I	true	100	0	1	1	PREPHENATEDEHYDRAT-RXN CHORISMATEMUT-RXN RXN-10814 
|PHOSPHONOTASE-PWY|	2-aminoethylphosphonate degradation I	false	0	0	1	0	
|PLPSAL-PWY|	pyridoxal 5'-phosphate salvage I	false	0	0	0	0	
|PPGPPMET-PWY|	ppGpp metabolism	false	0	0	0	0	
|PROPIONMET-PWY|	propanoyl CoA degradation I	false	0	0	0	0	
|PROSYN-PWY|	L-proline biosynthesis I (from L-glutamate)	false	33	0	0	0	PYRROLINECARBREDUCT-RXN 
|PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY|	protocatechuate degradation II (ortho-cleavage pathway)	false	0	0	0	0	
|PROUT-PWY|	L-proline degradation I	false	0	0	1	0	
|PUTDEG-PWY|	putrescine degradation I	false	0	0	0	0	
|PWY0-1021|	L-alanine biosynthesis III	true	100	0	0	0	RXN-12588 
|PWY0-1182|	trehalose degradation II (cytosolic)	false	0	0	1	0	
|PWY0-1221|	putrescine degradation II	false	0	0	1	0	
|PWY0-1241|	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	false	0	0	1	0	
|PWY0-1261|	peptidoglycan recycling I	false	50	1	1	0	RXN0-5226 NAG6PDEACET-RXN 2.3.1.157-RXN NAG1P-URIDYLTRANS-RXN UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN UDPNACETYLMURAMATEDEHYDROG-RXN 
|PWY0-1264|	biotin-carboxyl carrier protein assembly	false	66	0	0	0	BIOTIN-CARBOXYL-RXN RXN0-5055 
|PWY0-1275|	lipoate biosynthesis and incorporation II	false	0	0	1	0	
|PWY0-1280|	ethylene glycol degradation	false	50	0	0	0	GLYCOLALDREDUCT-RXN 
|PWY0-1295|	pyrimidine ribonucleosides degradation	false	50	0	1	1	URPHOS-RXN 
|PWY0-1296|	purine ribonucleosides degradation	false	66	0	0	0	XANTHOSINEPHOSPHORY-RXN ADENPHOSPHOR-RXN INOPHOSPHOR-RXN RXN0-5199 
|PWY0-1299|	arginine dependent acid resistance	false	0	0	0	0	
|PWY0-1300|	2-O-&alpha;-mannosyl-D-glycerate degradation	false	50	0	1	0	GKI-RXN 
|PWY0-1301|	melibiose degradation	true	100	0	0	0	ALPHAGALACTOSID-RXN 
|PWY0-1303|	aminopropylcadaverine biosynthesis	false	0	0	1	0	
|PWY0-1305|	L-glutamate degradation IX (via 4-aminobutanoate)	false	0	0	0	0	
|PWY0-1306|	L-galactonate degradation	false	0	0	0	0	
|PWY0-1309|	chitobiose degradation	false	50	0	0	0	RXN0-7392 
|PWY0-1312|	acetate and ATP formation from acetyl-CoA I	false	50	0	0	0	ACETATEKIN-RXN 
|PWY0-1313|	acetate conversion to acetyl-CoA	false	0	0	0	0	
|PWY0-1314|	fructose degradation	true	100	0	0	0	1PFRUCTPHOSN-RXN 
|PWY0-1315|	L-lactaldehyde degradation (anaerobic)	true	100	0	0	0	LACTALDREDUCT-RXN 
|PWY0-1317|	L-lactaldehyde degradation (aerobic)	false	0	0	0	0	
|PWY0-1319|	CDP-diacylglycerol biosynthesis II	false	25	0	0	0	GLYC3PDEHYDROGBIOSYN-RXN 
|PWY0-1321|	nitrate reduction III (dissimilatory)	false	0	0	2	0	
|PWY0-1324|	N-acetylneuraminate and N-acetylmannosamine degradation I	false	0	0	0	0	
|PWY0-1329|	succinate to cytochrome bo oxidase electron transfer	false	0	0	2	0	
|PWY0-1334|	NADH to cytochrome bd oxidase electron transfer I	false	0	0	2	0	
|PWY0-1335|	NADH to cytochrome bo oxidase electron transfer I	false	0	0	2	0	
|PWY0-1336|	NADH to fumarate electron transfer	false	0	1	1	0	
|PWY0-1337|	oleate &beta;-oxidation	false	0	0	0	0	
|PWY0-1338|	polymyxin resistance	false	33	1	0	0	RXN0-1863 
|PWY0-1347|	NADH to trimethylamine N-oxide electron transfer	false	0	1	1	0	
|PWY0-1348|	NADH to dimethyl sulfoxide electron transfer	false	0	1	1	0	
|PWY0-1352|	nitrate reduction VIII (dissimilatory)	false	0	1	1	0	
|PWY0-1353|	succinate to cytochrome bd oxidase electron transfer	false	0	0	2	0	
|PWY0-1355|	formate to trimethylamine N-oxide electron transfer	false	0	0	2	0	
|PWY0-1356|	formate to dimethyl sulfoxide electron transfer	false	0	0	2	0	
|PWY0-1391|	S-methyl-5'-thioadenosine degradation IV	true	100	0	0	0	METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN 
|PWY0-1433|	tetrahydromonapterin biosynthesis	false	25	1	0	0	
|PWY0-1465|	D-malate degradation	false	0	0	0	0	
|PWY0-1466|	trehalose degradation VI (periplasmic)	false	0	0	0	0	
|PWY0-1471|	uracil degradation III	false	0	0	0	0	
|PWY0-1477|	ethanolamine utilization	false	40	0	1	0	ACETATEKIN-RXN ALCOHOL-DEHYDROG-RXN 
|PWY0-1479|	tRNA processing	false	20	0	0	0	RXN0-6479 RXN0-4222 
|PWY0-1507|	biotin biosynthesis from 8-amino-7-oxononanoate I	false	0	0	1	0	
|PWY0-1517|	sedoheptulose bisphosphate bypass	false	50	0	1	0	SEDOBISALDOL-RXN 
|PWY0-1527|	curcumin degradation	false	0	0	0	0	
|PWY0-1533|	methylphosphonate degradation I	false	0	0	0	0	
|PWY0-1535|	D-serine degradation	false	0	0	0	0	
|PWY0-1544|	proline to cytochrome bo oxidase electron transfer	false	0	0	0	0	
|PWY0-1545|	cardiolipin biosynthesis III	false	0	0	1	0	
|PWY0-1546|	muropeptide degradation	false	0	0	0	0	
